generacion,mejor_asignaciones,promedio_asignaciones,desv_std_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,desv_std_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,desv_std_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,277.00,284.10,10.716639,8.3449,7.7848,277.000000,284.103896,10.716639,-8.344928,-7.784792,0.151692,77,100,568
2,277.00,287.51,11.502199,8.7391,7.8958,277.000000,287.506329,11.502199,-8.739130,-7.895762,0.229216,79,100,981
3,277.00,285.24,7.221675,10.0812,9.6405,277.000000,285.236111,7.221675,-10.081159,-9.640539,0.253854,72,100,1532
4,277.00,279.22,2.202635,10.6464,10.3579,277.000000,279.220000,2.202635,-10.646377,-10.357855,0.263503,50,100,1838
5,277.00,281.47,3.308178,11.3449,11.0301,277.000000,281.473684,3.308178,-11.344928,-11.030145,0.214013,95,100,2156
6,277.00,280.35,2.928056,11.5449,11.3450,277.000000,280.346939,2.928056,-11.544928,-11.345046,0.105358,98,100,2483
7,277.00,282.47,4.515429,11.9623,11.6139,277.000000,282.470000,4.515429,-11.962319,-11.613942,0.136303,100,100,2810
8,277.00,283.60,4.937611,12.0522,11.7818,277.000000,283.600000,4.937611,-12.052174,-11.781797,0.148936,100,100,3150
9,277.00,283.79,5.972093,12.1246,11.8456,277.000000,283.790000,5.972093,-12.124638,-11.845594,0.179430,100,100,3483
10,277.00,286.14,8.558061,12.3797,12.0069,277.000000,286.140000,8.558061,-12.379710,-12.006928,0.227900,100,100,3874
11,277.00,288.24,9.156550,12.4377,12.1534,277.000000,288.240000,9.156550,-12.437681,-12.153449,0.216815,100,100,4242
12,277.00,287.77,8.749691,12.5333,12.2147,277.000000,287.770000,8.749691,-12.533333,-12.214667,0.231647,100,100,4847
13,277.00,282.72,5.293543,12.5942,12.2355,277.000000,282.720000,5.293543,-12.594203,-12.235536,0.223251,100,100,5242
14,277.00,280.83,2.895013,12.7478,12.3358,277.000000,280.830000,2.895013,-12.747826,-12.335826,0.211521,100,100,5635
15,277.00,282.27,3.885499,12.8957,12.5623,277.000000,282.270000,3.885499,-12.895652,-12.562319,0.220613,100,100,6005
16,277.00,284.07,4.602727,12.9304,12.6891,277.000000,284.070000,4.602727,-12.930435,-12.689101,0.186686,100,100,6405
17,277.00,284.54,5.210413,12.9942,12.7672,277.000000,284.540000,5.210413,-12.994203,-12.767217,0.178815,100,100,6785
18,277.00,285.22,6.285825,12.9536,12.7891,277.000000,285.220000,6.285825,-12.953623,-12.789072,0.168360,100,100,7152
19,277.00,285.13,6.623677,13.0551,12.8146,277.000000,285.130000,6.623677,-13.055072,-12.814551,0.189340,100,100,7511
20,277.00,284.76,6.580456,13.0870,12.8403,277.000000,284.760000,6.580456,-13.086957,-12.840261,0.218616,100,100,7856
21,277.00,285.32,6.149602,13.1014,12.8958,277.000000,285.320000,6.149602,-13.101449,-12.895826,0.186535,100,100,8193
22,277.00,286.10,6.565821,13.1188,12.9272,277.000000,286.100000,6.565821,-13.118841,-12.927188,0.187443,100,100,8517
23,277.00,283.08,3.895331,13.1449,12.9227,277.000000,283.080000,3.895331,-13.144928,-12.922667,0.193121,100,100,8843
24,277.00,284.01,4.417001,13.1768,12.9734,277.000000,284.010000,4.417001,-13.176812,-12.973449,0.199192,100,100,9166
25,277.00,284.67,4.669165,13.2116,13.0400,277.000000,284.670000,4.669165,-13.211594,-13.039971,0.182563,100,100,9510
26,277.00,285.28,5.299207,13.2087,13.0413,277.000000,285.280000,5.299207,-13.208696,-13.041304,0.209240,100,100,9875
