dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
15,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,310,16
16,1,"PROGRAMACION 2",8.0,11.0,312,94
7,2,"ADMINISTRACION DE OPERACIONES",16.0,18.5,116,6
8,3,"AGRIMENSURA LEGAL 1",16.0,20.0,116,6
1,4,"AGRIMENSURA LEGAL 2",8.0,12.0,116,6
9,5,"AGRIMENSURA LEGAL 3",15.5,19.5,116,6
12,6,"AGRIMENSURA LEGAL 4",12.0,16.0,116,6
10,7,"ALISTAMIENTO NAVAL",16.0,20.0,116,6
11,8,"ANTENAS Y PROPAGACION",16.0,20.0,116,6
12,9,"APLICACIONES DEL ALGEBRA LINEAL",16.0,19.0,116,6
10,10,"ARQUITECTURA DE COMPUTADORAS",8.0,11.0,307,180
20,11,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,11.0,116,6
13,12,"AUTOMATAS PROGRAMABLES",16.0,20.0,116,6
14,13,"AVALUACIONES 1",16.0,20.0,116,6
15,14,"AVALUACIONES 2",15.0,19.0,116,6
16,15,"AVALUACIONES 3",14.0,18.0,116,6
10,16,"BASES DE DATOS PARA INGENIERIA",8.0,11.0,311,29
1,17,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,17,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,17,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
6,18,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,B01,223
6,18,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,C01,194
15,19,"CALCULO VECTORIAL",8.0,11.0,312,94
17,20,"CALIDAD DE AGUAS",16.0,20.0,116,6
13,21,"CAMINOS Y CALLES 1",8.0,12.0,116,6
18,22,"CAPTURA DE DATOS POR PERCEPCION REMOTA",15.0,19.0,116,6
14,23,"CARTOGRAFIA MATEMATICA",8.0,12.0,116,6
19,24,"CARTOGRAFÍA TEMÁTICA",16.5,20.5,116,6
25,25,"CARTOGRAFÍA TEMÁTICA (ÁREA)",15.5,19.5,116,6
22,26,"CATASTRO",8.0,12.0,B01,223
20,27,"COMERCIALIZACION",8.0,12.0,B01,223
23,28,"COMPL.ARQUITECTURA DE COMPUTADORAS",8.0,12.0,B01,223
