INSTANCIA,TAM,POB,CRU,MUT,HV,PARETO_FILE
diciembre_2024,266,100,0.80,0.001,0.436414,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.418434,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.424546,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.418403,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.407720,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.420934,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.416201,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.419530,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.411086,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.402600,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.423861,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.409924,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.417740,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.412267,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.400485,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.413313,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.403812,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.394120,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.411478,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.426913,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.422771,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.393256,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.407642,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.425120,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.412855,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.413749,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.409730,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.420287,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.413972,output/diciembre_2024_pareto_front.csv
diciembre_2024,266,100,0.80,0.001,0.411434,output/diciembre_2024_pareto_front.csv
