materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
17,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",517,3.0,1,8.0,"B01;C01;307",597,OK
87,"GEOMETRIA Y ALGEBRA LINEAL 1",445,3.0,2,8.0,"B01;C01;307",597,OK
45,"ECONOMIA",434,4.0,1,11.0,"B01;C01;307",597,OK
71,"FISICA 1",388,3.0,4,8.0,"B01;C01",417,OK
88,"GEOMETRIA Y ALGEBRA LINEAL 2",327,3.5,5,8.0,"B01;C01",417,OK
18,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",311,4.0,6,8.0,"B01;C01",417,OK
172,"METODOS NUMERICOS",307,3.0,1,15.0,"B01;C01",417,OK
158,"MATEMATICA DISCRETA 1",302,3.0,23,8.0,"B01;C01",417,OK
189,"PROGRAMACION 1",195,3.0,21,8.0,"B01",223,OK
10,"ARQUITECTURA DE COMPUTADORAS",158,3.0,10,8.0,"307",180,OK
190,"PROGRAMACION 3",131,3.0,17,8.0,"C12",131,OK
196,"REDES DE COMPUTADORAS",120,3.0,19,8.0,"A22",124,OK
73,"FISICA 3",99,3.0,1,8.0,"Hall",100,OK
160,"MATEMATICA INICIAL",96,4.0,2,8.0,"Hall",100,OK
19,"CALCULO VECTORIAL",94,3.0,25,8.0,"312",94,OK
1,"PROGRAMACION 2",89,3.0,21,11.0,"B01",223,OK
165,"MECANICA NEWTONIANA",73,4.0,16,8.0,"303",76,OK
159,"MATEMATICA DISCRETA 2",72,3.0,18,8.0,"A21",72,OK
185,"PROBABILIDAD Y ESTADISTICA",65,3.0,1,8.0,"303",76,OK
147,"LOGICA",53,4.0,19,8.0,"601",60,OK
75,"FLUIDODINAMICA",49,4.0,25,8.0,"B11",50,OK
146,"LEGISLACION Y RELACIONES INDUSTRIALES",49,2.0,1,8.0,"C22",102,OK
98,"HIDROLOGIA E HIDRAULICA APLICADAS",43,4.0,23,8.0,"B11",50,OK
214,"SISTEMAS OPERATIVOS",43,4.0,24,8.0,"B11",50,OK
74,"FISICA TERMICA",40,3.5,25,8.0,"115",40,OK
226,"TEORIA DE CIRCUITOS",39,3.0,24,8.0,"B21",39,OK
242,"TRANSFERENCIA DE CALOR Y MASA 1",38,4.0,1,11.0,"303",76,OK
34,"CONTROL DE CALIDAD",37,4.0,3,8.0,"B21",39,OK
109,"INGENIERIA LEGAL",36,4.0,1,8.0,"B21",39,OK
86,"GEOLOGIA DE INGENIERIA",35,4.0,25,8.0,"305",35,OK
127,"INT. A LA INGENIERIA DE PROCESOS",32,4.0,6,8.0,"B22",32,OK
192,"PROYECTO",31,3.0,25,8.0,"B22",32,OK
106,"INGENIERIA DE LAS REACCIONES QUIMICAS 2",28,2.0,1,8.0,"311",29,OK
184,"PRINCIPIOS DE QUIMICA GENERAL",28,4.0,25,8.0,"311",29,OK
16,"BASES DE DATOS PARA INGENIERIA",26,3.0,25,12.0,"311",29,OK
32,"COMPUTACION 1",25,3.0,1,8.0,"C21;703",45,OK
70,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",25,4.0,3,8.0,"C21",25,OK
265,"TOPOGRAFIA ALTIMETRICA",25,3.0,25,8.0,"C21",25,OK
59,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",24,3.0,22,8.0,"C21",25,OK
204,"RESISTENCIA DE MATERIALES 1",24,4.0,2,8.0,"C21",25,OK
43,"DISEÑO LOGICO",20,4.0,20,8.0,"311",29,OK
131,"INT. A LA INVESTIGACION DE OPERACIONES",20,4.0,2,12.0,"C21",25,OK
36,"COSTOS PARA INGENIERIA",19,4.0,25,8.0,"727",20,OK
54,"ELECTROTECNICA I",19,2.5,25,16.0,"727",20,OK
55,"ELECTROTECNICA II",19,3.0,1,11.0,"727",20,OK
162,"MECANICA APLICADA (ING.QUÍM)",19,3.0,1,8.0,"727",20,OK
62,"ENERGIA 1- COMBUSTION",18,3.0,22,8.0,"727",20,OK
186,"PROCEDIMIENTOS CONST. OBRAS VIALES Y SUELO",18,1.5,20,8.0,"501",62,OK
191,"PROGRAMACION 4",18,3.0,24,8.0,"727",20,OK
200,"REFRIGERACION",18,4.0,25,12.0,"727",20,OK
243,"TRANSFERENCIA DE CALOR Y MASA 2",18,4.0,1,12.0,"B21",39,OK
118,"INT. A LA CONSTRUCCION",17,4.0,2,8.0,"727",20,OK
194,"PUENTES",17,4.0,16,8.0,"727",20,OK
61,"ELEMENTOS DE TOPOGRAFIA",16,4.0,1,8.0,"310",16,OK
116,"INT. A LA CIENCIA DE MATERIALES",16,1.5,25,12.0,"309",16,OK
240,"TRANSFERENCIA DE CALOR 1",15,4.0,1,12.0,"310",16,OK
49,"ELECTROMAGNETISMO",14,4.0,3,8.0,"310",16,OK
179,"ORDENAMIENTO TERRITORIAL 1",14,4.0,2,8.0,"310",16,OK
215,"SISTEMAS Y CONTROL",14,4.0,2,12.0,"310",16,OK
241,"TRANSFERENCIA DE CALOR 2",14,4.0,1,16.0,"310",16,OK
259,"ESTRUCTURAS DE MADERA 1",14,3.5,3,12.0,"310",16,OK
148,"MAMPOSTERIA ESTRUCTURAL",13,4.0,15,8.0,"310",16,OK
153,"MAQUINAS PARA FLUIDOS I",13,3.0,20,12.0,"310",16,OK
230,"TEORIA DE LENGUAJES",13,4.0,2,16.0,"310",16,OK
0,"ELECTRONICA FUNDAMENTAL",12,3.5,2,8.0,"303",76,OK
233,"TERMODINAMICA APL. A LA ING.DE PROCESOS",12,4.0,23,8.0,"310",16,OK
264,"TEORÍA Y ANÁLISIS DE ERRORES",12,4.0,22,8.0,"310",16,OK
101,"HORMIGON ESTRUCTURAL 2",11,2.0,3,8.0,"727",20,OK
258,"TOPOGRAFIA PLANIMETRICA",11,3.0,25,11.5,"310",16,OK
50,"ELECTRONICA AVANZADA 1",10,3.0,22,16.0,"722",10,OK
126,"INT. A LA INGENIERIA BIOQUIMICA",10,4.0,25,8.0,"722",10,OK
128,"INT. A LA INGENIERIA DE SOFTWARE",10,3.0,13,12.0,"722",10,OK
132,"INT. A LA MECANICA DE LOS FLUIDOS",10,4.0,13,8.0,"722",10,OK
161,"MATERIALES Y ENSAYOS",10,4.0,22,8.0,"722",10,OK
53,"ELECTROTECNICA",9,3.0,2,16.0,"722",10,OK
64,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",9,4.0,23,8.0,"722",10,OK
100,"HORMIGON ESTRUCTURAL 1",9,3.5,1,12.0,"722",10,OK
115,"INT. A LA CIENCIA DE LOS MATERIALES",9,1.5,3,12.0,"722",10,OK
206,"SEGURIDAD EN LA CONSTRUCCION",9,4.0,22,12.0,"722",10,OK
35,"COSTOS",8,4.0,1,8.0,"722",10,OK
91,"GESTION DEL MANTENIMIENTO",8,4.0,19,13.5,"309",16,OK
93,"GESTION DE MANTENIMIENTO",8,4.0,25,12.0,"722",10,OK
111,"INSTALACIONES ELECTRICAS",8,4.0,3,8.0,"722",10,OK
197,"REDES DE DATOS 1",8,2.0,7,8.0,"102",25,OK
46,"ECONOMÍA (AREA)",7,4.0,2,8.0,"722",10,OK
89,"GESTION DE CALIDAD",7,4.0,22,8.0,"705",20,OK
94,"HIDRAULICA FLUVIAL Y MARITIMA",7,4.0,3,8.0,"102",25,OK
133,"INT. A LA MECANICA DE SUELOS",7,3.5,7,8.0,"727",20,OK
135,"INT. A LA PREVENCION DE RIESGOS LABORALES",7,4.0,2,12.0,"722",10,OK
136,"INT. A LAS ECUACIONES DIFERENCIALES",7,3.0,23,12.0,"310",16,OK
137,"INT. A LA TERMODINAMICA",7,3.0,24,8.0,"722",10,OK
140,"INT. A LOS MICROPROCESADORES",7,4.0,18,8.0,"722",10,OK
156,"MATEMATICA 2",7,3.0,25,16.0,"722",10,OK
250,"TRANSPORTE URBANO",7,4.0,19,8.0,"C21",25,OK
11,"ASPECTOS BASICOS DE REDES DE COMPUT",6,3.0,18,8.0,"B01",223,OK
52,"ELECTRONICA DE POTENCIA",6,4.0,25,8.0,"116",6,OK
120,"INT. A LA ELECTROTECNIA",6,3.0,25,8.0,"A12",119,OK
163,"MECANICA DE LOS FLUIDOS",6,4.0,1,8.0,"116",6,OK
177,"OBRAS HIDRAULICAS",6,4.0,6,8.0,"116",6,OK
181,"PATOLOGIA DE LAS ESTRUCTURAS",6,2.0,16,8.0,"312",94,OK
4,"AGRIMENSURA LEGAL 2",5,4.0,4,12.0,"301",76,OK
48,"ELASTICIDAD",5,4.0,4,8.0,"115",40,OK
68,"ESTRUCTURAS DE MADERA",5,4.0,4,8.0,"502;C21",45,OK
77,"FUNCIONES DE VARIABLE COMPLEJA",5,3.0,23,8.0,"312",94,OK
90,"GESTION DE CALIDAD AMBIENTAL",5,4.0,23,8.0,"311",29,OK
104,"INGENIERIA BIOQUIMICA",5,4.0,22,8.0,"102",25,OK
144,"LABORATORIO DE TECNOLOGIA DEL HORMIGON",5,4.0,15,8.0,"309",16,OK
169,"METALURGIA FISICA",5,4.0,25,12.0,"116",6,OK
209,"SEÑALES Y SISTEMAS",5,3.5,19,8.0,"B21",39,OK
210,"SISTEMAS DE CONDUCCION EN ING.SANITARIA",5,4.0,4,8.0,"301",76,OK
247,"TRANSPORTE FLUVIAL Y MARITIMO",5,4.0,2,8.0,"B12",141,OK
253,"VIBRACIONES Y ONDAS",5,4.0,24,8.0,"601",60,OK
21,"CAMINOS Y CALLES 1",4,4.0,25,16.0,"116",6,OK
23,"CARTOGRAFIA MATEMATICA",4,4.0,23,8.0,"116",6,OK
51,"ELECTRONICA AVANZADA 2",4,3.0,2,8.0,"B22",32,OK
110,"INGLES TECNICO",4,4.0,18,8.0,"116",6,OK
152,"MAQUINAS PARA FLUIDOS",4,4.0,11,12.0,"116",6,OK
155,"MATEMATICA 1",4,3.0,25,8.0,"B23",101,OK
157,"MATEMATICA 3",4,3.0,20,8.0,"305",35,OK
205,"RESISTENCIA DE MATERIALES 2",4,3.0,8,8.0,"B01",223,OK
219,"TALLER REPR. Y COM. GRAFICA - MODULO_CIVIL",4,4.0,11,8.0,"116",6,OK
