dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
2,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,303,76
21,1,"PROGRAMACION 2",11.0,14.0,B01,223
18,2,"ADMINISTRACION DE OPERACIONES",8.0,10.5,C01,194
25,3,"AGRIMENSURA LEGAL 1",8.0,12.0,703,20
25,3,"AGRIMENSURA LEGAL 1",8.0,12.0,309,16
4,4,"AGRIMENSURA LEGAL 2",12.0,16.0,301,76
4,5,"AGRIMENSURA LEGAL 3",8.0,12.0,116,6
13,6,"AGRIMENSURA LEGAL 4",12.0,16.0,116,6
23,7,"ALISTAMIENTO NAVAL",16.0,20.0,116,6
9,8,"ANTENAS Y PROPAGACION",12.0,16.0,116,6
16,9,"APLICACIONES DEL ALGEBRA LINEAL",8.0,11.0,311,29
10,10,"ARQUITECTURA DE COMPUTADORAS",8.0,11.0,307,180
18,11,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,11.0,B01,223
18,12,"AUTOMATAS PROGRAMABLES",12.0,16.0,116,6
14,13,"AVALUACIONES 1",12.0,16.0,116,6
7,14,"AVALUACIONES 2",8.0,12.0,703,20
7,14,"AVALUACIONES 2",8.0,12.0,309,16
2,15,"AVALUACIONES 3",8.0,12.0,102,25
25,16,"BASES DE DATOS PARA INGENIERIA",12.0,15.0,311,29
1,17,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,17,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,17,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
6,18,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,B01,223
6,18,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,C01,194
25,19,"CALCULO VECTORIAL",8.0,11.0,312,94
7,20,"CALIDAD DE AGUAS",12.0,16.0,116,6
25,21,"CAMINOS Y CALLES 1",16.0,20.0,116,6
20,22,"CAPTURA DE DATOS POR PERCEPCION REMOTA",8.0,12.0,310,16
23,23,"CARTOGRAFIA MATEMATICA",8.0,12.0,116,6
17,24,"CARTOGRAFÍA TEMÁTICA",12.0,16.0,116,6
19,25,"CARTOGRAFÍA TEMÁTICA (ÁREA)",12.0,16.0,116,6
22,26,"CATASTRO",8.0,12.0,116,6
12,27,"COMERCIALIZACION",16.0,20.0,116,6
5,28,"COMPL.ARQUITECTURA DE COMPUTADORAS",16.0,20.0,116,6
7,29,"COMPORTAMIENTO MECANICO DE MATERIALES 1",8.0,11.0,C11,25
25,30,"COMPORTAMIENTO MECANICO DE MATERIALES 2",8.0,11.5,310,16
17,31,"COMPORTAMIENTO MEC. DE MATERIALES",8.0,11.5,307,180
1,32,"COMPUTACION 1",8.0,11.0,C21,25
1,32,"COMPUTACION 1",8.0,11.0,703,20
22,33,"COMUNICACIONES DIGITALES",12.0,16.0,116,6
3,34,"CONTROL DE CALIDAD",8.0,12.0,B21,39
1,35,"COSTOS",8.0,12.0,722,10
25,36,"COSTOS PARA INGENIERIA",8.0,12.0,727,20
14,37,"DINAMICA DE MAQUINAS Y VIBRACION",16.0,20.0,116,6
21,38,"DISEÑO ASISTIDO POR COMPUTADOR",8.0,12.0,115,40
19,39,"DISEÑO CATASTRAL",8.0,12.0,116,6
8,40,"DISEÑO DE PROCESOS QUIMICOS",8.0,12.0,116,6
9,41,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",8.0,12.0,116,6
14,42,"DISEÑO HIDROLOGICO",8.0,12.0,312,94
20,43,"DISEÑO LOGICO",8.0,12.0,311,29
7,44,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",8.0,12.0,B22,32
1,45,"ECONOMIA",11.0,15.0,B01,223
1,45,"ECONOMIA",11.0,15.0,C01,194
1,45,"ECONOMIA",11.0,15.0,307,180
2,46,"ECONOMÍA (AREA)",8.0,12.0,722,10
17,47,"EJERCICIOS DE INGENIERIA SANITARIA",16.0,20.0,116,6
4,48,"ELASTICIDAD",8.0,12.0,115,40
3,49,"ELECTROMAGNETISMO",8.0,12.0,310,16
22,50,"ELECTRONICA AVANZADA 1",16.0,19.0,722,10
2,51,"ELECTRONICA AVANZADA 2",8.0,11.0,B22,32
25,52,"ELECTRONICA DE POTENCIA",8.0,12.0,116,6
2,53,"ELECTROTECNICA",16.0,19.0,722,10
25,54,"ELECTROTECNICA I",16.0,18.5,727,20
1,55,"ELECTROTECNICA II",11.0,14.0,727,20
2,56,"ELEMENTOS DE GESTION LOGISTICA",16.0,20.0,116,6
23,57,"ELEMENTOS DE INGENIERIA AMBIENTAL",12.0,16.0,116,6
8,58,"ELEMENTOS DE MAQUINAS",8.0,12.0,303,76
22,59,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",8.0,11.0,C21,25
3,60,"ELEMENTOS DE NAVEGACION",12.0,16.0,116,6
1,61,"ELEMENTOS DE TOPOGRAFIA",8.0,12.0,310,16
22,62,"ENERGIA 1- COMBUSTION",8.0,11.0,727,20
7,63,"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",8.0,12.0,116,6
23,64,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",8.0,12.0,722,10
8,65,"ESTRUCTURAS DE ACERO",8.0,10.0,A12,119
2,66,"ESTRUCTURAS DE BUQUES",12.0,16.0,116,6
2,67,"ESTRUCTURAS DE DATOS Y ALGORITMOS",8.0,12.0,501,62
4,68,"ESTRUCTURAS DE MADERA",8.0,12.0,502,20
4,68,"ESTRUCTURAS DE MADERA",8.0,12.0,C21,25
14,69,"ESTUDIO DEL TRABAJO",8.0,12.0,116,6
3,70,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",8.0,12.0,C21,25
4,71,"FISICA 1",8.0,11.0,B01,223
4,71,"FISICA 1",8.0,11.0,C01,194
11,72,"FISICA 2",8.0,11.0,C01,194
1,73,"FISICA 3",8.0,11.0,Hall,100
25,74,"FISICA TERMICA",8.0,11.5,115,40
25,75,"FLUIDODINAMICA",8.0,12.0,B11,50
5,76,"FOTOGRAMETRIA",12.0,16.0,116,6
23,77,"FUNCIONES DE VARIABLE COMPLEJA",8.0,11.0,312,94
14,78,"FUNDAMENTOS DE BASES DE DATOS",8.0,11.0,307,180
2,79,"FUNDAMENTOS DE ROBOTICA INDUSTRIAL",8.0,12.0,116,6
12,80,"FUND. DE LA PROD. DE CELULOSA Y PAPEL",8.0,11.0,A01,145
20,81,"GENERADORES DE VAPOR",8.0,12.0,A22,124
20,82,"GEODESIA 1",8.0,12.0,B01,223
4,83,"GEODESIA 2",12.0,16.0,116,6
5,84,"GEODESIA 3",8.0,12.0,Piso,70
8,85,"GEOESTADISTICA APLICADA",12.0,16.0,116,6
25,86,"GEOLOGIA DE INGENIERIA",8.0,12.0,305,35
2,87,"GEOMETRIA Y ALGEBRA LINEAL 1",8.0,11.0,B01,223
2,87,"GEOMETRIA Y ALGEBRA LINEAL 1",8.0,11.0,C01,194
2,87,"GEOMETRIA Y ALGEBRA LINEAL 1",8.0,11.0,307,180
5,88,"GEOMETRIA Y ALGEBRA LINEAL 2",8.0,11.5,B01,223
5,88,"GEOMETRIA Y ALGEBRA LINEAL 2",8.0,11.5,C01,194
22,89,"GESTION DE CALIDAD",8.0,12.0,705,20
23,90,"GESTION DE CALIDAD AMBIENTAL",8.0,12.0,311,29
19,91,"GESTION DEL MANTENIMIENTO",13.5,17.5,309,16
7,92,"GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.",12.0,16.0,309,16
25,93,"GESTION DE MANTENIMIENTO",12.0,16.0,722,10
3,94,"HIDRAULICA FLUVIAL Y MARITIMA",8.0,12.0,102,25
21,95,"HIDRAULICA Y NEUMATICA",8.0,12.0,502,20
4,96,"HIDRODINAMICA NAVAL",16.0,20.0,116,6
10,97,"HIDROLOGIA AVANZADA II",16.0,20.0,116,6
23,98,"HIDROLOGIA E HIDRAULICA APLICADAS",8.0,12.0,B11,50
6,99,"HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS",8.0,12.0,601,60
1,100,"HORMIGON ESTRUCTURAL 1",12.0,15.5,722,10
3,101,"HORMIGON ESTRUCTURAL 2",8.0,10.0,727,20
19,102,"HORMIGON ESTRUCTURAL 3",8.0,13.5,309,16
10,103,"INGENIERIA AMBIENTAL PARA LA INDUSTRIA DE PROCESOS",12.0,16.0,116,6
22,104,"INGENIERIA BIOQUIMICA",8.0,12.0,102,25
25,105,"INGENIERIA DE LAS REACCIONES QUIMICAS 1",8.0,12.0,705,20
1,106,"INGENIERIA DE LAS REACCIONES QUIMICAS 2",8.0,10.0,311,29
15,107,"INGENIERIA DE LOS PROCESOS ELECTROQUIMICOS",8.0,12.0,725,20
18,108,"INGENIERIA DE SOFTWARE",8.0,12.0,B11,50
1,109,"INGENIERIA LEGAL",8.0,12.0,B21,39
18,110,"INGLES TECNICO",8.0,12.0,116,6
3,111,"INSTALACIONES ELECTRICAS",8.0,12.0,722,10
9,112,"INSTALACIONES GENERALES DE GASES COMBUSTIBLES",8.0,12.0,B01,223
3,113,"INSTRUMENTACION INDUSTRIAL",8.0,12.0,116,6
9,114,"INSTRUMENTACION Y CONTROL",8.0,11.0,307,180
3,115,"INT. A LA CIENCIA DE LOS MATERIALES",12.0,13.5,722,10
25,116,"INT. A LA CIENCIA DE MATERIALES",12.0,13.5,309,16
22,117,"INT. A LA COMBUSTION",16.0,20.0,116,6
2,118,"INT. A LA CONSTRUCCION",8.0,12.0,727,20
18,119,"INT. A LA CORROSION DEL HORMIGON ARMADO",16.0,20.0,116,6
25,120,"INT. A LA ELECTROTECNIA",8.0,11.0,A12,119
15,121,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.",8.0,12.0,C21,25
9,122,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.(ÁREA)",8.0,12.0,B22,32
8,123,"INT. A LA EVALUACION Y GESTION AMBIENTAL",8.0,12.0,307,180
8,124,"INT. A LA FISICA MODERNA",8.0,12.0,722,10
13,125,"INT. A LA GEODESIA Y SIST. DE POS. GLOBAL",8.0,12.0,31,35
25,126,"INT. A LA INGENIERIA BIOQUIMICA",8.0,12.0,722,10
6,127,"INT. A LA INGENIERIA DE PROCESOS",8.0,12.0,B22,32
13,128,"INT. A LA INGENIERIA DE SOFTWARE",12.0,15.0,722,10
25,129,"INT. A LA INGENIERIA NAVAL",8.0,12.0,B21,39
5,130,"INT. A LA INGENIERIA SANITARIA",8.0,12.0,309,16
2,131,"INT. A LA INVESTIGACION DE OPERACIONES",12.0,16.0,C21,25
13,132,"INT. A LA MECANICA DE LOS FLUIDOS",8.0,12.0,722,10
7,133,"INT. A LA MECANICA DE SUELOS",8.0,11.5,727,20
24,134,"INT. AL ANALISIS RURAL",16.0,20.0,116,6
2,135,"INT. A LA PREVENCION DE RIESGOS LABORALES",12.0,16.0,722,10
23,136,"INT. A LAS ECUACIONES DIFERENCIALES",12.0,15.0,310,16
24,137,"INT. A LA TERMODINAMICA",8.0,11.0,722,10
6,138,"INT. AL CONTROL INDUSTRIAL",8.0,12.0,A11,25
4,139,"INT. AL DERECHO",8.0,10.0,A21,72
18,140,"INT. A LOS MICROPROCESADORES",8.0,12.0,722,10
15,141,"INT. A LOS SIST. DE PROT. DE SIST. ELECT. DE POT.",8.0,12.0,116,6
2,142,"INT. AL SISTEMA CLIMATICO",8.0,12.0,A12,119
24,143,"INT. AL TRANSPORTE",8.0,12.0,725,20
15,144,"LABORATORIO DE TECNOLOGIA DEL HORMIGON",8.0,12.0,309,16
6,145,"LEGISLACION TERRITORIAL",12.0,16.0,116,6
1,146,"LEGISLACION Y RELACIONES INDUSTRIALES",8.0,10.0,C22,102
19,147,"LOGICA",8.0,12.0,601,60
15,148,"MAMPOSTERIA ESTRUCTURAL",8.0,12.0,310,16
21,149,"MANTENIMIENTO DE BUQUES",16.0,20.0,116,6
5,150,"MAQUINARIA NAVAL",12.0,16.0,Piso,70
22,151,"MAQUINAS ELECTRICAS",8.0,10.5,309,16
11,152,"MAQUINAS PARA FLUIDOS",12.0,16.0,116,6
20,153,"MAQUINAS PARA FLUIDOS I",12.0,15.0,310,16
21,154,"MAQUINAS PARA FLUIDOS II",8.0,12.0,C21,25
25,155,"MATEMATICA 1",8.0,11.0,B23,101
25,156,"MATEMATICA 2",16.0,19.0,722,10
20,157,"MATEMATICA 3",8.0,11.0,305,35
23,158,"MATEMATICA DISCRETA 1",8.0,11.0,B01,223
23,158,"MATEMATICA DISCRETA 1",8.0,11.0,C01,194
18,159,"MATEMATICA DISCRETA 2",8.0,11.0,A21,72
2,160,"MATEMATICA INICIAL",8.0,12.0,Hall,100
22,161,"MATERIALES Y ENSAYOS",8.0,12.0,722,10
1,162,"MECANICA APLICADA (ING.QUÍM)",8.0,11.0,727,20
1,163,"MECANICA DE LOS FLUIDOS",8.0,12.0,116,6
21,164,"MECANICA ESTRUCTURAL",8.0,12.0,116,6
16,165,"MECANICA NEWTONIANA",8.0,12.0,303,76
23,166,"MEDIDAS ELECTRICAS",8.0,12.0,A12,119
5,167,"MEDIDAS ELECTRICAS EN INGENIERIA DE PROCESOS",8.0,12.0,31,35
24,168,"METALURGIA DE TRANSFORMACION",8.0,12.0,309,16
25,169,"METALURGIA FISICA",12.0,16.0,116,6
24,170,"MET. COMPUT.APLIC.AL CALCULO ESTRUCTURAL",12.0,16.0,116,6
14,171,"METEOROLOGIA DINAMICA Y SINOPTICA",8.0,12.0,B01,223
1,172,"METODOS NUMERICOS",15.0,18.0,B01,223
1,172,"METODOS NUMERICOS",15.0,18.0,C01,194
17,173,"MODULO TALLER EXTENSION ING.AMBIENTAL 1",8.0,12.0,B01,223
8,174,"MODULO TALLER EXTENSION ING.AMBIENTAL 2",16.0,20.0,116,6
20,175,"MOTORES DE COMB. INT. Y TURBINAS DE GAS",8.0,12.0,116,6
3,176,"MOTORES DE COMBUSTION INTERNA",8.0,11.0,311,29
6,177,"OBRAS HIDRAULICAS",8.0,12.0,116,6
19,178,"OPTICA",16.0,20.0,116,6
2,179,"ORDENAMIENTO TERRITORIAL 1",8.0,12.0,310,16
15,180,"ORDENAMIENTO TERRITORIAL 2",12.0,16.0,116,6
16,181,"PATOLOGIA DE LAS ESTRUCTURAS",8.0,10.0,312,94
12,182,"PLANEAMIENTO ESTRATEGICO Y ESTRATEGIA COMPETITIVA",8.0,12.0,B01,223
24,183,"POTABILIZACION DE AGUAS",8.0,12.0,116,6
25,184,"PRINCIPIOS DE QUIMICA GENERAL",8.0,12.0,311,29
1,185,"PROBABILIDAD Y ESTADISTICA",8.0,11.0,303,76
20,186,"PROCEDIMIENTOS CONST. OBRAS VIALES Y SUELO",8.0,9.5,501,62
17,187,"PROCEDIMIENTOS CONST.PARA ESTRUCTURAS",8.0,10.0,A01,145
10,188,"PRODUCCION CARTOGRAFICA",8.0,12.0,116,6
10,188,"PRODUCCION CARTOGRAFICA",8.0,12.0,309,16
21,189,"PROGRAMACION 1",8.0,11.0,B01,223
17,190,"PROGRAMACION 3",8.0,11.0,C12,131
24,191,"PROGRAMACION 4",8.0,11.0,727,20
25,192,"PROYECTO",8.0,11.0,B22,32
12,193,"PROYECTO DE INVERSION",8.0,12.0,C01,194
16,194,"PUENTES",8.0,12.0,727,20
11,195,"REDES DE ACCESO",8.0,12.0,A22,124
19,196,"REDES DE COMPUTADORAS",8.0,11.0,A22,124
7,197,"REDES DE DATOS 1",8.0,10.0,102,25
11,198,"REDES DE DATOS 2",16.0,20.0,116,6
16,199,"REDES ELECTRICAS",8.0,11.0,B01,223
25,200,"REFRIGERACION",12.0,16.0,727,20
13,201,"REFRIGERACION INDUSTRIAL",8.0,12.0,727,20
15,202,"RELACIONES PERSONALES Y LABORALES",16.0,20.0,116,6
9,203,"REPRESENTACION GRAFICA PARA INDUSTRIAS DE PROC.",8.0,12.0,C01,194
2,204,"RESISTENCIA DE MATERIALES 1",8.0,12.0,C21,25
8,205,"RESISTENCIA DE MATERIALES 2",8.0,11.0,B01,223
22,206,"SEGURIDAD EN LA CONSTRUCCION",12.0,16.0,722,10
4,207,"SEGURIDAD INDUSTRIAL",8.0,12.0,311,29
25,208,"SEÑALES ALEATORIAS Y MODULACION",8.0,12.0,A21,72
19,209,"SEÑALES Y SISTEMAS",8.0,11.5,B21,39
4,210,"SISTEMAS DE CONDUCCION EN ING.SANITARIA",8.0,12.0,301,76
17,211,"SISTEMAS DE INFORMACION GEOGR. AVANZADO",8.0,12.0,C01,194
16,212,"SISTEMAS DE REFERENCIA EN GEODESIA",12.0,16.0,116,6
1,213,"SISTEMAS OLEOHIDRAULICOS Y NEUMATICOS",16.0,20.0,116,6
24,214,"SISTEMAS OPERATIVOS",8.0,12.0,B11,50
2,215,"SISTEMAS Y CONTROL",12.0,16.0,310,16
5,216,"SUBESTACIONES EN MEDIA TENSION",8.0,12.0,303,76
6,217,"TALLER DE CARTOGRAFIA",16.0,20.0,116,6
7,218,"TALLER DE DATOS ESPAC.Y SIST.DE INF.GEO.",16.0,20.0,116,6
11,219,"TALLER REPR. Y COM. GRAFICA - MODULO_CIVIL",8.0,12.0,116,6
24,220,"TECNOLOGIA DEL HORMIGON",12.0,16.0,310,16
10,221,"TECNOLOGIA DE SERVICIOS AUDIOVISUALES",8.0,12.0,C01,194
