dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,17,17,17,261,V,V,V,V,V,146,V,73,V,V,185,V,V,V,V,V,V,109,V,V,V,106,V,V,V,32,V,32,V,V,162,244,61,35,163
1,2,8.5,17,17,17,261,V,V,V,V,V,146,V,73,V,V,185,V,V,V,V,V,V,109,V,V,V,106,V,V,V,32,V,32,V,V,162,244,61,35,163
1,3,9.0,17,17,17,261,V,V,V,V,V,146,V,73,V,V,185,V,V,V,V,V,V,109,V,V,V,106,V,V,V,32,V,32,V,V,162,244,61,35,163
1,4,9.5,17,17,17,261,V,V,V,V,V,146,V,73,V,V,185,V,V,V,V,V,V,109,V,V,V,106,V,V,V,32,V,32,V,V,162,244,61,35,163
1,5,10.0,17,17,17,261,V,V,V,V,V,V,V,73,V,V,185,V,V,V,V,V,V,109,V,V,V,V,V,V,V,32,V,32,V,V,162,244,61,35,163
1,6,10.5,17,17,17,261,V,V,V,V,V,V,V,73,V,V,185,V,V,V,V,V,V,109,V,V,V,V,V,V,V,32,V,32,V,V,162,244,61,35,163
1,7,11.0,45,45,45,261,V,V,V,V,V,V,V,V,V,V,242,V,V,V,V,V,V,109,V,V,V,V,V,V,V,V,V,V,V,V,55,244,61,35,163
1,8,11.5,45,45,45,261,V,V,V,V,V,V,V,V,V,V,242,V,V,V,V,V,V,109,V,V,V,V,V,V,V,V,V,V,V,V,55,244,61,35,163
1,9,12.0,45,45,45,V,V,V,V,V,V,V,V,V,V,V,242,V,V,V,V,V,V,243,V,V,V,V,V,V,V,V,V,V,V,V,55,V,240,100,251
1,10,12.5,45,45,45,V,V,V,V,V,V,V,V,V,V,V,242,V,V,V,V,V,V,243,V,V,V,V,V,V,V,V,V,V,V,V,55,V,240,100,251
1,11,13.0,45,45,45,V,V,V,V,V,V,V,V,V,V,V,242,V,V,V,V,V,V,243,V,V,V,V,V,V,V,V,V,V,V,V,55,V,240,100,251
1,12,13.5,45,45,45,V,V,V,V,V,V,V,V,V,V,V,242,V,V,V,V,V,V,243,V,V,V,V,V,V,V,V,V,V,V,V,55,V,240,100,251
1,13,14.0,45,45,45,V,V,V,V,V,V,V,V,V,V,V,242,V,V,V,V,V,V,243,V,V,V,V,V,V,V,V,V,V,V,V,V,V,240,100,251
1,14,14.5,45,45,45,V,V,V,V,V,V,V,V,V,V,V,242,V,V,V,V,V,V,243,V,V,V,V,V,V,V,V,V,V,V,V,V,V,240,100,251
1,15,15.0,172,172,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,243,V,V,V,V,V,V,V,V,V,V,V,V,V,V,240,100,251
1,16,15.5,172,172,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,243,V,V,V,V,V,V,V,V,V,V,V,V,V,V,240,V,251
1,17,16.0,172,172,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,241,V,213
1,18,16.5,172,172,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,241,V,213
1,19,17.0,172,172,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,241,V,213
1,20,17.5,172,172,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,241,V,213
1,21,18.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,241,V,213
1,22,18.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,241,V,213
1,23,19.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,241,V,213
1,24,19.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,241,V,213
1,25,20.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,26,20.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
2,1,8.0,87,87,87,V,247,V,V,V,142,V,V,160,V,V,0,V,V,67,V,V,V,V,V,V,51,V,15,V,V,204,V,V,V,V,118,V,179,46,79
2,2,8.5,87,87,87,V,247,V,V,V,142,V,V,160,V,V,0,V,V,67,V,V,V,V,V,V,51,V,15,V,V,204,V,V,V,V,118,V,179,46,79
2,3,9.0,87,87,87,V,247,V,V,V,142,V,V,160,V,V,0,V,V,67,V,V,V,V,V,V,51,V,15,V,V,204,V,V,V,V,118,V,179,46,79
2,4,9.5,87,87,87,V,247,V,V,V,142,V,V,160,V,V,0,V,V,67,V,V,V,V,V,V,51,V,15,V,V,204,V,V,V,V,118,V,179,46,79
2,5,10.0,87,87,87,V,247,V,V,V,142,V,V,160,V,V,0,V,V,67,V,V,V,V,V,V,51,V,15,V,V,204,V,V,V,V,118,V,179,46,79
2,6,10.5,87,87,87,V,247,V,V,V,142,V,V,160,V,V,0,V,V,67,V,V,V,V,V,V,51,V,15,V,V,204,V,V,V,V,118,V,179,46,79
2,7,11.0,V,V,V,V,247,V,V,V,142,V,V,160,V,V,0,V,V,67,V,V,V,V,V,V,V,V,15,V,V,204,V,V,V,V,118,V,179,46,79
2,8,11.5,V,V,V,V,247,V,V,V,142,V,V,160,V,V,V,V,V,67,V,V,V,V,V,V,V,V,15,V,V,204,V,V,V,V,118,V,179,46,79
2,9,12.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,131,V,V,V,V,V,V,215,135,66
2,10,12.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,131,V,V,V,V,V,V,215,135,66
2,11,13.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,131,V,V,V,V,V,V,215,135,66
2,12,13.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,131,V,V,V,V,V,V,215,135,66
2,13,14.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,131,V,V,V,V,V,V,215,135,66
2,14,14.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,131,V,V,V,V,V,V,215,135,66
2,15,15.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,131,V,V,V,V,V,V,215,135,66
2,16,15.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,131,V,V,V,V,V,V,215,135,66
2,17,16.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,230,53,56
2,18,16.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,230,53,56
2,19,17.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,230,53,56
2,20,17.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,230,53,56
2,21,18.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,230,53,56
2,22,18.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,230,53,56
