f1,f2
277.000000,14.055072
278.000000,14.185507
280.000000,14.202899
281.000000,14.246377
279.000000,13.582609
284.000000,13.811594
297.000000,13.901449
296.000000,13.878261
278.000000,13.428986
280.000000,13.707246
283.000000,13.710145
277.000000,13.426087
284.000000,13.904348
279.000000,13.646377
277.000000,13.539130
283.000000,13.860870
282.000000,13.857971
281.000000,13.779710
280.000000,13.681159
289.000000,13.776812
281.000000,13.695652
277.000000,13.562319
283.000000,13.698551
284.000000,13.704348
280.000000,13.611594
290.000000,13.788406
291.000000,13.808696
285.000000,13.739130
286.000000,13.231884
290.000000,13.368116
297.000000,13.379710
299.000000,13.518841
301.000000,13.605797
287.000000,13.260870
277.000000,12.950725
289.000000,13.333333
281.000000,13.185507
278.000000,13.110145
298.000000,13.513043
281.000000,13.753623
280.000000,13.689855
277.000000,13.573913
282.000000,13.756522
283.000000,13.771014
279.000000,13.608696
278.000000,13.600000
278.000000,13.443478
281.000000,13.634783
279.000000,13.533333
286.000000,13.660870
285.000000,13.643478
280.000000,13.579710
277.000000,13.362319
282.000000,13.637681
279.000000,13.646377
282.000000,13.710145
281.000000,13.704348
278.000000,13.579710
277.000000,13.376812
293.000000,13.597101
280.000000,13.504348
278.000000,13.478261
277.000000,13.400000
281.000000,13.533333
279.000000,13.492754
283.000000,13.579710
281.000000,13.159420
289.000000,13.257971
287.000000,13.255072
280.000000,13.089855
286.000000,13.246377
279.000000,13.000000
277.000000,12.837681
278.000000,12.997101
285.000000,13.234783
283.000000,13.176812
279.000000,13.776812
281.000000,13.843478
277.000000,13.643478
280.000000,13.840580
285.000000,13.910145
283.000000,13.872464
287.000000,13.927536
282.000000,13.846377
278.000000,13.736232
286.000000,13.921739
280.000000,13.153623
277.000000,12.994203
283.000000,13.373913
287.000000,13.469565
281.000000,13.202899
282.000000,13.350725
278.000000,13.075362
280.000000,13.660870
279.000000,13.623188
289.000000,13.756522
278.000000,13.576812
277.000000,13.431884
281.000000,13.686957
283.000000,13.713043
284.000000,13.750725
282.000000,13.710145
277.000000,13.057971
280.000000,13.443478
278.000000,13.095652
279.000000,13.295652
283.000000,12.997101
285.000000,13.153623
284.000000,13.130435
286.000000,13.226087
281.000000,12.979710
278.000000,12.927536
291.000000,13.228986
292.000000,13.231884
277.000000,12.484058
280.000000,13.440580
287.000000,13.837681
279.000000,13.417391
306.000000,13.869565
278.000000,13.321739
281.000000,13.481159
283.000000,13.602899
290.000000,13.843478
285.000000,13.805797
284.000000,13.649275
281.000000,13.026087
284.000000,13.255072
279.000000,12.976812
277.000000,12.594203
300.000000,13.431884
299.000000,13.385507
278.000000,12.779710
287.000000,13.356522
301.000000,13.475362
285.000000,13.315942
282.000000,13.159420
284.000000,13.043478
277.000000,12.657971
303.000000,13.318841
314.000000,13.344928
286.000000,13.211594
281.000000,12.913043
278.000000,12.704348
283.000000,13.008696
282.000000,12.973913
285.000000,13.133333
302.000000,13.266667
283.000000,13.533333
287.000000,13.553623
279.000000,13.400000
290.000000,13.565217
277.000000,13.156522
288.000000,13.559420
280.000000,13.463768
279.000000,13.878261
280.000000,13.907246
278.000000,13.768116
277.000000,13.756522
281.000000,13.936232
286.000000,13.884058
282.000000,13.704348
285.000000,13.730435
281.000000,13.660870
293.000000,13.939130
280.000000,13.420290
279.000000,13.391304
294.000000,13.979710
295.000000,14.014493
283.000000,13.727536
277.000000,13.333333
281.000000,12.930435
306.000000,13.208696
280.000000,12.915942
284.000000,13.017391
286.000000,13.023188
277.000000,12.692754
289.000000,13.202899
283.000000,12.962319
278.000000,12.881159
308.000000,13.226087
287.000000,13.086957
278.000000,13.214493
281.000000,13.301449
283.000000,13.321739
277.000000,13.144928
284.000000,13.350725
280.000000,13.295652
278.000000,13.727536
281.000000,13.733333
284.000000,13.875362
282.000000,13.782609
283.000000,13.811594
277.000000,13.707246
285.000000,13.950725
286.000000,13.953623
282.000000,13.594203
291.000000,13.626087
292.000000,13.640580
278.000000,13.365217
277.000000,13.217391
290.000000,13.623188
280.000000,13.539130
284.000000,13.602899
286.000000,13.510145
288.000000,13.617391
291.000000,13.655072
284.000000,13.481159
287.000000,13.530435
280.000000,13.385507
279.000000,13.336232
278.000000,13.324638
277.000000,13.301449
281.000000,13.420290
282.000000,13.469565
284.000000,13.397101
277.000000,13.101449
285.000000,13.466667
289.000000,13.492754
278.000000,13.385507
283.000000,13.646377
284.000000,13.721739
287.000000,13.837681
286.000000,13.802899
293.000000,13.901449
292.000000,13.846377
285.000000,13.800000
281.000000,13.594203
277.000000,13.585507
306.000000,13.886957
305.000000,13.852174
291.000000,13.684058
300.000000,13.817391
292.000000,13.733333
278.000000,13.513043
277.000000,13.321739
293.000000,13.785507
298.000000,13.808696
307.000000,13.907246
289.000000,13.646377
280.000000,13.620290
286.000000,13.637681
277.000000,13.115942
285.000000,13.620290
282.000000,13.588406
284.000000,13.611594
298.000000,13.684058
287.000000,13.643478
278.000000,13.353623
