generacion,mejor_asignaciones,promedio_asignaciones,desv_std_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,desv_std_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,desv_std_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,277.00,284.78,10.780447,8.7681,7.7619,277.000000,284.783133,10.780447,-8.768116,-7.761865,0.190108,83,100,717
2,277.00,285.19,10.973223,8.6493,7.8745,277.000000,285.188235,10.973223,-8.649275,-7.874544,0.240273,85,100,1333
3,277.00,286.92,9.954169,10.0087,9.5509,277.000000,286.919540,9.954169,-10.008696,-9.550925,0.235616,87,100,2021
4,277.00,287.25,8.200457,10.9072,10.4257,277.000000,287.250000,8.200457,-10.907246,-10.425652,0.265980,100,100,2456
5,277.00,286.08,7.019516,11.1739,10.7893,277.000000,286.080000,7.019516,-11.173913,-10.789275,0.260828,100,100,2845
6,277.00,285.59,6.813362,11.6580,11.2061,277.000000,285.590000,6.813362,-11.657971,-11.206087,0.213212,100,100,3254
7,277.00,282.97,5.341264,11.7942,11.4097,277.000000,282.970000,5.341264,-11.794203,-11.409652,0.279632,100,100,3701
8,277.00,283.55,4.025854,11.9275,11.6578,277.000000,283.550000,4.025854,-11.927536,-11.657826,0.208426,100,100,4246
9,277.00,283.90,5.150728,12.1768,11.7537,277.000000,283.900000,5.150728,-12.176812,-11.753652,0.278069,100,100,4732
10,277.00,280.88,2.519047,12.3159,11.8709,277.000000,280.880000,2.519047,-12.315942,-11.870928,0.277679,100,100,5159
11,277.00,281.92,3.045259,12.4667,12.2087,277.000000,281.920000,3.045259,-12.466667,-12.208696,0.171455,100,100,5611
12,277.00,282.33,3.749813,12.6406,12.3556,277.000000,282.330000,3.749813,-12.640580,-12.355623,0.161881,100,100,6057
13,277.00,282.36,3.871744,12.8087,12.4785,277.000000,282.360000,3.871744,-12.808696,-12.478464,0.200958,100,100,6532
14,277.00,281.69,3.775434,13.0377,12.7288,277.000000,281.690000,3.775434,-13.037681,-12.728783,0.235864,100,100,7008
15,277.00,282.21,3.742446,13.1652,12.8933,277.000000,282.210000,3.742446,-13.165217,-12.893304,0.203362,100,100,7451
16,277.00,283.71,4.461603,13.3014,13.0117,277.000000,283.710000,4.461603,-13.301449,-13.011739,0.199620,100,100,7911
17,277.00,282.42,3.917091,13.2899,13.0132,277.000000,282.420000,3.917091,-13.289855,-13.013217,0.211719,100,100,8339
18,277.00,286.07,6.278941,13.3304,13.1463,277.000000,286.070000,6.278941,-13.330435,-13.146290,0.213554,100,100,8747
19,277.00,282.85,5.823015,13.4232,13.1333,277.000000,282.850000,5.823015,-13.423188,-13.133333,0.249400,100,100,9179
20,277.00,281.13,2.893631,13.4928,13.2210,277.000000,281.130000,2.893631,-13.492754,-13.220957,0.267649,100,100,9593
21,277.00,280.95,2.916762,13.5362,13.2905,277.000000,280.950000,2.916762,-13.536232,-13.290493,0.235106,100,100,9984
22,277.00,281.72,3.310831,13.6058,13.3674,277.000000,281.720000,3.310831,-13.605797,-13.367362,0.242018,100,100,10420
23,277.00,282.41,4.032605,13.6870,13.4336,277.000000,282.410000,4.032605,-13.686957,-13.433594,0.242219,100,100,10855
24,277.00,281.38,3.905842,13.7101,13.4468,277.000000,281.380000,3.905842,-13.710145,-13.446812,0.198632,100,100,11264
25,277.00,282.02,3.206182,13.7420,13.5470,277.000000,282.020000,3.206182,-13.742029,-13.546986,0.173398,100,100,11657
26,277.00,282.47,4.026053,13.7565,13.5584,277.000000,282.470000,4.026053,-13.756522,-13.558435,0.196333,100,100,12007
