dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
2,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,310,16
4,1,"PROGRAMACION 2",8.0,11.0,C12,131
4,2,"ADMINISTRACION DE OPERACIONES",18.5,21.0,116,6
3,3,"AGRIMENSURA LEGAL 1",8.0,12.0,303,76
4,4,"AGRIMENSURA LEGAL 2",8.0,12.0,705,20
5,5,"AGRIMENSURA LEGAL 3",12.0,16.0,116,6
6,6,"AGRIMENSURA LEGAL 4",8.0,12.0,116,6
1,7,"ALISTAMIENTO NAVAL",8.0,12.0,305,35
5,8,"ANTENAS Y PROPAGACION",8.0,12.0,116,6
5,9,"APLICACIONES DEL ALGEBRA LINEAL",8.0,11.0,705,20
15,10,"ARQUITECTURA DE COMPUTADORAS",8.0,11.0,307,180
11,11,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,11.0,B01,223
10,12,"AUTOMATAS PROGRAMABLES",12.0,16.0,116,6
24,13,"AVALUACIONES 1",11.0,15.0,C21,25
1,14,"AVALUACIONES 2",16.0,20.0,116,6
4,15,"AVALUACIONES 3",8.0,12.0,501,62
24,16,"BASES DE DATOS PARA INGENIERIA",12.0,15.0,311,29
1,17,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,17,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,17,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
20,18,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,B01,223
20,18,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,C01,194
10,19,"CALCULO VECTORIAL",8.0,11.0,307,180
11,20,"CALIDAD DE AGUAS",16.0,20.0,116,6
25,21,"CAMINOS Y CALLES 1",8.0,12.0,B12,141
12,22,"CAPTURA DE DATOS POR PERCEPCION REMOTA",8.0,12.0,C22,102
1,23,"CARTOGRAFIA MATEMATICA",8.0,12.0,116,6
21,24,"CARTOGRAFÍA TEMÁTICA",8.0,12.0,703,20
23,25,"CARTOGRAFÍA TEMÁTICA (ÁREA)",8.0,12.0,310,16
19,26,"CATASTRO",12.0,16.0,116,6
22,27,"COMERCIALIZACION",8.0,12.0,703,20
3,28,"COMPL.ARQUITECTURA DE COMPUTADORAS",8.0,12.0,B23,101
5,29,"COMPORTAMIENTO MECANICO DE MATERIALES 1",8.0,11.0,C01,194
4,30,"COMPORTAMIENTO MECANICO DE MATERIALES 2",11.0,14.5,C12,131
20,31,"COMPORTAMIENTO MEC. DE MATERIALES",8.0,11.5,305,35
24,32,"COMPUTACION 1",8.0,11.0,C21,25
20,33,"COMUNICACIONES DIGITALES",8.0,12.0,Hall,100
24,34,"CONTROL DE CALIDAD",8.0,12.0,B21,39
24,35,"COSTOS",8.0,12.0,722,10
25,36,"COSTOS PARA INGENIERIA",12.0,16.0,727,20
16,37,"DINAMICA DE MAQUINAS Y VIBRACION",12.0,16.0,116,6
19,38,"DISEÑO ASISTIDO POR COMPUTADOR",8.0,12.0,722,10
16,39,"DISEÑO CATASTRAL",16.0,20.0,116,6
10,40,"DISEÑO DE PROCESOS QUIMICOS",8.0,12.0,116,6
2,41,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",8.0,12.0,309,16
22,42,"DISEÑO HIDROLOGICO",8.0,12.0,116,6
25,43,"DISEÑO LOGICO",8.0,12.0,727,20
25,44,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",14.5,18.5,B01,223
2,45,"ECONOMIA",8.0,12.0,B01,223
2,45,"ECONOMIA",8.0,12.0,C01,194
2,45,"ECONOMIA",8.0,12.0,C12,131
12,46,"ECONOMÍA (AREA)",8.0,12.0,A12,119
3,47,"EJERCICIOS DE INGENIERIA SANITARIA",8.0,12.0,115,40
7,48,"ELASTICIDAD",8.0,12.0,116,6
24,49,"ELECTROMAGNETISMO",8.0,12.0,A01,145
1,50,"ELECTRONICA AVANZADA 1",8.0,11.0,115,40
