dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,17,17,17,206,V,V,V,V,V,V,V,157,V,226,V,62,V,V,V,V,50,259,68,7,V,V,V,221,V,V,V,V,V,168,205,V,V,137,23
1,2,8.5,17,17,17,206,V,V,V,V,V,V,V,157,V,226,V,62,V,V,V,V,50,259,68,7,V,V,V,221,V,V,V,V,V,168,205,V,V,137,23
1,3,9.0,17,17,17,206,V,V,V,V,V,V,V,157,V,226,V,62,V,V,V,V,50,259,68,7,V,V,V,221,V,V,V,V,V,168,205,V,V,137,23
1,4,9.5,17,17,17,206,V,V,V,V,V,V,V,157,V,226,V,62,V,V,V,V,50,259,68,7,V,V,V,221,V,V,V,V,V,168,205,V,V,137,23
1,5,10.0,17,17,17,206,V,V,V,V,V,V,V,157,V,226,V,62,V,V,V,V,50,259,68,7,V,V,V,221,V,V,V,V,V,168,205,V,V,137,23
1,6,10.5,17,17,17,206,V,V,V,V,V,V,V,157,V,226,V,62,V,V,V,V,50,259,68,7,V,V,V,221,V,V,V,V,V,168,205,V,V,137,23
1,7,11.0,172,172,V,206,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,259,68,7,V,V,V,221,V,V,V,V,V,168,V,V,V,51,23
1,8,11.5,172,172,V,206,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,68,7,V,V,V,221,V,V,V,V,V,168,V,V,V,51,23
1,9,12.0,172,172,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,133,V,V,V,V,136,V,V,V,V,V,V,V,V,V,51,57
1,10,12.5,172,172,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,133,V,V,V,V,136,V,V,V,V,V,V,V,V,V,51,57
1,11,13.0,172,172,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,133,V,V,V,V,136,V,V,V,V,V,V,V,V,V,51,57
1,12,13.5,172,172,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,133,V,V,V,V,136,V,V,V,V,V,V,V,V,V,51,57
1,13,14.0,V,79,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,133,V,V,V,V,136,V,V,V,V,V,V,V,V,V,V,57
1,14,14.5,V,79,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,133,V,V,V,V,136,V,V,V,V,V,V,V,V,V,V,57
1,15,15.0,V,79,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,133,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,57
1,16,15.5,V,79,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,57
1,17,16.0,V,79,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,14
1,18,16.5,V,79,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,14
1,19,17.0,V,79,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,14
1,20,17.5,V,79,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,14
1,21,18.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,14
1,22,18.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,14
1,23,19.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,14
1,24,19.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,14
1,25,20.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,26,20.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
2,1,8.0,45,45,V,V,253,45,V,165,V,V,V,218,V,V,245,V,V,V,V,V,192,242,V,120,V,V,V,V,V,V,V,229,V,V,131,41,0,161,117
2,2,8.5,45,45,V,V,253,45,V,165,V,V,V,218,V,V,245,V,V,V,V,V,192,242,V,120,V,V,V,V,V,V,V,229,V,V,131,41,0,161,117
2,3,9.0,45,45,V,V,253,45,V,165,V,V,V,218,V,V,245,V,V,V,V,V,192,242,V,120,V,V,V,V,V,V,V,229,V,V,131,41,0,161,117
