generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.18,8.8457,8.5096,73,100,443
2,294.00,303.03,9.1914,8.4949,65,100,773
3,294.00,310.23,10.0914,9.6477,70,100,1473
4,294.00,304.46,10.7857,10.3469,68,100,1846
5,294.00,303.34,11.3143,10.6745,97,100,2258
6,294.00,307.36,11.6543,11.1454,100,100,2764
7,294.00,307.95,12.0114,11.4805,100,100,3363
8,294.00,307.56,12.1771,11.6419,100,100,4042
9,294.00,310.60,12.4371,11.9649,100,100,4725
10,294.00,308.66,12.4686,12.0803,100,100,5473
11,294.00,312.28,12.6000,12.2485,100,100,6234
12,294.00,310.45,12.8257,12.4389,100,100,7050
13,294.00,308.98,12.8886,12.4930,100,100,7908
14,294.00,309.38,12.9371,12.6242,100,100,8760
15,294.00,307.07,13.1143,12.6935,100,100,9636
16,294.00,311.00,13.1514,12.8442,100,100,10527
17,294.00,307.92,13.2457,12.9196,100,100,11457
18,294.00,307.75,13.3171,12.9532,100,100,12394
19,294.00,313.18,13.3057,13.0478,100,100,13367
20,294.00,311.03,13.3143,13.0363,100,100,14343
21,294.00,313.17,13.3486,13.1211,100,100,15317
22,294.00,306.23,13.3571,13.1075,100,100,16295
23,294.00,301.96,13.3943,13.1932,100,100,17286
24,294.00,299.73,13.4457,13.1636,100,100,18264
25,294.00,298.46,13.5714,13.2229,100,100,19282
26,294.00,298.41,13.6600,13.3394,100,100,20341
27,294.00,298.06,13.7914,13.5420,100,100,21406
28,294.00,298.26,13.8857,13.6263,100,100,22495
29,294.00,299.44,13.9400,13.7491,100,100,23598
30,294.00,297.62,14.0200,13.7899,100,100,24722
31,294.00,298.10,14.1143,13.9054,100,100,25878
32,294.00,299.07,14.1714,13.9929,100,100,27047
33,294.00,299.49,14.1829,14.0451,100,100,28230
34,294.00,299.26,14.2543,14.0617,100,100,29426
35,294.00,299.59,14.2543,14.0817,100,100,30691
36,294.00,300.98,14.2743,14.1383,100,100,31928
37,294.00,301.46,14.2771,14.1835,100,100,33125
38,294.00,300.30,14.2971,14.1973,100,100,34305
39,294.00,300.86,14.3371,14.2209,100,100,35536
40,294.00,299.48,14.3429,14.2130,100,100,36731
41,294.00,300.99,14.3371,14.2446,100,100,37923
42,294.00,301.01,14.3514,14.2677,100,100,39118
43,294.00,300.16,14.3486,14.2689,100,100,40319
44,294.00,298.89,14.3914,14.2533,100,100,41538
45,294.00,299.06,14.4000,14.2767,100,100,42759
46,294.00,299.09,14.4029,14.2846,100,100,44002
47,294.00,299.04,14.4914,14.3045,100,100,45260
48,294.00,301.61,14.5229,14.3921,100,100,46517
49,294.00,303.00,14.5229,14.4366,100,100,47703
50,294.00,301.22,14.5714,14.4319,100,100,48891
51,294.00,301.74,14.5771,14.4625,100,100,50095
52,294.00,301.71,14.5829,14.4629,100,100,51292
53,294.00,301.33,14.5914,14.4505,100,100,52473
54,294.00,300.11,14.5943,14.4369,100,100,53680
55,294.00,300.74,14.5886,14.4602,100,100,54872
56,294.00,301.41,14.7229,14.5024,100,100,56062
57,294.00,300.74,14.7229,14.5118,100,100,57232
58,294.00,301.44,14.7200,14.5550,100,100,58435
59,294.00,300.98,14.7257,14.5426,100,100,59639
60,294.00,302.19,14.7343,14.5964,100,100,60825
61,294.00,303.14,14.7571,14.6277,100,100,62011
62,294.00,302.89,14.7571,14.6184,100,100,63190
63,295.00,304.09,14.7657,14.6871,100,100,64367
64,295.00,303.58,14.7771,14.6896,100,100,65576
65,295.00,303.29,14.7857,14.6953,100,100,66804
66,295.00,302.43,14.7914,14.6891,100,100,68005
67,295.00,302.54,14.7914,14.6924,100,100,69214
68,295.00,304.64,14.7971,14.7257,100,100,70516
69,295.00,303.69,14.8057,14.7218,100,100,71768
70,295.00,302.88,14.8086,14.7075,100,100,73011
71,295.00,304.38,14.8086,14.7285,100,100,74261
72,295.00,302.72,14.8029,14.6815,100,100,75501
73,295.00,302.23,14.8029,14.6837,100,100,76720
74,295.00,303.55,14.8400,14.7035,100,100,77948
75,295.00,305.44,14.8400,14.7205,100,100,79167
76,295.00,305.49,14.8514,14.7472,100,100,80381
77,295.00,306.24,14.8629,14.7680,100,100,81612
78,295.00,305.15,14.9000,14.7603,100,100,82826
79,295.00,304.92,14.9000,14.7759,100,100,84002
80,295.00,305.30,14.9057,14.7971,100,100,85167
81,295.00,304.59,14.9229,14.7822,100,100,86313
82,295.00,305.73,14.9114,14.8180,100,100,87474
83,295.00,303.36,14.9057,14.7852,100,100,88658
84,295.00,303.35,14.9171,14.7923,100,100,89880
85,295.00,305.09,14.9229,14.8152,100,100,91081
86,295.00,306.18,14.9229,14.8317,100,100,92261
87,295.00,306.09,14.9457,14.8422,100,100,93413
88,295.00,309.58,14.9429,14.8564,100,100,94609
89,295.00,311.21,14.9457,14.8861,100,100,95800
90,295.00,312.17,14.9571,14.8806,100,100,97036
91,295.00,305.17,14.9543,14.8305,100,100,98255
92,295.00,299.82,14.9514,14.7870,100,100,99464
93,295.00,302.83,14.9514,14.8225,100,100,100659
94,295.00,301.59,14.9686,14.8523,100,100,101886
95,295.00,305.42,14.9543,14.8941,100,100,103098
96,295.00,309.29,14.9714,14.8909,100,100,104308
97,295.00,307.38,14.9629,14.9021,100,100,105501
98,295.00,304.78,14.9714,14.8852,100,100,106679
99,295.00,306.70,14.9514,14.9147,100,100,107856
100,295.00,302.20,14.9657,14.8978,100,100,109055
101,295.00,304.57,14.9486,14.9124,100,100,110250
