dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
11,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,727,20
17,1,"PROGRAMACION 2",8.0,11.0,312,94
13,2,"ADMINISTRACION DE INFRAESTRUCTURAS",16.0,20.0,116,6
13,3,"ADMINISTRACION DE OPERACIONES",8.0,10.5,C01,194
24,4,"AGRIMENSURA LEGAL 1",8.0,12.0,C01,194
6,5,"AGRIMENSURA LEGAL 2",8.0,12.0,116,6
5,6,"AGRIMENSURA LEGAL 3",12.0,16.0,116,6
7,7,"AGRIMENSURA LEGAL 4",16.0,20.0,116,6
24,8,"ALISTAMIENTO NAVAL",12.0,16.0,116,6
25,9,"ANALISIS DE ALIMENTOS",8.0,12.0,115,40
20,10,"ANTENAS Y PROPAGACION",8.0,12.0,502,20
10,11,"APLICACIONES DEL ALGEBRA LINEAL",8.0,11.0,B12,141
24,12,"ARQUITECTURA DE COMPUTADORAS",8.0,11.0,B23,101
6,13,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,11.0,307,180
15,14,"ASTRONOMIA GEODESICA",16.0,20.0,116,6
15,15,"AUTOMATAS PROGRAMABLES",12.0,16.0,116,6
25,16,"AVALUACIONES 1",12.0,16.0,A22,124
6,17,"AVALUACIONES 2",8.0,12.0,B01,223
2,18,"AVALUACIONES 3",8.0,12.0,116,6
19,19,"BASES DE DATOS I",12.0,16.0,116,6
11,20,"BASES DE DATOS II",8.0,12.0,722,10
17,21,"BASES DE DATOS PARA INGENIERIA",8.0,11.0,310,16
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
1,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",11.0,15.0,B01,223
1,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",11.0,15.0,C01,194
25,24,"CALCULO VECTORIAL",11.0,14.0,312,94
20,25,"CALIDAD DE AGUAS",16.0,20.0,116,6
25,26,"CAMINOS Y CALLES 1",8.0,12.0,705,20
25,27,"CAPTURA DE DATOS POR PERCEPCION REMOTA",12.0,16.0,116,6
24,28,"CARTOGRAFIA MATEMATICA",8.0,12.0,C22,102
23,29,"CARTOGRAFÍA TEMÁTICA",8.0,12.0,116,6
23,29,"CARTOGRAFÍA TEMÁTICA",8.0,12.0,309,16
9,30,"CARTOGRAFÍA TEMÁTICA (ÁREA)",8.0,12.0,722,10
1,31,"CATASTRO",12.0,16.0,A01,145
1,31,"CATASTRO",12.0,16.0,B22,32
16,32,"COMERCIALIZACION",12.0,16.0,C12,131
7,33,"COMPL.ARQUITECTURA DE COMPUTADORAS",8.0,12.0,C01,194
3,34,"COMPORTAMIENTO MECANICO DE MATERIALES 1",16.0,19.0,310,16
17,35,"COMPORTAMIENTO MECANICO DE MATERIALES 2",8.0,11.5,307,180
4,36,"COMPORTAMIENTO MEC. DE MATERIALES",8.0,11.5,307,180
25,37,"COMPUTACION 1",16.0,19.0,727,20
1,38,"COMUNICACIONES DIGITALES",8.0,12.0,303,76
24,39,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",16.5,19.5,310,16
8,40,"CONTABILIDAD (ACT.COMPL.4)",8.0,12.0,C01,194
25,41,"CONTROL DE CALIDAD",8.0,12.0,C11,25
2,42,"COSTOS",8.0,12.0,309,16
1,43,"COSTOS PARA INGENIERIA",8.0,12.0,Piso,70
19,44,"DINAMICA DE MAQUINAS Y VIBRACION",8.0,12.0,116,6
20,45,"DISEÑO ASISTIDO POR COMPUTADOR",12.0,16.0,116,6
12,46,"DISEÑO CATASTRAL",12.0,16.0,116,6
6,47,"DISEÑO DE PROCESOS QUIMICOS",16.0,20.0,116,6
16,48,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",12.0,16.0,116,6
5,49,"DISEÑO HIDROLOGICO",8.0,12.0,116,6
25,50,"DISEÑO LOGICO",12.0,16.0,C11,25
21,51,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",14.0,18.0,116,6
1,52,"ECONOMIA",15.0,19.0,B01,223
1,52,"ECONOMIA",15.0,19.0,C01,194
19,53,"ECONOMÍA (AREA)",12.0,16.0,A11,25
17,54,"EJERCICIOS DE INGENIERIA SANITARIA",8.0,12.0,B01,223
3,55,"ELASTICIDAD",8.0,12.0,116,6
