dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,22,22,22,176,V,V,V,V,64,80,V,110,202,V,38,V,43,V,V,66,V,82,V,69,261,77,V,59,V,263,75,V,V,V,260,80,232,98,232
1,2,8.5,22,22,22,176,V,V,V,V,64,80,V,110,202,V,38,V,43,V,V,66,V,82,V,69,261,77,V,59,V,263,75,V,V,V,260,80,232,98,232
1,3,9.0,22,22,22,176,V,V,V,V,64,80,V,110,202,V,38,V,43,V,V,66,V,82,V,69,261,77,V,59,V,263,75,V,V,V,260,80,232,98,232
1,4,9.5,22,22,22,176,V,V,V,V,64,80,V,110,202,V,38,V,43,V,V,66,V,82,V,69,261,77,V,59,V,263,75,V,V,V,260,80,232,98,232
1,5,10.0,22,22,22,176,V,V,V,V,64,80,V,V,202,V,38,V,43,V,V,66,V,82,V,69,261,77,V,59,V,263,75,V,V,V,260,80,232,98,232
1,6,10.5,22,22,22,176,V,V,V,V,64,80,V,V,202,V,38,V,43,V,V,66,V,82,V,69,261,77,V,59,V,263,75,V,V,V,260,80,232,98,232
1,7,11.0,23,23,188,176,V,V,V,V,64,V,V,V,161,V,38,V,43,V,V,155,V,82,V,279,261,77,V,59,V,263,75,V,V,V,260,186,232,98,232
1,8,11.5,23,23,188,176,V,V,V,V,64,V,V,V,161,V,38,V,43,V,V,155,V,82,V,279,261,77,V,59,V,263,75,V,V,V,260,186,232,98,232
1,9,12.0,23,23,188,31,V,V,V,V,V,V,V,V,161,V,V,V,V,V,V,155,V,109,V,279,31,250,V,58,V,228,V,V,V,V,V,186,129,281,274
1,10,12.5,23,23,188,31,V,V,V,V,V,V,V,V,161,V,V,V,V,V,V,155,V,109,V,279,31,250,V,58,V,228,V,V,V,V,V,186,129,281,274
1,11,13.0,23,23,188,31,V,V,V,V,V,V,V,V,161,V,V,V,V,V,V,155,V,109,V,279,31,250,V,58,V,228,V,V,V,V,V,186,129,281,274
1,12,13.5,23,23,188,31,V,V,V,V,V,V,V,V,161,V,V,V,V,V,V,155,V,109,V,279,31,250,V,58,V,228,V,V,V,V,V,186,129,281,274
1,13,14.0,23,23,V,31,V,V,V,V,V,V,V,V,161,V,V,V,V,V,V,155,V,109,V,279,31,250,V,58,V,228,V,V,V,V,V,186,129,281,274
1,14,14.5,23,23,V,31,V,V,V,V,V,V,V,V,161,V,V,V,V,V,V,155,V,109,V,185,31,250,V,58,V,228,V,V,V,V,V,186,129,281,274
