generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,304.14,8.9571,8.5263,87,100,803
2,294.00,305.55,8.9371,8.4464,82,100,1418
3,294.00,299.68,9.8571,9.4286,73,100,3888
4,294.00,298.11,10.0771,9.9628,56,100,6582
5,294.00,303.49,10.5429,10.3276,100,100,8875
6,294.00,301.82,10.8971,10.5809,100,100,10870
7,294.00,301.10,11.1143,10.7812,100,100,12979
8,294.00,300.15,11.2514,10.9218,100,100,15112
9,294.00,304.25,11.4743,11.1781,100,100,17252
10,294.00,303.25,11.5457,11.1995,100,100,19458
11,294.00,300.92,11.6800,11.3255,100,100,21695
12,294.00,301.71,11.7029,11.4116,100,100,23921
13,294.00,299.24,11.8429,11.4431,100,100,26097
14,294.00,298.45,11.9143,11.6406,100,100,28265
15,294.00,298.66,12.1829,11.8147,100,100,30429
16,294.00,299.95,12.2543,11.9855,100,100,32551
17,294.00,299.82,12.2829,12.0454,100,100,34709
18,294.00,298.99,12.3229,12.0633,100,100,36894
19,294.00,298.91,12.4143,12.0961,100,100,39015
20,294.00,300.61,12.4886,12.2400,100,100,41134
21,294.00,300.27,12.5286,12.2406,100,100,43269
22,294.00,300.15,12.5371,12.2710,100,100,45565
23,294.00,300.77,12.6000,12.3447,100,100,47801
24,294.00,301.60,12.6943,12.4441,100,100,49989
25,294.00,302.04,12.7000,12.5325,100,100,52177
26,294.00,299.37,12.7286,12.5410,100,100,54454
27,294.00,297.22,12.8486,12.6360,100,100,56724
28,294.00,297.20,12.9514,12.7621,100,100,58951
29,294.00,298.03,13.0686,12.8661,100,100,61146
30,294.00,299.18,13.1000,12.9406,100,100,63418
31,294.00,298.26,13.1029,12.9707,100,100,65630
32,294.00,296.96,13.2314,12.9913,100,100,67837
33,294.00,297.51,13.2114,13.0496,100,100,70048
34,294.00,298.73,13.2800,13.1298,100,100,72238
35,294.00,298.69,13.3086,13.1814,100,100,74408
36,294.00,299.86,13.3229,13.2151,100,100,76568
37,294.00,300.18,13.3829,13.2379,100,100,78780
38,294.00,299.90,13.3686,13.2628,100,100,80900
39,294.00,301.24,13.4714,13.3227,100,100,83038
40,294.00,300.88,13.5200,13.3509,100,100,85123
41,294.00,302.47,13.5771,13.3945,100,100,87211
42,294.00,303.11,13.5971,13.4008,100,100,89251
43,294.00,302.02,13.5914,13.3846,100,100,91369
44,294.00,304.35,13.6314,13.4436,100,100,93467
45,294.00,303.60,13.6714,13.4024,100,100,95567
46,294.00,306.22,13.7143,13.4753,100,100,97702
47,294.00,306.56,13.7200,13.5021,100,100,99819
48,294.00,306.14,13.7400,13.5053,100,100,101933
49,294.00,307.15,13.7714,13.5643,100,100,104037
50,294.00,303.69,13.7943,13.5221,100,100,106189
51,294.00,304.66,13.8343,13.5566,100,100,108339
52,294.00,303.80,13.8371,13.5668,100,100,110450
53,294.00,303.98,13.9000,13.5926,100,100,112710
54,294.00,305.34,13.9029,13.6308,100,100,114832
55,294.00,304.08,13.9171,13.5962,100,100,116960
56,294.00,304.32,13.9343,13.6676,100,100,119104
57,294.00,303.95,13.9571,13.6822,100,100,121278
58,294.00,303.59,14.0086,13.7089,100,100,123366
59,294.00,303.60,14.0286,13.7640,100,100,125461
60,294.00,305.36,14.0371,13.8244,100,100,127603
61,294.00,305.17,14.0514,13.8329,100,100,129767
62,294.00,304.54,14.0429,13.8021,100,100,131912
63,294.00,306.98,14.0629,13.8649,100,100,134111
64,294.00,306.63,14.0657,13.8809,100,100,136287
65,294.00,305.65,14.0743,13.8815,100,100,138426
66,294.00,309.02,14.0771,13.9493,100,100,140524
67,294.00,306.56,14.0800,13.8763,100,100,142683
68,294.00,306.07,14.0914,13.9093,100,100,144880
69,294.00,305.38,14.1457,13.9055,100,100,147000
70,294.00,306.72,14.1457,13.9236,100,100,149102
71,294.00,308.00,14.1657,13.9759,100,100,151202
72,294.00,306.31,14.1686,13.9434,100,100,153273
73,294.00,305.75,14.2200,13.9278,100,100,155394
74,294.00,307.29,14.2657,13.9656,100,100,157517
75,294.00,306.61,14.2257,13.9893,100,100,159625
76,294.00,308.89,14.2314,14.0354,100,100,161695
77,294.00,306.49,14.2686,13.9909,100,100,163735
78,294.00,309.82,14.2800,14.0517,100,100,165795
79,294.00,308.56,14.2743,14.0528,100,100,167865
80,294.00,307.75,14.2771,14.0475,100,100,169900
81,294.00,309.02,14.2829,14.0490,100,100,171956
82,294.00,309.17,14.2829,14.0826,100,100,174033
83,294.00,309.68,14.2743,14.0765,100,100,176144
84,294.00,311.27,14.3086,14.0761,100,100,178222
85,294.00,307.09,14.3000,14.0383,100,100,180314
86,294.00,305.33,14.3029,14.0029,100,100,182429
87,294.00,305.75,14.3029,14.0304,100,100,184592
88,294.00,303.46,14.2971,14.0004,100,100,186727
89,294.00,304.45,14.3000,14.0361,100,100,188900
90,294.00,302.38,14.3086,14.0075,100,100,191035
91,294.00,303.32,14.3143,14.0534,100,100,193234
92,294.00,304.38,14.3257,14.0906,100,100,195334
93,294.00,305.67,14.3257,14.1329,100,100,197397
94,294.00,304.74,14.3371,14.1118,100,100,199480
95,294.00,304.14,14.3486,14.1021,100,100,201619
96,294.00,304.32,14.3457,14.1173,100,100,203732
97,294.00,303.47,14.3486,14.1089,100,100,205835
98,294.00,302.97,14.3600,14.0826,100,100,207947
99,294.00,307.85,14.3857,14.2019,100,100,210039
100,294.00,305.71,14.3629,14.1320,100,100,212127
101,294.00,304.31,14.3571,14.1110,100,100,214184
