dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,22,22,22,V,V,138,V,V,V,69,257,V,V,V,233,82,V,V,V,V,264,V,V,254,261,118,V,37,V,165,114,V,4,V,260,V,26,204,273
1,2,8.5,22,22,22,V,V,138,V,V,V,69,257,V,V,V,233,82,V,V,V,V,264,V,V,254,261,118,V,37,V,165,114,V,4,V,260,V,26,204,273
1,3,9.0,22,22,22,V,V,138,V,V,V,69,257,V,V,V,233,82,V,V,V,V,264,V,V,254,261,118,V,37,V,165,114,V,4,V,260,V,26,204,273
1,4,9.5,22,22,22,V,V,138,V,V,V,69,257,V,V,V,233,82,V,V,V,V,264,V,V,254,261,118,V,37,V,165,114,V,4,V,260,V,26,204,273
1,5,10.0,22,22,22,V,V,138,V,V,V,69,257,V,V,V,233,82,V,V,V,V,264,V,V,254,261,118,V,37,V,165,114,V,4,V,260,V,26,V,273
1,6,10.5,22,22,22,V,V,138,V,V,V,69,257,V,V,V,233,82,V,V,V,V,264,V,V,254,261,118,V,37,V,165,114,V,4,V,260,V,26,V,273
1,7,11.0,95,95,V,V,V,138,V,V,V,V,257,V,V,V,233,82,V,V,V,V,264,V,V,254,261,118,V,V,V,127,114,V,4,V,260,V,26,V,273
1,8,11.5,95,95,V,V,V,138,V,V,V,V,257,V,V,V,233,82,V,V,V,V,264,V,V,254,261,118,V,V,V,127,114,V,4,V,260,V,26,V,273
1,9,12.0,95,95,V,V,V,V,V,V,V,V,V,V,V,V,94,V,V,V,V,V,V,V,V,V,V,V,V,V,V,127,V,V,V,V,40,V,279,V,186
1,10,12.5,95,95,V,V,V,V,V,V,V,V,V,V,V,V,94,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,40,V,279,V,186
1,11,13.0,95,95,V,V,V,V,V,V,V,V,V,V,V,V,94,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,40,V,279,V,186
1,12,13.5,95,95,V,V,V,V,V,V,V,V,V,V,V,V,94,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,40,V,279,V,186
1,13,14.0,52,52,V,V,V,V,V,V,V,V,V,V,V,V,94,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,40,V,279,V,186
1,14,14.5,52,52,V,V,V,V,V,V,V,V,V,V,V,V,94,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,40,V,279,V,186
1,15,15.0,52,52,V,V,V,V,V,V,V,V,V,V,V,V,94,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,40,V,279,V,186
1,16,15.5,52,52,V,V,V,V,V,V,V,V,V,V,V,V,94,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,40,V,60,V,186
1,17,16.0,52,52,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,278,V,60,V,147
1,18,16.5,52,52,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,278,V,60,V,147
1,19,17.0,52,52,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,278,V,60,V,147
1,20,17.5,52,52,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,278,V,60,V,147
1,21,18.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,278,V,60,V,147
1,22,18.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,278,V,V,V,147
