generacion,mejor_asignaciones,promedio_asignaciones,desv_std_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,desv_std_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,desv_std_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,282.00,293.06,12.112172,9.0525,8.4277,282.000000,293.056180,12.112172,-9.052469,-8.427729,0.282209,89,100,781
2,282.00,292.67,11.629533,8.9691,8.3904,282.000000,292.666667,11.629533,-8.969136,-8.390359,0.336233,84,100,1420
3,282.00,296.94,10.099939,9.8796,9.3616,282.000000,296.935065,10.099939,-9.879630,-9.361632,0.306830,77,100,2977
4,282.00,293.18,6.850400,10.4660,9.8827,282.000000,293.181818,6.850400,-10.466049,-9.882716,0.432206,77,100,4048
5,282.00,290.51,6.599813,10.6975,10.1482,282.000000,290.512821,6.599813,-10.697531,-10.148188,0.407125,78,100,4942
6,282.00,289.78,4.500686,10.8241,10.4351,282.000000,289.777778,4.500686,-10.824074,-10.435142,0.252383,72,100,5986
7,282.00,291.60,6.646847,11.2840,10.8688,282.000000,291.602941,6.646847,-11.283951,-10.868782,0.374980,68,100,7253
8,282.00,288.05,4.737573,11.4969,11.0208,282.000000,288.052632,4.737573,-11.496914,-11.020752,0.268122,76,100,9425
9,282.00,287.95,4.240197,11.5864,11.1886,282.000000,287.946429,4.240197,-11.586420,-11.188602,0.241028,56,100,10835
10,282.00,285.93,3.258210,11.7593,11.3320,282.000000,285.931034,3.258210,-11.759259,-11.332003,0.186161,58,100,12329
11,282.00,286.58,5.581080,12.0525,11.5684,282.000000,286.584906,5.581080,-12.052469,-11.568425,0.188337,53,100,13796
12,282.00,285.45,2.680139,12.1049,11.6919,282.000000,285.451613,2.680139,-12.104938,-11.691906,0.190168,62,100,15247
13,282.00,285.67,2.217356,12.2191,11.7583,282.000000,285.666667,2.217356,-12.219136,-11.758273,0.224640,72,100,16709
14,282.00,287.67,3.986087,12.4444,12.0006,282.000000,287.666667,3.986087,-12.444444,-12.000583,0.295068,90,100,18206
15,282.00,288.65,4.952936,12.5309,12.1673,282.000000,288.646465,4.952936,-12.530864,-12.167290,0.257676,99,100,19788
16,282.00,290.67,5.502827,12.6173,12.3519,282.000000,290.670000,5.502827,-12.617284,-12.351914,0.224323,100,100,21409
17,282.00,290.54,6.134199,12.7500,12.4433,282.000000,290.540000,6.134199,-12.750000,-12.443272,0.241129,100,100,23199
18,282.00,292.22,6.480093,12.8611,12.5806,282.000000,292.220000,6.480093,-12.861111,-12.580648,0.176079,100,100,24923
19,282.00,290.95,7.291605,12.8210,12.5544,282.000000,290.950000,7.291605,-12.820988,-12.554383,0.228513,100,100,27406
20,282.00,288.29,5.219761,12.8488,12.5815,282.000000,288.290000,5.219761,-12.848765,-12.581481,0.208295,100,100,29734
21,282.00,287.87,4.928803,12.8519,12.6193,282.000000,287.870000,4.928803,-12.851852,-12.619321,0.233362,100,100,31691
22,282.00,287.84,4.029193,12.8642,12.6988,282.000000,287.840000,4.029193,-12.864198,-12.698765,0.186641,100,100,34220
23,282.00,285.87,3.103724,12.9506,12.6400,282.000000,285.870000,3.103724,-12.950617,-12.640031,0.216201,100,100,36469
24,282.00,287.33,3.367655,13.0926,12.8017,282.000000,287.330000,3.367655,-13.092593,-12.801667,0.244036,100,100,38340
25,282.00,287.08,3.511923,13.1296,12.8332,282.000000,287.080000,3.511923,-13.129630,-12.833241,0.265169,100,100,40461
26,282.00,287.40,3.794733,13.1204,12.8371,282.000000,287.400000,3.794733,-13.120370,-12.837099,0.284083,100,100,42347
