INSTANCIA,TAM,POB,CRU,MUT,HV,PARETO_FILE
febrero_2024,274,100,0.80,0.001,0.398952,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.396688,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.406722,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.388862,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.377991,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.354210,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.397606,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.341389,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.380103,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.414784,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.380989,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.393465,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.356320,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.379504,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.412183,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.368294,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.419961,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.402612,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.368819,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.390025,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.415199,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.422685,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.376190,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.418447,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.391656,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.345289,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.348194,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.354733,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.407853,output/febrero_2024_pareto_front.csv
febrero_2024,274,100,0.80,0.001,0.403412,output/febrero_2024_pareto_front.csv
