dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,22,22,22,V,110,V,188,72,267,V,V,V,V,V,V,216,V,81,V,142,V,245,V,61,1,176,V,V,V,137,V,V,115,4,72,V,41,107,184
1,2,8.5,22,22,22,V,110,V,188,72,267,V,V,V,V,V,V,216,V,81,V,142,V,245,V,61,1,176,V,V,V,137,V,V,115,4,72,V,41,107,184
1,3,9.0,22,22,22,V,110,V,188,72,267,V,V,V,V,V,V,216,V,81,V,142,V,245,V,61,1,176,V,V,V,137,V,V,115,4,72,V,41,107,184
1,4,9.5,22,22,22,V,110,V,188,72,267,V,V,V,V,V,V,216,V,81,V,142,V,245,V,61,1,176,V,V,V,137,V,V,115,4,72,V,41,107,184
1,5,10.0,22,22,22,V,V,V,188,V,267,V,V,V,V,V,V,V,V,81,V,142,V,245,V,61,1,176,V,V,V,137,V,V,V,4,V,V,41,107,184
1,6,10.5,22,22,22,V,V,V,188,V,267,V,V,V,V,V,V,V,V,81,V,142,V,245,V,V,1,176,V,V,V,137,V,V,V,4,V,V,41,107,184
1,7,11.0,97,97,V,V,V,V,V,V,267,V,V,V,V,V,V,V,V,81,V,142,V,V,V,V,59,176,V,V,V,137,V,V,V,4,V,V,41,107,184
1,8,11.5,97,97,V,V,V,V,V,V,267,V,V,V,V,V,V,V,V,V,V,142,V,V,V,V,59,176,V,V,V,137,V,V,V,4,V,V,41,107,184
1,9,12.0,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,59,V,V,V,V,V,V,V,V,V,V,V,208,122,28
1,10,12.5,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,59,V,V,V,V,V,V,V,V,V,V,V,208,122,28
1,11,13.0,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,59,V,V,V,V,V,V,V,V,V,V,V,208,122,28
1,12,13.5,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,59,V,V,V,V,V,V,V,V,V,V,V,208,122,28
1,13,14.0,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,59,V,V,V,V,V,V,V,V,V,V,V,208,122,28
1,14,14.5,V,123,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,59,V,V,V,V,V,V,V,V,V,V,V,208,122,28
1,15,15.0,V,123,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,60,122,28
1,16,15.5,V,123,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,60,122,28
1,17,16.0,V,123,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,60,141,46
1,18,16.5,V,123,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,60,141,46
