f1,f2
288.000000,13.135802
310.000000,13.370370
311.000000,13.462963
286.000000,13.015432
300.000000,13.327160
287.000000,13.033951
282.000000,12.932099
297.000000,13.191358
283.000000,12.966049
299.000000,13.317901
287.000000,12.993827
286.000000,12.935185
283.000000,12.484568
290.000000,13.169753
289.000000,13.145062
284.000000,12.879630
297.000000,13.179012
288.000000,13.018519
282.000000,12.438272
291.000000,13.447531
292.000000,13.462963
283.000000,13.225309
287.000000,13.342593
282.000000,13.212963
288.000000,13.367284
285.000000,13.320988
295.000000,13.506173
297.000000,13.512346
289.000000,13.391975
290.000000,13.398148
294.000000,13.469136
283.000000,12.481481
286.000000,12.641975
282.000000,12.441358
285.000000,12.635802
284.000000,12.546296
289.000000,12.805556
282.000000,12.216049
284.000000,12.379630
283.000000,12.345679
286.000000,11.500000
287.000000,11.638889
282.000000,11.370370
285.000000,13.024691
287.000000,13.055556
282.000000,12.716049
284.000000,12.728395
293.000000,13.151235
291.000000,13.141975
292.000000,13.148148
289.000000,13.117284
288.000000,13.064815
298.000000,11.074074
283.000000,10.910494
282.000000,10.645062
299.000000,11.342593
300.000000,11.379630
289.000000,12.503086
290.000000,12.530864
282.000000,12.342593
286.000000,12.438272
288.000000,12.475309
289.000000,13.598765
285.000000,13.493827
290.000000,13.728395
294.000000,13.734568
283.000000,13.435185
284.000000,13.453704
282.000000,13.416667
283.000000,12.166667
285.000000,12.379630
282.000000,12.095679
289.000000,12.546296
284.000000,12.231481
286.000000,12.456790
285.000000,12.929012
288.000000,13.000000
298.000000,13.086420
282.000000,12.700617
291.000000,13.043210
283.000000,12.824074
290.000000,13.040123
284.000000,12.861111
297.000000,13.067901
294.000000,11.805556
295.000000,11.811728
283.000000,11.493827
290.000000,11.546296
291.000000,11.753086
282.000000,11.419753
290.000000,12.478395
282.000000,11.700617
295.000000,12.580247
283.000000,11.765432
291.000000,12.577160
285.000000,11.895062
286.000000,12.067901
284.000000,11.879630
288.000000,12.432099
287.000000,12.320988
282.000000,13.336420
287.000000,13.521605
288.000000,13.558642
285.000000,13.348765
298.000000,12.169753
284.000000,11.932099
285.000000,12.000000
282.000000,11.830247
300.000000,12.271605
301.000000,12.290123
297.000000,12.141975
287.000000,13.799383
286.000000,13.756173
284.000000,13.697531
282.000000,13.373457
283.000000,13.395062
285.000000,13.212963
288.000000,13.243827
287.000000,13.231481
282.000000,13.179012
284.000000,13.206790
282.000000,11.870370
287.000000,12.274691
285.000000,12.206790
288.000000,12.280864
283.000000,11.929012
289.000000,12.317901
290.000000,12.336420
310.000000,12.432099
292.000000,12.370370
286.000000,12.240741
295.000000,12.929012
292.000000,12.632716
283.000000,12.407407
282.000000,12.376543
294.000000,12.842593
290.000000,12.567901
284.000000,13.521605
286.000000,13.669753
282.000000,13.237654
289.000000,13.672840
283.000000,13.299383
285.000000,13.641975
282.000000,13.533951
286.000000,13.814815
287.000000,13.888889
284.000000,13.608025
283.000000,13.589506
285.000000,13.611111
286.000000,12.290123
285.000000,12.222222
282.000000,12.086420
283.000000,12.175926
287.000000,12.361111
286.000000,13.734568
284.000000,13.685185
282.000000,13.620370
283.000000,13.638889
284.000000,12.827160
282.000000,12.759259
283.000000,12.814815
282.000000,11.283951
295.000000,11.425926
288.000000,11.172840
297.000000,11.567901
296.000000,11.509259
282.000000,10.679012
286.000000,10.972222
287.000000,11.064815
282.000000,11.592593
289.000000,13.466049
292.000000,13.475309
283.000000,13.033951
282.000000,12.972222
284.000000,13.379630
285.000000,13.391975
294.000000,13.358025
283.000000,13.101852
285.000000,13.114198
291.000000,13.336420
282.000000,12.907407
286.000000,13.256173
289.000000,13.299383
