generacion,mejor_asignaciones,promedio_asignaciones,desv_std_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,desv_std_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,desv_std_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,282.00,289.92,10.795341,8.7160,8.4552,282.000000,289.922078,10.795341,-8.716049,-8.455187,0.250732,77,100,1158
2,282.00,291.92,11.105661,8.8951,8.3597,282.000000,291.917808,11.105661,-8.895062,-8.359674,0.327378,73,100,1711
3,282.00,295.03,7.281047,9.6204,9.2434,282.000000,295.028986,7.281047,-9.620370,-9.243380,0.209077,69,100,3088
4,282.00,291.29,9.668568,10.6574,9.9270,282.000000,291.289855,9.668568,-10.657407,-9.927044,0.554878,69,100,4081
5,282.00,294.20,9.936549,11.1543,10.7407,282.000000,294.200000,9.936549,-11.154321,-10.740664,0.281175,80,100,5133
6,282.00,289.66,6.883633,11.5741,11.0762,282.000000,289.660000,6.883633,-11.574074,-11.076204,0.266957,100,100,6390
7,282.00,288.56,4.695359,11.8241,11.5576,282.000000,288.560000,4.695359,-11.824074,-11.557562,0.199548,100,100,7614
8,282.00,289.73,5.956266,12.1543,11.8669,282.000000,289.730000,5.956266,-12.154321,-11.866944,0.192622,100,100,8542
9,282.00,289.12,5.490501,12.3210,12.0769,282.000000,289.120000,5.490501,-12.320988,-12.076944,0.199429,100,100,9496
10,282.00,286.60,5.466260,12.4074,12.2019,282.000000,286.600000,5.466260,-12.407407,-12.201852,0.132933,100,100,10755
11,282.00,284.41,2.159143,12.6605,12.3726,282.000000,284.410000,2.159143,-12.660494,-12.372562,0.129311,100,100,11910
12,282.00,285.39,2.664188,12.8549,12.6688,282.000000,285.390000,2.664188,-12.854938,-12.668765,0.090009,100,100,13025
13,282.00,286.47,2.765701,13.0278,12.8973,282.000000,286.470000,2.765701,-13.027778,-12.897315,0.081723,100,100,14037
14,282.00,286.25,3.047540,13.0988,12.9825,282.000000,286.250000,3.047540,-13.098765,-12.982531,0.076258,100,100,15065
15,282.00,286.10,2.816026,13.1698,13.0361,282.000000,286.100000,2.816026,-13.169753,-13.036142,0.057200,100,100,16140
16,282.00,286.72,3.114739,13.1759,13.0897,282.000000,286.720000,3.114739,-13.175926,-13.089722,0.045921,100,100,17249
17,282.00,286.45,4.334455,13.3364,13.1702,282.000000,286.450000,4.334455,-13.336420,-13.170154,0.121292,100,100,18446
18,282.00,286.44,3.421462,13.4383,13.2861,282.000000,286.440000,3.421462,-13.438272,-13.286080,0.115104,100,100,19527
19,282.00,286.75,3.263051,13.5278,13.3756,282.000000,286.750000,3.263051,-13.527778,-13.375556,0.121312,100,100,20846
20,282.00,287.10,3.427827,13.5926,13.4450,282.000000,287.100000,3.427827,-13.592593,-13.445000,0.120317,100,100,22047
21,282.00,286.14,3.049656,13.6389,13.5398,282.000000,286.140000,3.049656,-13.638889,-13.539753,0.096990,100,100,23209
22,282.00,284.75,2.099405,13.7840,13.6491,282.000000,284.750000,2.099405,-13.783951,-13.649105,0.126146,100,100,24399
23,282.00,284.00,1.456022,13.8981,13.7538,282.000000,284.000000,1.456022,-13.898148,-13.753765,0.112365,100,100,25581
24,282.00,284.80,1.743560,13.9599,13.8463,282.000000,284.800000,1.743560,-13.959877,-13.846296,0.087660,100,100,26826
25,282.00,286.52,3.198375,14.0494,13.9218,282.000000,286.520000,3.198375,-14.049383,-13.921821,0.114046,100,100,28069
26,282.00,288.09,4.536728,14.1049,13.9958,282.000000,288.090000,4.536728,-14.104938,-13.995833,0.098285,100,100,29345
