dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
24,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,727,20
1,1,"PROGRAMACION 2",8.0,11.0,B22,32
20,2,"ADMINISTRACION DE INFRAESTRUCTURAS",15.5,19.5,116,6
21,3,"ADMINISTRACION DE OPERACIONES",16.0,18.5,116,6
22,4,"AGRIMENSURA LEGAL 1",16.0,20.0,116,6
12,5,"AGRIMENSURA LEGAL 2",8.0,12.0,116,6
23,6,"AGRIMENSURA LEGAL 3",16.0,20.0,116,6
24,7,"AGRIMENSURA LEGAL 4",12.0,16.0,116,6
24,8,"ALISTAMIENTO NAVAL",16.0,20.0,116,6
25,9,"ANALISIS DE ALIMENTOS",15.0,19.0,116,6
1,10,"ANTENAS Y PROPAGACION",17.0,21.0,116,6
4,11,"APLICACIONES DEL ALGEBRA LINEAL",8.0,11.0,116,6
2,12,"ARQUITECTURA DE COMPUTADORAS",15.0,18.0,116,6
25,13,"ASPECTOS BASICOS DE REDES DE COMPUT",12.0,15.0,116,6
3,14,"ASTRONOMIA GEODESICA",13.5,17.5,116,6
4,15,"AUTOMATAS PROGRAMABLES",15.0,19.0,116,6
5,16,"AVALUACIONES 1",16.0,20.0,116,6
6,17,"AVALUACIONES 2",16.0,20.0,116,6
7,18,"AVALUACIONES 3",16.0,20.0,116,6
8,19,"BASES DE DATOS I",14.0,18.0,116,6
9,20,"BASES DE DATOS II",15.0,19.0,116,6
14,21,"BASES DE DATOS PARA INGENIERIA",8.0,11.0,116,6
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
3,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,B01,223
3,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,C01,194
17,24,"CALCULO VECTORIAL",8.0,11.0,A21,72
10,25,"CALIDAD DE AGUAS",15.0,19.0,116,6
22,26,"CAMINOS Y CALLES 1",8.0,12.0,722,10
11,27,"CAPTURA DE DATOS POR PERCEPCION REMOTA",16.0,20.0,116,6
12,28,"CARTOGRAFIA MATEMATICA",16.0,20.0,116,6
13,29,"CARTOGRAFÍA TEMÁTICA",15.0,19.0,116,6
16,30,"CARTOGRAFÍA TEMÁTICA (ÁREA)",16.5,20.5,116,6
14,31,"CATASTRO",8.0,12.0,B01,223
15,32,"COMERCIALIZACION",8.0,12.0,B01,223
18,33,"COMPL.ARQUITECTURA DE COMPUTADORAS",8.0,12.0,B01,223
23,34,"COMPORTAMIENTO MECANICO DE MATERIALES 1",8.0,11.0,722,10
1,35,"COMPORTAMIENTO MECANICO DE MATERIALES 2",13.5,17.0,116,6
3,36,"COMPORTAMIENTO MEC. DE MATERIALES",17.5,21.0,116,6
9,37,"COMPUTACION 1",8.0,11.0,C21,25
19,38,"COMUNICACIONES DIGITALES",8.0,12.0,B01,223
10,39,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",8.0,11.0,C21,25
25,40,"CONTABILIDAD (ACT.COMPL.4)",8.0,12.0,B01,223
7,41,"CONTROL DE CALIDAD",8.0,12.0,310,16
11,42,"COSTOS",8.0,12.0,C21,25
9,43,"COSTOS PARA INGENIERIA",8.0,12.0,B01,223
21,44,"DINAMICA DE MAQUINAS Y VIBRACION",8.0,12.0,B01,223
22,45,"DISEÑO ASISTIDO POR COMPUTADOR",8.0,12.0,B01,223
23,46,"DISEÑO CATASTRAL",8.0,12.0,B01,223
24,47,"DISEÑO DE PROCESOS QUIMICOS",8.0,12.0,B01,223
5,48,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",8.0,12.0,116,6
17,49,"DISEÑO HIDROLOGICO",8.0,12.0,B01,223
20,50,"DISEÑO LOGICO",8.0,12.0,727,20
16,51,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",8.0,12.0,B01,223
6,52,"ECONOMIA",8.0,12.0,B01,223
6,52,"ECONOMIA",8.0,12.0,C01,194
13,53,"ECONOMÍA (AREA)",8.0,12.0,116,6
20,54,"EJERCICIOS DE INGENIERIA SANITARIA",8.0,12.0,B01,223
2,55,"ELASTICIDAD",11.0,15.0,116,6
15,56,"ELECTROMAGNETISMO",8.0,12.0,C21,25
3,57,"ELECTRONICA AVANZADA 1",8.0,11.0,727,20
15,58,"ELECTRONICA AVANZADA 2",8.0,11.0,116,6
24,59,"ELECTRONICA DE POTENCIA",8.0,12.0,116,6
14,60,"ELECTROTECNICA",8.0,11.0,310,16
25,61,"ELECTROTECNICA I",8.0,10.5,305,35
22,62,"ELECTROTECNICA II",8.0,11.0,727,20
8,63,"ELEMENTOS DE GESTION LOGISTICA",8.0,12.0,B01,223
13,64,"ELEMENTOS DE INGENIERIA AMBIENTAL",8.0,12.0,B01,223
14,65,"ELEMENTOS DE MAQUINAS",11.0,15.0,116,6
22,66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",8.0,11.0,B21,39
10,67,"ELEMENTOS DE NAVEGACION",8.0,12.0,B01,223
11,68,"ELEMENTOS DE TOPOGRAFIA",8.0,12.0,B01,223
3,69,"ENERGIA 1- COMBUSTION",8.0,11.0,311,29
14,70,"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",8.0,12.0,C01,194
15,71,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",8.0,12.0,C01,194
6,72,"ESTRUCTURAS DE ACERO",8.0,10.0,722,10
18,73,"ESTRUCTURAS DE BUQUES",8.0,12.0,C01,194
19,74,"ESTRUCTURAS DE DATOS Y ALGORITMOS",8.0,12.0,C01,194
25,75,"ESTRUCTURAS DE MADERA",8.0,12.0,116,6
25,76,"ESTUDIO DEL TRABAJO",8.0,12.0,C01,194
12,77,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",8.0,12.0,C21,25
7,78,"FISICA 1",8.0,11.0,B01,223
7,78,"FISICA 1",8.0,11.0,C01,194
13,79,"FISICA 2",8.0,11.0,Hall,100
11,80,"FISICA 3",8.0,11.0,A12,119
6,81,"FISICA TERMICA",8.0,11.5,311,29
24,82,"FLUIDODINAMICA",8.0,12.0,305,35
9,83,"FOTOGRAMETRIA",8.0,12.0,C01,194
15,84,"FUNCIONES DE VARIABLE COMPLEJA",8.0,11.0,310,16
18,85,"FUNDAMENTOS DE BASES DE DATOS",8.0,11.0,C21,25
12,86,"FUNDAMENTOS DE ROBOTICA INDUSTRIAL",8.0,12.0,B01,223
16,87,"FUND. DE LA PROD. DE CELULOSA Y PAPEL",8.0,11.0,310,16
19,88,"GENERADORES DE VAPOR",8.0,12.0,310,16
3,89,"GEODESIA 1",9.5,13.5,116,6
21,90,"GEODESIA 2",8.0,12.0,C01,194
4,91,"GEODESIA 3",11.0,15.0,116,6
4,92,"GEOESTADISTICA APLICADA",8.0,12.0,307,180
22,93,"GEOFISICA",8.0,12.0,C01,194
10,94,"GEOLOGIA DE INGENIERIA",8.0,12.0,722,10
4,95,"GEOMETRIA Y ALGEBRA LINEAL 1",8.0,11.0,B01,223
4,95,"GEOMETRIA Y ALGEBRA LINEAL 1",8.0,11.0,C01,194
9,96,"GEOMETRIA Y ALGEBRA LINEAL 1 INTERACTIVA",8.0,11.0,310,16
2,97,"GEOMETRIA Y ALGEBRA LINEAL 2",8.0,11.5,B01,223
2,97,"GEOMETRIA Y ALGEBRA LINEAL 2",8.0,11.5,C01,194
25,98,"GESTION DE CALIDAD",8.0,12.0,722,10
5,99,"GESTION DE CALIDAD AMBIENTAL",12.0,16.0,116,6
6,100,"GESTION DEL MANTENIMIENTO",8.0,12.0,116,6
6,101,"GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.",12.0,16.0,116,6
7,102,"GESTION DE MANTENIMIENTO",8.0,12.0,116,6
7,103,"HIDRAULICA FLUVIAL Y MARITIMA",12.0,16.0,116,6
23,104,"HIDRAULICA Y NEUMATICA",8.0,12.0,C01,194
24,105,"HIDRODINAMICA NAVAL",8.0,12.0,C01,194
17,106,"HIDROLOGIA AVANZADA II",8.0,12.0,C01,194
1,107,"HIDROLOGIA E HIDRAULICA APLICADAS",8.0,12.0,722,10
16,108,"HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS",8.0,12.0,C01,194
10,109,"HORMIGON ESTRUCTURAL 1",8.0,11.5,310,16
8,110,"HORMIGON ESTRUCTURAL 2",8.0,10.0,116,6
1,111,"HORMIGON ESTRUCTURAL 3",8.0,13.5,116,6
20,112,"INGENIERIA AMBIENTAL PARA LA INDUSTRIA DE PROCESOS",8.0,12.0,C01,194
15,113,"INGENIERIA BIOQUIMICA",11.0,15.0,116,6
7,114,"INGENIERIA DE LAS REACCIONES QUIMICAS 1",8.0,12.0,722,10
11,115,"INGENIERIA DE LAS REACCIONES QUIMICAS 2",8.0,10.0,310,16
2,116,"INGENIERIA DE LOS PROCESOS ELECTROQUIMICOS",8.0,12.0,307,180
8,117,"INGENIERIA DE SOFTWARE",8.0,12.0,C01,194
4,118,"INGENIERIA LEGAL",8.0,12.0,311,29
13,119,"INGLES CONVERSACIONAL (ACT.COMPL.2)",8.0,12.0,C01,194
8,120,"INGLES TECNICO",10.0,14.0,116,6
10,121,"INGLES TECNICO 1 (ACT.COMPL.1)",8.0,12.0,C01,194
2,122,"INSTALACIONES ELECTRICAS",8.0,12.0,722,10
11,123,"INSTALACIONES GENERALES DE GASES COMBUSTIBLES",8.0,12.0,C01,194
5,124,"INSTRUMENTACION INDUSTRIAL",8.0,12.0,310,16
2,125,"INSTRUMENTACION Y CONTROL",8.0,11.0,116,6
16,126,"INT. A LA CIENCIA DE LOS MATERIALES",11.0,12.5,116,6
3,127,"INT. A LA CIENCIA DE MATERIALES",8.0,9.5,116,6
14,128,"INT. A LA COMBUSTION",8.0,12.0,307,180
17,129,"INT. A LA CONSTRUCCION",8.0,12.0,310,16
15,130,"INT. A LA CORROSION DEL HORMIGON ARMADO",8.0,12.0,307,180
3,131,"INT. A LA ELECTROTECNIA",8.0,11.0,722,10
18,132,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.",8.0,12.0,307,180
19,133,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.(ÁREA)",8.0,12.0,307,180
9,134,"INT. A LA EVALUACION Y GESTION AMBIENTAL",11.0,15.0,116,6
17,135,"INT. A LA FISICA MODERNA",12.0,16.0,116,6
25,136,"INT. A LA GEODESIA Y SIST. DE POS. GLOBAL",8.0,12.0,307,180
16,137,"INT. A LA INGENIERIA BIOQUIMICA",8.0,12.0,C21,25
11,138,"INT. A LA INGENIERIA DE PROCESOS",8.0,12.0,722,10
21,139,"INT. A LA INGENIERIA DE SOFTWARE",8.0,11.0,727,20
6,140,"INT. A LA INGENIERIA NAVAL",8.0,12.0,307,180
10,141,"INT. A LA INGENIERIA SANITARIA",11.0,15.0,116,6
20,142,"INT. A LA INVESTIGACION DE OPERACIONES",8.0,12.0,B11,50
