materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",452,3.0,1,8.0,"B01;307;C01",597,OK
97,"GEOMETRIA Y ALGEBRA LINEAL 2",301,3.5,2,8.0,"B01;C01",417,OK
23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",296,4.0,3,8.0,"B01;C01",417,OK
95,"GEOMETRIA Y ALGEBRA LINEAL 1",286,3.0,4,8.0,"B01;C01",417,OK
172,"MATEMATICA DISCRETA 1",279,3.0,23,8.0,"B01;C01",417,OK
52,"ECONOMIA",262,4.0,1,11.0,"B01;C01",417,OK
78,"FISICA 1",258,3.0,2,11.5,"B01;C01",417,OK
188,"METODOS NUMERICOS",128,3.0,1,8.0,"Actos",128,OK
206,"PROGRAMACION 1",116,3.0,25,8.0,"A12",119,OK
173,"MATEMATICA DISCRETA 2",107,3.0,25,11.0,"A12",119,OK
80,"FISICA 3",104,3.0,2,14.5,"C21;B01",248,OK
215,"REDES DE COMPUTADORAS",101,3.0,9,8.0,"B23",101,OK
79,"FISICA 2",96,3.0,17,8.0,"Hall",100,OK
202,"PROBABILIDAD Y ESTADISTICA",89,3.0,1,8.0,"Hall",100,OK
181,"MECANICA NEWTONIANA",83,4.0,22,8.0,"Hall",100,OK
159,"LOGICA",80,4.0,23,8.0,"312",94,OK
24,"CALCULO VECTORIAL",71,3.0,17,8.0,"A21",72,OK
207,"PROGRAMACION 3",59,3.0,24,8.0,"601",60,OK
158,"LEGISLACION Y RELACIONES INDUSTRIALES",49,2.0,1,8.0,"A22",124,OK
142,"INT. A LA INVESTIGACION DE OPERACIONES",45,4.0,24,8.0,"B11",50,OK
201,"PRINCIPIOS DE QUIMICA GENERAL",39,4.0,23,8.0,"Hall",100,OK
66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",38,3.0,1,8.0,"B21",39,OK
245,"TEORIA DE CIRCUITOS",36,3.0,24,8.0,"B21",39,OK
