dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
1,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,502,20
12,1,"PROGRAMACION 2",8.0,11.0,B22,32
6,2,"ADMINISTRACION DE INFRAESTRUCTURAS",8.0,12.0,116,6
16,3,"ADMINISTRACION DE OPERACIONES",8.0,10.5,Hall,100
25,4,"AGRIMENSURA LEGAL 1",12.0,16.0,116,6
22,5,"AGRIMENSURA LEGAL 2",8.0,12.0,116,6
6,6,"AGRIMENSURA LEGAL 3",8.0,12.0,115,40
13,7,"AGRIMENSURA LEGAL 4",8.0,12.0,115,40
3,8,"ALISTAMIENTO NAVAL",8.0,12.0,116,6
19,9,"ANALISIS DE ALIMENTOS",12.0,16.0,116,6
16,10,"ANTENAS Y PROPAGACION",12.0,16.0,116,6
6,11,"APLICACIONES DEL ALGEBRA LINEAL",8.0,11.0,722,10
16,12,"ARQUITECTURA DE COMPUTADORAS",8.0,11.0,B01,223
18,13,"ASPECTOS BASICOS DE REDES DE COMPUT",12.0,15.0,307,180
2,14,"ASTRONOMIA GEODESICA",12.0,16.0,116,6
17,15,"AUTOMATAS PROGRAMABLES",11.0,15.0,A21,72
24,16,"AVALUACIONES 1",16.0,20.0,116,6
1,17,"AVALUACIONES 2",8.0,12.0,309,16
10,18,"AVALUACIONES 3",12.0,16.0,116,6
19,19,"BASES DE DATOS I",16.0,20.0,116,6
13,20,"BASES DE DATOS II",16.0,20.0,116,6
1,21,"BASES DE DATOS PARA INGENIERIA",18.0,21.0,B01,223
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
3,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,B01,223
3,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,C01,194
17,24,"CALCULO VECTORIAL",8.0,11.0,A21,72
5,25,"CALIDAD DE AGUAS",12.0,16.0,116,6
1,26,"CAMINOS Y CALLES 1",8.0,12.0,722,10
9,27,"CAPTURA DE DATOS POR PERCEPCION REMOTA",8.0,12.0,116,6
1,28,"CARTOGRAFIA MATEMATICA",8.0,12.0,A11,25
5,29,"CARTOGRAFÍA TEMÁTICA",8.0,12.0,501,62
10,30,"CARTOGRAFÍA TEMÁTICA (ÁREA)",16.0,20.0,116,6
8,31,"CATASTRO",12.0,16.0,116,6
4,32,"COMERCIALIZACION",16.0,20.0,116,6
14,33,"COMPL.ARQUITECTURA DE COMPUTADORAS",16.0,20.0,116,6
2,34,"COMPORTAMIENTO MECANICO DE MATERIALES 1",17.5,20.5,B01,223
23,35,"COMPORTAMIENTO MECANICO DE MATERIALES 2",8.0,11.5,722,10
1,36,"COMPORTAMIENTO MEC. DE MATERIALES",12.0,15.5,725,20
1,37,"COMPUTACION 1",8.0,11.0,C21,25
24,38,"COMUNICACIONES DIGITALES",12.0,16.0,310,16
21,39,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",12.0,15.0,C21,25
11,40,"CONTABILIDAD (ACT.COMPL.4)",12.0,16.0,116,6
25,41,"CONTROL DE CALIDAD",8.0,12.0,B21,39
9,42,"COSTOS",8.0,12.0,C21,25
25,43,"COSTOS PARA INGENIERIA",8.0,12.0,307,180
12,44,"DINAMICA DE MAQUINAS Y VIBRACION",12.0,16.0,B01,223
3,45,"DISEÑO ASISTIDO POR COMPUTADOR",8.0,12.0,311,29
9,46,"DISEÑO CATASTRAL",8.0,12.0,A11,25
20,47,"DISEÑO DE PROCESOS QUIMICOS",8.0,12.0,A22,124
11,48,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",8.0,12.0,115,40
16,49,"DISEÑO HIDROLOGICO",16.0,20.0,116,6
21,50,"DISEÑO LOGICO",8.0,12.0,A12,119
2,51,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",8.0,12.0,116,6
1,52,"ECONOMIA",11.0,15.0,B01,223
1,52,"ECONOMIA",11.0,15.0,C01,194
17,53,"ECONOMÍA (AREA)",8.0,12.0,601,60
11,54,"EJERCICIOS DE INGENIERIA SANITARIA",16.0,20.0,116,6
25,55,"ELASTICIDAD",8.0,12.0,C21,25
1,56,"ELECTROMAGNETISMO",8.0,12.0,305,35
4,57,"ELECTRONICA AVANZADA 1",11.0,14.0,727,20
1,58,"ELECTRONICA AVANZADA 2",15.0,18.0,B01,223
23,59,"ELECTRONICA DE POTENCIA",8.0,12.0,116,6
2,60,"ELECTROTECNICA",8.0,11.0,310,16
24,61,"ELECTROTECNICA I",12.0,14.5,305,35
25,62,"ELECTROTECNICA II",8.0,11.0,727,20
5,63,"ELEMENTOS DE GESTION LOGISTICA",8.0,12.0,309,16
23,64,"ELEMENTOS DE INGENIERIA AMBIENTAL",8.0,12.0,703,20
4,65,"ELEMENTOS DE MAQUINAS",8.0,12.0,A21,72
1,66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",8.0,11.0,B21,39
23,67,"ELEMENTOS DE NAVEGACION",8.0,12.0,B12,141
