dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,22,22,22,V,V,V,188,158,V,210,105,202,V,V,208,273,V,108,V,V,V,66,V,56,V,118,V,28,V,37,0,V,155,219,146,17,124,26,185
1,2,8.5,22,22,22,V,V,V,188,158,V,210,105,202,V,V,208,273,V,108,V,V,V,66,V,56,V,118,V,28,V,37,0,V,155,219,146,17,124,26,185
1,3,9.0,22,22,22,V,V,V,188,158,V,210,105,202,V,V,208,273,V,108,V,V,V,66,V,56,V,118,V,28,V,37,0,V,155,219,146,17,124,26,185
1,4,9.5,22,22,22,V,V,V,188,158,V,210,105,202,V,V,208,273,V,108,V,V,V,66,V,56,V,118,V,28,V,37,0,V,155,219,146,17,124,26,185
1,5,10.0,22,22,22,V,V,V,188,V,V,210,105,202,V,V,208,273,V,108,V,V,V,66,V,56,V,118,V,28,V,37,0,V,155,219,146,17,124,26,185
1,6,10.5,22,22,22,V,V,V,188,V,V,210,105,202,V,V,208,273,V,108,V,V,V,66,V,56,V,118,V,28,V,37,0,V,155,219,146,17,124,26,185
1,7,11.0,52,52,V,V,V,V,V,V,V,V,105,V,V,V,V,273,V,108,V,V,V,V,V,56,V,118,V,28,V,V,0,V,155,219,146,17,124,26,185
1,8,11.5,52,52,V,V,V,V,V,V,V,V,105,V,V,V,V,273,V,108,V,V,V,V,V,56,V,118,V,28,V,V,114,V,155,219,V,17,124,26,185
1,9,12.0,52,52,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,104,V,V,V,V,V,V,V,69,V,V,V,V,114,V,V,36,V,V,225,177,186
1,10,12.5,52,52,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,104,V,V,V,V,V,V,V,69,V,V,V,V,114,V,V,36,V,V,225,177,186
1,11,13.0,52,52,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,104,V,V,V,V,V,V,V,69,V,V,V,V,114,V,V,36,V,V,225,177,186
1,12,13.5,52,52,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,104,V,V,V,V,V,V,V,69,V,V,V,V,114,V,V,36,V,V,225,177,186
1,13,14.0,52,52,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,104,V,V,V,V,V,V,V,69,V,V,V,V,114,V,V,36,V,V,225,177,186
1,14,14.5,52,52,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,104,V,V,V,V,V,V,V,69,V,V,V,V,114,V,V,36,V,V,225,177,186
1,15,15.0,58,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,104,V,V,V,V,V,V,V,V,V,V,V,V,114,V,V,36,V,V,225,177,186
1,16,15.5,58,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,104,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,225,177,186
1,17,16.0,58,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,243,94,103
1,18,16.5,58,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,243,94,103
1,19,17.0,58,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,243,94,103
1,20,17.5,58,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,243,94,103
1,21,18.0,21,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,243,94,103
1,22,18.5,21,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,243,94,103
1,23,19.0,21,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,243,94,103
1,24,19.5,21,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,243,94,103
