generacion,mejor_asignaciones,promedio_asignaciones,desv_std_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,desv_std_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,desv_std_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,288.00,294.83,9.595279,8.4177,7.9346,288.000000,294.825000,9.595279,-8.417683,-7.934566,0.155240,80,100,657
2,288.00,296.53,9.693646,8.4512,7.9049,288.000000,296.529412,9.693646,-8.451220,-7.904914,0.208605,85,100,1197
3,288.00,292.76,3.984166,9.5823,9.2767,288.000000,292.755556,3.984166,-9.582317,-9.276694,0.187714,45,100,2089
4,288.00,293.29,4.322001,10.2073,9.8109,288.000000,293.288136,4.322001,-10.207317,-9.810924,0.258622,59,100,2474
5,288.00,292.87,5.671587,10.8262,10.2543,288.000000,292.868421,5.671587,-10.826220,-10.254332,0.295106,38,100,2912
6,288.00,294.64,4.863966,11.0457,10.7636,288.000000,294.642857,4.863966,-11.045732,-10.763632,0.148600,70,100,3520
7,288.00,292.27,3.118593,11.2683,10.9773,288.000000,292.272727,3.118593,-11.268293,-10.977273,0.159684,55,100,4180
8,288.00,292.35,3.139969,11.5579,11.1595,288.000000,292.353846,3.139969,-11.557927,-11.159475,0.210993,65,100,4876
9,288.00,292.41,2.743673,11.6646,11.3843,288.000000,292.410714,2.743673,-11.664634,-11.384255,0.161718,56,100,5692
10,288.00,292.32,3.039200,11.9116,11.5094,288.000000,292.320755,3.039200,-11.911585,-11.509376,0.187555,53,100,6443
11,288.00,294.30,4.241275,11.9878,11.6964,288.000000,294.301587,4.241275,-11.987805,-11.696429,0.223191,63,100,7258
12,288.00,295.93,5.121045,12.2226,11.8414,288.000000,295.930000,5.121045,-12.222561,-11.841402,0.238584,100,100,8138
13,288.00,293.20,4.356604,12.3598,11.9213,288.000000,293.200000,4.356604,-12.359756,-11.921280,0.262212,100,100,9095
14,288.00,293.30,4.629255,12.4970,12.1086,288.000000,293.300000,4.629255,-12.496951,-12.108628,0.254883,100,100,10068
15,288.00,293.60,3.765634,12.6250,12.3085,288.000000,293.600000,3.765634,-12.625000,-12.308476,0.268590,100,100,11073
16,288.00,292.86,3.646971,12.6860,12.3895,288.000000,292.860000,3.646971,-12.685976,-12.389512,0.292086,100,100,12094
17,288.00,295.35,4.665565,12.7134,12.5472,288.000000,295.350000,4.665565,-12.713415,-12.547226,0.196511,100,100,13386
18,288.00,295.16,5.628001,12.8262,12.5225,288.000000,295.160000,5.628001,-12.826220,-12.522500,0.265516,100,100,14460
19,288.00,292.72,3.625134,12.9238,12.5742,288.000000,292.720000,3.625134,-12.923780,-12.574177,0.277121,100,100,15552
20,288.00,292.50,3.114482,13.0152,12.7673,288.000000,292.500000,3.114482,-13.015244,-12.767340,0.246491,80,100,16598
21,289.00,289.75,1.436141,13.0244,12.6521,289.000000,289.750000,1.436141,-13.024390,-12.652058,0.142732,16,100,17586
22,288.00,292.90,3.144837,13.1067,12.9506,288.000000,292.900000,3.144837,-13.106707,-12.950579,0.163681,0,100,18644
23,288.00,291.08,2.583331,13.1402,12.9203,288.000000,291.080000,2.583331,-13.140244,-12.920335,0.186313,0,100,19699
24,288.00,291.24,2.311363,13.2500,13.0375,288.000000,291.240000,2.311363,-13.250000,-13.037530,0.155527,0,100,20774
25,288.00,291.49,2.872264,13.2835,13.1250,288.000000,291.490000,2.872264,-13.283537,-13.124970,0.137749,0,100,21830
26,288.00,288.00,0.000000,12.8902,12.8902,288.000000,288.000000,0.000000,-12.890244,-12.890244,0.000000,1,100,22761
