dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,21,21,21,21,190,242,V,V,V,V,V,V,V,V,V,V,V,V,V,68,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,134,84,87
1,2,8.5,21,21,21,21,190,242,V,V,V,V,V,V,V,V,V,V,V,V,V,68,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,134,84,87
1,3,9.0,21,21,21,21,190,242,V,V,V,V,V,V,V,V,V,V,V,V,V,68,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,134,84,87
1,4,9.5,21,21,21,21,190,242,V,V,V,V,V,V,V,V,V,V,V,V,V,68,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,134,84,87
1,5,10.0,21,21,21,21,190,242,V,V,V,V,V,V,V,V,V,V,V,V,V,68,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,134,84,87
1,6,10.5,21,21,21,21,190,242,V,V,V,V,V,V,V,V,V,V,V,V,V,68,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,134,84,87
1,7,11.0,V,V,V,V,190,242,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,134,V,87
1,8,11.5,V,V,V,V,190,242,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,134,V,87
1,9,12.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,240
1,10,12.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,240
1,11,13.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,240
1,12,13.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,240
