INSTANCIA,TAM,POB,CRU,MUT,HV,PARETO_FILE
julio_2024,277,100,0.80,0.001,0.407018,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.408937,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.390787,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.394673,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.405286,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.400400,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.417546,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.408747,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.404491,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.401271,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.375874,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.398216,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.418163,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.391349,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.404687,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.398442,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.402395,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.375234,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.406415,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.393344,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.412304,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.391880,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.402488,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.406992,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.405411,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.397209,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.397204,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.408755,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.377431,output/julio_2024_pareto_front.csv
julio_2024,277,100,0.80,0.001,0.400160,output/julio_2024_pareto_front.csv
