dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
2,0,"ELECTRONICA FUNDAMENTAL",12.0,15.5,727,20
16,1,"PROGRAMACION 2",8.0,11.0,A12,119
11,2,"ADMINISTRACION DE INFRAESTRUCTURAS",16.0,20.0,116,6
20,3,"ADMINISTRACION DE OPERACIONES",8.0,10.5,307,180
6,4,"AGRIMENSURA LEGAL 1",8.0,12.0,Hall,100
1,5,"AGRIMENSURA LEGAL 2",12.0,16.0,116,6
19,6,"AGRIMENSURA LEGAL 3",8.0,12.0,309,16
15,7,"AGRIMENSURA LEGAL 4",12.0,16.0,116,6
23,8,"ALISTAMIENTO NAVAL",8.0,12.0,C01,194
3,9,"ANTENAS Y PROPAGACION",8.0,12.0,501,62
11,10,"APLICACIONES DEL ALGEBRA LINEAL",8.0,11.0,A01,145
3,11,"ARQUITECTURA DE COMPUTADORAS",8.0,11.0,502,20
14,12,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,11.0,C01,194
24,13,"ASTRONOMIA GEODESICA",12.0,16.0,116,6
9,14,"AUTOMATAS PROGRAMABLES",12.0,16.0,116,6
3,15,"AVALUACIONES 1",16.0,20.0,116,6
23,16,"AVALUACIONES 2",8.0,12.0,116,6
1,17,"AVALUACIONES 3",16.0,20.0,310,16
3,18,"BASES DE DATOS I",8.0,12.0,116,6
10,19,"BASES DE DATOS II",16.0,20.0,116,6
23,20,"BASES DE DATOS PARA INGENIERIA",8.0,11.0,307,180
1,21,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,21,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,21,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
1,21,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,A01,145
2,22,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",11.0,15.0,B01,223
2,22,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",11.0,15.0,C01,194
19,23,"CALCULO VECTORIAL",8.0,11.0,312,94
7,24,"CALIDAD DE AGUAS",8.0,12.0,116,6
22,25,"CAMINOS Y CALLES 1",8.0,12.0,727,20
16,26,"CAPTURA DE DATOS POR PERCEPCION REMOTA",8.0,12.0,116,6
2,27,"CARTOGRAFIA MATEMATICA",16.0,20.0,116,6
7,28,"CARTOGRAFÍA TEMÁTICA",16.0,20.0,116,6
21,29,"CARTOGRAFÍA TEMÁTICA (ÁREA)",8.0,12.0,116,6
18,30,"CATASTRO",8.0,12.0,116,6
20,31,"COMERCIALIZACION",12.0,16.0,116,6
8,32,"COMPL.ARQUITECTURA DE COMPUTADORAS",8.0,12.0,116,6
1,33,"COMPORTAMIENTO MECANICO DE MATERIALES 1",11.0,14.0,A11,25
13,34,"COMPORTAMIENTO MECANICO DE MATERIALES 2",8.0,11.5,B01,223
15,35,"COMPORTAMIENTO MEC. DE MATERIALES",8.0,11.5,310,16
1,36,"COMPUTACION 1",8.0,11.0,A21,72
12,37,"COMUNICACIONES DIGITALES",8.0,12.0,301,76
21,38,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",8.0,11.0,A01,145
13,39,"CONTABILIDAD (ACT.COMPL.4)",8.0,12.0,116,6
22,40,"CONTROL DE CALIDAD",8.0,12.0,31,35
24,41,"COSTOS",8.0,12.0,310,16
5,42,"COSTOS PARA INGENIERIA",8.0,12.0,116,6
12,43,"DINAMICA DE MAQUINAS Y VIBRACION",16.0,20.0,116,6
12,44,"DISEÑO ASISTIDO POR COMPUTADOR",8.0,12.0,A01,145
2,45,"DISEÑO CATASTRAL",8.0,12.0,A21,72
8,46,"DISEÑO DE PROCESOS QUIMICOS",16.0,20.0,116,6
9,47,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",16.0,20.0,116,6
5,48,"DISEÑO HIDROLOGICO",8.0,12.0,722,10
1,49,"DISEÑO LOGICO",8.0,12.0,725,20
22,50,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",12.0,16.0,116,6
25,51,"ECONOMIA",12.0,16.0,A12,119
18,52,"ECONOMÍA (AREA)",12.0,16.0,116,6
12,53,"EJERCICIOS DE INGENIERIA SANITARIA",8.0,12.0,116,6
1,54,"ELASTICIDAD",8.0,12.0,116,6
2,55,"ELECTROMAGNETISMO",8.0,12.0,722,10
2,56,"ELECTRONICA AVANZADA 1",8.0,11.0,102,25
25,57,"ELECTRONICA AVANZADA 2",16.0,19.0,B01,223
22,58,"ELECTRONICA DE POTENCIA",8.0,12.0,Actos,128
