f1,f2
289.000000,13.201220
288.000000,13.054878
291.000000,13.432927
301.000000,13.655488
297.000000,13.487805
295.000000,13.469512
303.000000,13.676829
299.000000,13.609756
288.000000,12.993902
298.000000,13.533537
294.000000,13.448171
289.000000,13.371951
288.000000,12.625000
291.000000,12.780488
292.000000,12.835366
290.000000,12.768293
289.000000,12.646341
295.000000,12.954268
289.000000,12.798780
290.000000,12.859756
288.000000,12.786585
291.000000,13.012195
296.000000,13.097561
294.000000,13.082317
295.000000,13.085366
293.000000,13.503049
289.000000,13.274390
302.000000,13.539634
291.000000,13.484756
290.000000,13.289634
288.000000,12.963415
294.000000,13.512195
288.000000,13.018293
297.000000,13.307927
298.000000,13.317073
289.000000,13.137195
290.000000,13.173780
291.000000,13.234756
293.000000,13.243902
293.000000,13.786585
290.000000,13.576220
292.000000,13.692073
289.000000,13.536585
288.000000,13.125000
294.000000,13.795732
295.000000,13.810976
297.000000,13.871951
303.000000,13.713415
301.000000,13.524390
300.000000,13.512195
290.000000,12.987805
297.000000,13.289634
298.000000,13.329268
302.000000,13.585366
299.000000,13.429878
289.000000,12.935976
293.000000,13.121951
292.000000,13.103659
307.000000,13.731707
294.000000,13.274390
291.000000,12.990854
288.000000,12.963415
289.000000,13.304878
290.000000,13.381098
295.000000,13.408537
288.000000,12.670732
302.000000,13.405488
294.000000,12.335366
298.000000,12.506098
296.000000,12.399390
299.000000,12.515244
288.000000,12.060976
291.000000,12.216463
295.000000,12.381098
290.000000,12.137195
292.000000,12.283537
290.000000,13.030488
299.000000,13.259146
288.000000,12.780488
291.000000,13.164634
297.000000,13.170732
289.000000,12.884146
301.000000,13.954268
291.000000,13.798780
289.000000,13.734756
288.000000,13.676829
300.000000,13.935976
298.000000,13.926829
292.000000,13.923780
290.000000,13.753049
295.000000,12.798780
291.000000,12.612805
290.000000,12.609756
299.000000,13.030488
294.000000,12.740854
296.000000,12.893293
288.000000,12.457317
292.000000,12.737805
297.000000,12.939024
288.000000,13.140244
290.000000,13.274390
296.000000,13.429878
295.000000,13.393293
292.000000,13.304878
302.000000,13.310976
301.000000,13.256098
288.000000,12.826220
297.000000,13.131098
293.000000,13.115854
299.000000,13.137195
292.000000,13.085366
300.000000,13.189024
289.000000,13.000000
307.000000,13.518293
288.000000,12.810976
305.000000,13.442073
293.000000,13.402439
291.000000,13.359756
289.000000,12.942073
306.000000,13.496951
290.000000,13.243902
289.000000,12.045732
299.000000,12.493902
298.000000,12.472561
294.000000,12.442073
292.000000,12.387195
288.000000,11.920732
290.000000,12.076220
291.000000,12.161585
288.000000,13.368902
306.000000,13.182927
297.000000,13.076220
293.000000,12.783537
294.000000,12.810976
309.000000,13.243902
301.000000,13.161585
288.000000,12.301829
289.000000,12.405488
290.000000,12.676829
299.000000,13.149390
291.000000,12.731707
291.000000,13.551829
290.000000,13.484756
294.000000,13.652439
293.000000,13.609756
289.000000,13.460366
288.000000,13.417683
294.000000,13.103659
317.000000,13.271341
318.000000,13.329268
299.000000,13.222561
297.000000,13.167683
289.000000,12.640244
298.000000,13.189024
296.000000,13.121951
288.000000,12.615854
293.000000,12.899390
290.000000,12.685976
291.000000,12.814024
295.000000,13.310976
308.000000,13.536585
303.000000,13.411585
298.000000,13.399390
289.000000,12.878049
294.000000,13.243902
290.000000,13.131098
296.000000,13.326220
292.000000,13.195122
288.000000,12.591463
291.000000,13.146341
307.000000,13.527439
288.000000,13.225610
289.000000,13.332317
293.000000,13.509146
296.000000,13.512195
290.000000,13.487805
292.000000,13.500000
297.000000,13.521341
289.000000,13.149390
288.000000,12.929878
292.000000,13.399390
295.000000,13.439024
291.000000,13.332317
289.000000,12.765244
292.000000,13.161585
288.000000,12.667683
299.000000,13.225610
290.000000,13.128049
296.000000,13.204268
292.000000,13.018293
289.000000,12.887195
288.000000,12.737805
293.000000,13.048780
291.000000,12.969512
290.000000,12.960366
294.000000,13.152439
301.000000,13.634146
303.000000,13.670732
300.000000,13.618902
297.000000,13.527439
295.000000,13.503049
294.000000,13.496951
289.000000,13.198171
298.000000,13.573171
302.000000,13.658537
288.000000,12.551829
299.000000,13.597561
296.000000,13.515244
293.000000,13.493902
292.000000,13.399390
291.000000,13.225610
289.000000,12.125000
299.000000,12.567073
291.000000,12.280488
290.000000,12.234756
292.000000,12.503049
288.000000,12.048780
289.000000,13.131098
290.000000,13.192073
288.000000,13.112805
