generacion,mejor_asignaciones,promedio_asignaciones,desv_std_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,desv_std_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,desv_std_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,288.00,296.11,10.406384,8.1616,7.9229,288.000000,296.109756,10.406384,-8.161585,-7.922925,0.163022,82,100,764
2,288.00,296.16,9.911412,8.3902,7.8433,288.000000,296.162500,9.911412,-8.390244,-7.843293,0.219903,80,100,1781
3,288.00,290.13,1.742081,9.6616,9.1202,288.000000,290.128205,1.742081,-9.661585,-9.120231,0.181547,39,100,3540
4,288.00,291.00,2.133477,10.1341,9.8773,288.000000,291.000000,2.133477,-10.134146,-9.877313,0.180197,29,100,4196
5,288.00,292.62,3.323374,10.6616,10.2870,288.000000,292.617021,3.323374,-10.661585,-10.287039,0.154093,47,100,4718
6,288.00,293.62,3.717747,10.9543,10.5517,288.000000,293.620690,3.717747,-10.954268,-10.551724,0.183274,29,100,5221
7,288.00,288.42,0.493007,10.4970,10.4609,288.000000,288.416667,0.493007,-10.496951,-10.460874,0.023512,12,100,5655
8,288.00,288.00,0.000000,10.6646,10.6646,288.000000,288.000000,0.000000,-10.664634,-10.664634,0.000000,1,100,6107
9,288.00,300.26,8.063027,11.7226,11.4066,288.000000,300.260000,8.063027,-11.722561,-11.406646,0.270390,0,100,6660
10,288.00,299.72,8.211066,11.7957,11.4718,288.000000,299.720000,8.211066,-11.795732,-11.471768,0.287241,0,100,7338
11,288.00,299.98,9.551942,11.9421,11.5597,288.000000,299.980000,9.551942,-11.942073,-11.559665,0.312800,0,100,8059
12,288.00,299.68,10.250737,12.0579,11.7360,288.000000,299.680000,10.250737,-12.057927,-11.735976,0.311427,0,100,8853
13,288.00,301.84,11.952171,12.1829,11.8823,288.000000,301.840000,11.952171,-12.182927,-11.882317,0.259242,0,100,9719
14,288.00,296.96,10.970798,12.2226,11.9152,288.000000,296.960000,10.970798,-12.222561,-11.915244,0.277251,0,100,10646
15,288.00,291.55,2.808469,12.3171,12.0083,288.000000,291.550000,2.808469,-12.317073,-12.008262,0.263997,0,100,11490
16,288.00,291.78,2.488293,12.3963,12.1872,288.000000,291.780000,2.488293,-12.396341,-12.187226,0.260151,0,100,12302
17,288.00,291.06,2.369895,12.4512,12.2765,288.000000,291.060000,2.369895,-12.451220,-12.276524,0.207989,0,100,13120
18,288.00,292.36,3.683802,12.5152,12.3782,288.000000,292.360000,3.683802,-12.515244,-12.378201,0.188610,0,100,13973
19,288.00,290.66,2.141121,12.6768,12.4475,288.000000,290.660000,2.141121,-12.676829,-12.447530,0.196931,0,100,14815
20,288.00,294.25,4.809106,12.8079,12.6511,288.000000,294.250000,4.809106,-12.807927,-12.651067,0.120356,0,100,15722
21,288.00,291.59,2.223038,12.8994,12.7476,288.000000,291.590000,2.223038,-12.899390,-12.747561,0.161718,0,100,16589
22,288.00,290.89,2.792472,12.9390,12.7205,288.000000,290.890000,2.792472,-12.939024,-12.720457,0.227993,0,100,17439
23,288.00,289.72,1.549710,13.0030,12.8101,288.000000,289.720000,1.549710,-13.003049,-12.810061,0.213210,0,100,18260
24,288.00,291.10,2.308679,13.1707,12.9627,288.000000,291.100000,2.308679,-13.170732,-12.962652,0.150659,0,100,19080
25,288.00,291.45,2.308138,13.2287,13.0536,288.000000,291.450000,2.308138,-13.228659,-13.053628,0.178277,0,100,19887
26,288.00,290.59,2.912370,13.2835,13.0058,288.000000,290.590000,2.912370,-13.283537,-13.005793,0.225609,0,100,20691
