dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
19,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,727,20
13,1,"PROGRAMACION 2",8.0,11.0,A12,119
19,2,"ADMINISTRACION DE INFRAESTRUCTURAS",16.0,20.0,116,6
18,3,"ADMINISTRACION DE OPERACIONES",8.0,10.5,116,6
9,4,"AGRIMENSURA LEGAL 1",8.0,12.0,722,10
20,5,"AGRIMENSURA LEGAL 2",14.5,18.5,116,6
13,6,"AGRIMENSURA LEGAL 3",8.0,12.0,116,6
21,7,"AGRIMENSURA LEGAL 4",16.0,20.0,116,6
22,8,"ALISTAMIENTO NAVAL",14.0,18.0,116,6
10,9,"ANTENAS Y PROPAGACION",8.0,12.0,722,10
23,10,"APLICACIONES DEL ALGEBRA LINEAL",16.0,19.0,116,6
24,11,"ARQUITECTURA DE COMPUTADORAS",16.0,19.0,116,6
4,12,"ASPECTOS BASICOS DE REDES DE COMPUT",10.0,13.0,116,6
25,13,"ASTRONOMIA GEODESICA",16.0,20.0,116,6
1,14,"AUTOMATAS PROGRAMABLES",16.0,20.0,116,6
2,15,"AVALUACIONES 1",16.0,20.0,116,6
3,16,"AVALUACIONES 2",15.0,19.0,116,6
11,17,"AVALUACIONES 3",8.0,12.0,310,16
4,18,"BASES DE DATOS I",13.0,17.0,116,6
5,19,"BASES DE DATOS II",16.0,20.0,116,6
6,20,"BASES DE DATOS PARA INGENIERIA",15.0,18.0,116,6
1,21,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,21,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,21,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
1,21,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,A01,145
5,22,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,B01,223
5,22,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,C01,194
19,23,"CALCULO VECTORIAL",8.0,11.0,312,94
7,24,"CALIDAD DE AGUAS",16.0,20.0,116,6
22,25,"CAMINOS Y CALLES 1",8.0,12.0,727,20
8,26,"CAPTURA DE DATOS POR PERCEPCION REMOTA",14.0,18.0,116,6
9,27,"CARTOGRAFIA MATEMATICA",15.0,19.0,116,6
10,28,"CARTOGRAFÍA TEMÁTICA",16.0,20.0,116,6
11,29,"CARTOGRAFÍA TEMÁTICA (ÁREA)",16.0,20.0,116,6
12,30,"CATASTRO",16.0,20.0,116,6
13,31,"COMERCIALIZACION",16.0,20.0,116,6
14,32,"COMPL.ARQUITECTURA DE COMPUTADORAS",13.5,17.5,116,6
17,33,"COMPORTAMIENTO MECANICO DE MATERIALES 1",8.0,11.0,727,20
15,34,"COMPORTAMIENTO MECANICO DE MATERIALES 2",16.0,19.5,116,6
12,35,"COMPORTAMIENTO MEC. DE MATERIALES",8.0,11.5,310,16
14,36,"COMPUTACION 1",8.0,11.0,722,10
14,37,"COMUNICACIONES DIGITALES",8.0,12.0,116,6
16,38,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",16.0,19.0,116,6
17,39,"CONTABILIDAD (ACT.COMPL.4)",16.0,20.0,116,6
5,40,"CONTROL DE CALIDAD",12.0,16.0,116,6
24,41,"COSTOS",8.0,12.0,310,16
19,42,"COSTOS PARA INGENIERIA",8.0,12.0,116,6
4,43,"DINAMICA DE MAQUINAS Y VIBRACION",17.0,21.0,116,6
5,44,"DISEÑO ASISTIDO POR COMPUTADOR",8.0,12.0,116,6
25,45,"DISEÑO CATASTRAL",8.0,12.0,116,6
24,46,"DISEÑO DE PROCESOS QUIMICOS",8.0,12.0,B01,223
23,47,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",8.0,12.0,B01,223
20,48,"DISEÑO HIDROLOGICO",8.0,12.0,722,10
15,49,"DISEÑO LOGICO",8.0,12.0,722,10
18,50,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",8.0,12.0,B01,223
12,51,"ECONOMIA",8.0,12.0,A12,119
20,52,"ECONOMÍA (AREA)",8.0,12.0,B01,223
25,53,"EJERCICIOS DE INGENIERIA SANITARIA",8.0,12.0,B01,223
15,54,"ELASTICIDAD",8.0,12.0,116,6
21,55,"ELECTROMAGNETISMO",8.0,12.0,722,10
11,56,"ELECTRONICA AVANZADA 1",8.0,11.0,722,10
22,57,"ELECTRONICA AVANZADA 2",18.0,21.0,116,6
3,58,"ELECTRONICA DE POTENCIA",8.0,12.0,310,16
15,59,"ELECTROTECNICA",8.0,11.0,C21,25
2,60,"ELECTROTECNICA I",8.0,10.5,B11,50
6,61,"ELECTROTECNICA II",12.0,15.0,116,6
19,62,"ELEMENTOS DE GESTION LOGISTICA",8.0,12.0,B01,223
24,63,"ELEMENTOS DE INGENIERIA AMBIENTAL",8.0,12.0,C01,194
13,64,"ELEMENTOS DE MAQUINAS",8.0,12.0,B01,223
20,65,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",8.0,11.0,Piso,70
23,66,"ELEMENTOS DE NAVEGACION",8.0,12.0,C01,194
14,67,"ELEMENTOS DE TOPOGRAFIA",8.0,12.0,B01,223
1,68,"ENERGIA 1- COMBUSTION",8.0,11.0,B11,50
12,69,"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",8.0,12.0,722,10
18,70,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",8.0,12.0,C01,194
13,71,"ESTRUCTURAS DE ACERO",8.0,10.0,722,10
9,72,"ESTRUCTURAS DE BUQUES",8.0,12.0,B01,223
21,73,"ESTRUCTURAS DE DATOS Y ALGORITMOS",8.0,12.0,B01,223
16,74,"ESTRUCTURAS DE MADERA",8.0,12.0,116,6
15,75,"ESTUDIO DEL TRABAJO",8.0,12.0,B01,223
8,76,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",8.0,12.0,B22,32
4,77,"FISICA 1",8.0,11.0,B01,223
4,77,"FISICA 1",8.0,11.0,C01,194
16,78,"FISICA 2",8.0,11.0,312,94
15,79,"FISICA 3",8.0,11.0,A12,119
4,80,"FISICA TERMICA",8.0,11.5,310,16
7,81,"FLUIDODINAMICA",8.0,12.0,305,35
20,82,"FOTOGRAMETRIA",8.0,12.0,C01,194
20,83,"FUNCIONES DE VARIABLE COMPLEJA",8.0,11.0,727,20
1,84,"FUNDAMENTOS DE BASES DE DATOS",8.0,11.0,722,10
22,85,"FUNDAMENTOS DE ROBOTICA INDUSTRIAL",8.0,12.0,B01,223
14,86,"FUND. DE LA PROD. DE CELULOSA Y PAPEL",17.5,20.5,116,6
1,87,"GENERADORES DE VAPOR",8.0,12.0,116,6
10,88,"GEODESIA 1",8.0,12.0,B01,223
17,89,"GEODESIA 2",8.0,12.0,B01,223
2,90,"GEODESIA 3",8.0,12.0,722,10
25,91,"GEOESTADISTICA APLICADA",8.0,12.0,C01,194
8,92,"GEOFISICA",8.0,12.0,C01,194
19,93,"GEOLOGIA DE INGENIERIA",8.0,12.0,C01,194
3,94,"GEOMETRIA Y ALGEBRA LINEAL 1",8.0,11.0,B01,223
3,94,"GEOMETRIA Y ALGEBRA LINEAL 1",8.0,11.0,C01,194
3,94,"GEOMETRIA Y ALGEBRA LINEAL 1",8.0,11.0,307,180
8,95,"GEOMETRIA Y ALGEBRA LINEAL 1 INTERACTIVA",18.0,21.0,116,6
6,96,"GEOMETRIA Y ALGEBRA LINEAL 2",8.0,11.5,B01,223
6,96,"GEOMETRIA Y ALGEBRA LINEAL 2",8.0,11.5,C01,194
22,97,"GESTION DE CALIDAD",8.0,12.0,722,10
