materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
21,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",611,3.0,22,8.0,"311;A12;725;727",188,INSUFICIENTE
171,"MATEMATICA DISCRETA 1",542,3.0,22,8.0,"B01;C01;307",597,OK
94,"GEOMETRIA Y ALGEBRA LINEAL 1",423,3.0,3,8.0,"Piso;C01;307",444,OK
77,"FISICA 1",416,3.0,4,8.0,"B01;C01",417,OK
22,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",304,4.0,5,8.0,"B01;C01",417,OK
96,"GEOMETRIA Y ALGEBRA LINEAL 2",266,3.5,1,8.0,"B01;C01",417,OK
205,"PROGRAMACION 1",235,3.0,12,8.0,"B01;C01",417,OK
175,"MATEMATICA INICIAL",223,4.0,1,11.5,"B01",223,OK
207,"PROGRAMACION 4",130,3.0,8,8.0,"C12",131,OK
201,"PROBABILIDAD Y ESTADISTICA",127,3.0,4,8.0,"Actos",128,OK
200,"PRINCIPIOS DE QUIMICA GENERAL",113,4.0,11,8.0,"A12",119,OK
51,"ECONOMIA",111,4.0,2,8.0,"A12",119,OK
1,"PROGRAMACION 2",110,3.0,23,8.0,"A12",119,OK
158,"LOGICA",109,4.0,20,8.0,"A12",119,OK
79,"FISICA 3",103,3.0,2,12.0,"A12",119,OK
78,"FISICA 2",94,3.0,25,8.0,"312",94,OK
180,"MECANICA NEWTONIANA",88,4.0,23,8.0,"312",94,OK
172,"MATEMATICA DISCRETA 2",86,3.0,18,8.0,"312",94,OK
23,"CALCULO VECTORIAL",83,3.0,19,8.0,"312",94,OK
65,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",69,3.0,25,8.0,"115;B01",263,OK
141,"INT. A LA INVESTIGACION DE OPERACIONES",68,4.0,23,8.0,"Piso",70,OK
226,"SEÑALES Y SISTEMAS",64,3.5,23,12.0,"Piso",70,OK
187,"METODOS NUMERICOS",59,3.0,25,12.0,"601",60,OK
126,"INT. A LA CIENCIA DE MATERIALES",52,1.5,1,8.0,"Actos",128,OK
259,"TRANSFERENCIA DE CALOR 2",51,4.0,25,8.0,"601",60,OK
68,"ENERGIA 1- COMBUSTION",50,3.0,1,8.0,"B11",50,OK
60,"ELECTROTECNICA I",48,2.5,2,8.0,"B11",50,OK
248,"TEORIA DE LENGUAJES",44,4.0,3,8.0,"B11",50,OK
206,"PROGRAMACION 3",42,3.0,4,8.0,"B11",50,OK
101,"GESTION DE MANTENIMIENTO",39,4.0,5,8.0,"B21",39,OK
113,"INGENIERIA DE LAS REACCIONES QUIMICAS 1",39,4.0,1,8.0,"B21",39,OK
81,"FLUIDODINAMICA",33,4.0,3,8.0,"305",35,OK
76,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",32,4.0,1,12.0,"B21",39,OK
164,"MAQUINAS PARA FLUIDOS I",30,3.0,25,8.0,"307",180,OK
276,"TOPOGRAFIA PLANIMETRICA",28,3.0,24,8.0,"B21",39,OK
181,"MEDIDAS ELECTRICAS",27,4.0,11,8.0,"311",29,OK
251,"TERMODINAMICA APL. A LA ING.DE PROCESOS",27,4.0,22,11.0,"311",29,OK
260,"TRANSFERENCIA DE CALOR Y MASA 1",27,4.0,1,8.0,"311",29,OK
261,"TRANSFERENCIA DE CALOR Y MASA 2",24,4.0,14,8.0,"C21",25,OK
59,"ELECTROTECNICA",23,3.0,2,10.5,"B11",50,OK
143,"INT. A LA MECANICA DE SUELOS",22,3.5,10,8.0,"C21",25,OK
33,"COMPORTAMIENTO MECANICO DE MATERIALES 1",20,3.0,1,9.5,"Actos",128,OK
147,"INT. A LAS ECUACIONES DIFERENCIALES",20,3.0,2,8.0,"727",20,OK
0,"ELECTRONICA FUNDAMENTAL",19,3.5,24,8.0,"727",20,OK
