dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
24,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,727,20
23,1,"PROGRAMACION 2",8.0,11.0,A12,119
21,2,"ADMINISTRACION DE INFRAESTRUCTURAS",12.0,16.0,722,10
20,3,"ADMINISTRACION DE OPERACIONES",8.0,10.5,307,180
23,4,"AGRIMENSURA LEGAL 1",8.0,12.0,B01,223
25,5,"AGRIMENSURA LEGAL 2",8.0,12.0,310,16
7,6,"AGRIMENSURA LEGAL 3",12.0,16.0,116,6
10,7,"AGRIMENSURA LEGAL 4",16.0,20.0,116,6
1,8,"ALISTAMIENTO NAVAL",8.0,12.0,116,6
21,9,"ANTENAS Y PROPAGACION",8.0,12.0,722,10
24,10,"APLICACIONES DEL ALGEBRA LINEAL",17.0,20.0,116,6
15,11,"ARQUITECTURA DE COMPUTADORAS",8.0,11.0,B01,223
24,12,"ASPECTOS BASICOS DE REDES DE COMPUT",14.0,17.0,116,6
20,13,"ASTRONOMIA GEODESICA",8.0,12.0,C11,25
5,14,"AUTOMATAS PROGRAMABLES",8.0,12.0,116,6
19,15,"AVALUACIONES 1",16.0,20.0,116,6
22,16,"AVALUACIONES 2",8.0,12.0,116,6
4,17,"AVALUACIONES 3",8.0,12.0,115,40
16,18,"BASES DE DATOS I",8.0,12.0,C21,25
16,19,"BASES DE DATOS II",8.0,12.0,A21,72
8,20,"BASES DE DATOS PARA INGENIERIA",8.0,11.0,C01,194
22,21,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,311,29
22,21,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,A12,119
22,21,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,725,20
22,21,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,727,20
5,22,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,B01,223
5,22,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,C01,194
19,23,"CALCULO VECTORIAL",8.0,11.0,312,94
16,24,"CALIDAD DE AGUAS",8.0,12.0,116,6
23,25,"CAMINOS Y CALLES 1",8.0,12.0,727,20
4,26,"CAPTURA DE DATOS POR PERCEPCION REMOTA",8.0,12.0,703,20
1,27,"CARTOGRAFIA MATEMATICA",8.0,12.0,725,20
13,28,"CARTOGRAFÍA TEMÁTICA",8.0,12.0,116,6
14,29,"CARTOGRAFÍA TEMÁTICA (ÁREA)",12.0,16.0,116,6
17,30,"CATASTRO",8.0,12.0,116,6
2,31,"COMERCIALIZACION",8.0,12.0,725,20
8,32,"COMPL.ARQUITECTURA DE COMPUTADORAS",8.0,12.0,B01,223
1,33,"COMPORTAMIENTO MECANICO DE MATERIALES 1",9.5,12.5,Actos,128
19,34,"COMPORTAMIENTO MECANICO DE MATERIALES 2",8.0,11.5,301,76
22,35,"COMPORTAMIENTO MEC. DE MATERIALES",8.0,11.5,310,16
25,36,"COMPUTACION 1",8.0,11.0,722,10
