dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,96,96,V,V,V,V,126,V,V,V,V,225,V,V,154,V,V,V,V,68,V,113,V,63,104,260,V,V,V,V,V,V,V,27,V,V,134,55,8
1,2,8.5,96,96,V,V,V,V,126,V,V,V,V,225,V,V,154,V,V,V,V,68,V,113,V,63,104,260,V,V,V,V,V,V,V,27,V,V,134,55,8
1,3,9.0,96,96,V,V,V,V,126,V,V,V,V,225,V,V,154,V,V,V,V,68,V,113,V,63,104,260,V,V,V,V,V,V,V,27,V,V,134,55,8
1,4,9.5,96,96,V,V,V,V,33,V,V,V,V,225,V,V,154,V,V,V,V,68,V,113,V,63,104,260,V,V,V,V,V,V,V,27,V,V,134,55,8
1,5,10.0,96,96,V,V,V,V,33,V,V,V,V,225,V,V,154,V,V,V,V,68,V,113,V,63,104,260,V,V,V,V,V,V,V,27,V,V,134,55,8
1,6,10.5,96,96,V,V,V,V,33,V,V,V,V,225,V,V,154,V,V,V,V,68,V,113,V,63,104,260,V,V,V,V,V,V,V,27,V,V,134,55,8
1,7,11.0,96,96,V,V,V,V,33,V,V,V,V,225,V,V,154,V,V,V,V,114,V,113,V,63,104,260,V,V,V,V,V,V,V,27,V,V,134,55,8
1,8,11.5,175,V,V,V,V,V,33,V,V,V,V,225,V,V,154,V,V,V,V,114,V,113,V,63,104,260,V,V,V,V,V,V,V,27,V,V,134,55,8
1,9,12.0,175,V,V,V,V,V,33,V,V,V,V,V,V,V,V,V,V,V,V,114,V,76,V,V,V,88,V,V,V,V,V,V,V,V,V,V,108,84,140
1,10,12.5,175,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,114,V,76,V,V,V,88,V,V,V,V,V,V,V,V,V,V,108,84,140
1,11,13.0,175,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,76,V,V,V,88,V,V,V,V,V,V,V,V,V,V,108,84,140
1,12,13.5,175,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,76,V,V,V,88,V,V,V,V,V,V,V,V,V,V,108,84,140
1,13,14.0,175,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,76,V,V,V,88,V,V,V,V,V,V,V,V,V,V,108,84,140
1,14,14.5,175,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,76,V,V,V,88,V,V,V,V,V,V,V,V,V,V,108,84,140
1,15,15.0,175,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,76,V,V,V,88,V,V,V,V,V,V,V,V,V,V,108,177,140
1,16,15.5,71,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,76,V,V,V,88,V,V,V,V,V,V,V,V,V,V,42,177,140
1,17,16.0,71,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,42,177,194
1,18,16.5,71,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,42,177,194
1,19,17.0,71,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,42,177,194
1,20,17.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,42,177,194
1,21,18.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,42,V,194
1,22,18.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,42,V,194
1,23,19.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,42,V,194
1,24,19.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,194
1,25,20.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,26,20.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
2,1,8.0,V,V,V,V,V,V,V,V,51,V,V,V,V,V,V,V,V,V,V,60,V,V,V,V,V,V,V,V,V,V,V,V,V,31,147,V,151,V,67
2,2,8.5,V,V,V,V,V,V,V,V,51,V,V,V,V,V,V,V,V,V,V,60,V,V,V,V,V,V,V,V,V,V,V,V,V,31,147,V,151,V,67
2,3,9.0,V,V,V,V,V,V,V,V,51,V,V,V,V,V,V,V,V,V,V,60,V,V,V,V,V,V,V,V,V,V,V,V,V,31,147,V,151,V,67
2,4,9.5,V,V,V,V,V,V,V,V,51,V,V,V,V,V,V,V,V,V,V,60,V,V,V,V,V,V,V,V,V,V,V,V,V,31,147,V,151,V,67
2,5,10.0,V,V,V,V,V,V,V,V,51,V,V,V,V,V,V,V,V,V,V,60,V,V,V,V,V,V,V,V,V,V,V,V,V,31,147,V,151,V,67
2,6,10.5,V,V,V,V,V,V,V,V,51,V,V,V,V,V,V,V,V,V,V,59,V,V,V,V,V,V,V,V,V,V,V,V,V,31,147,V,151,V,67
2,7,11.0,V,V,V,V,V,V,V,V,51,V,V,V,V,V,V,V,V,V,V,59,V,V,V,V,V,V,V,V,V,V,V,V,V,31,V,V,151,V,67
2,8,11.5,V,V,V,V,V,V,V,V,51,V,V,V,V,V,V,V,V,V,V,59,V,V,V,V,V,V,V,V,V,V,V,V,V,31,V,V,151,V,67
2,9,12.0,V,V,V,V,V,V,V,V,79,V,V,V,V,V,V,V,V,V,V,59,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,252
2,10,12.5,V,V,V,V,V,V,V,V,79,V,V,V,V,V,V,V,V,V,V,59,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,252
2,11,13.0,V,V,V,V,V,V,V,V,79,V,V,V,V,V,V,V,V,V,V,59,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,252
2,12,13.5,V,V,V,V,V,V,V,V,79,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,252
2,13,14.0,V,V,V,V,V,V,V,V,79,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,252
2,14,14.5,V,V,V,V,V,V,V,V,79,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,252
