Carpeta,Archivo,Columna,N,Media,Desv_Est,Estadistico_KS,p_valor,Alpha,Es_Normal,Nota
promedio_06_001_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.3798284333333334,0.008641657570418293,0.10212403937958459,0.8819287301018466,0.05,True,
promedio_06_001_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.38437533333333324,0.011417003113424905,0.09851719287301874,0.905431644469106,0.05,True,
promedio_06_01_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.30399303333333333,0.009607419555535816,0.13266755918280132,0.6192352053090227,0.05,True,
promedio_06_01_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.298656,0.007770468671792604,0.09991224868703863,0.8966440109648621,0.05,True,
promedio_06_01_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.30443506666666664,0.011977325620934131,0.10893571000683025,0.8312167644791685,0.05,True,
promedio_06_1_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.22857546666666667,0.007503394058384666,0.1033234315769786,0.873565348298152,0.05,True,
promedio_06_1_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.2250365666666667,0.005918228437651749,0.0655232305595553,0.9984865389901045,0.05,True,
promedio_07_001_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.39159503333333334,0.011131359883721288,0.16903585239681107,0.32099291556192944,0.05,True,
promedio_07_001_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.3874397,0.007260156947814318,0.09997743355621425,0.8962239019944952,0.05,True,
promedio_07_001_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.38970533333333335,0.02014459624013748,0.21840452530565763,0.09772876229629324,0.05,True,
promedio_07_01_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.31067876666666666,0.007597928504820766,0.08785879510770622,0.9589234330641775,0.05,True,
promedio_07_01_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.30763830000000003,0.008592382521143664,0.125696818930444,0.6839686724667257,0.05,True,
promedio_07_01_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.31499886666666665,0.01023084978684173,0.1634602673856867,0.3597418117566513,0.05,True,
promedio_07_1_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.23407016666666666,0.005110246873605562,0.12320824056185298,0.7069410170207671,0.05,True,
promedio_07_1_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.2330228,0.006418124236663029,0.1225019377279355,0.7134253365045189,0.05,True,
promedio_07_1_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.2315223,0.010052826612793862,0.10554992044761957,0.8573693299695355,0.05,True,
promedio_08_001_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.40286686666666677,0.011960854832596074,0.12397835140771751,0.6998509062801217,0.05,True,
promedio_08_001_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.3948304666666667,0.008662018522155266,0.11939436863677944,0.7416873821237893,0.05,True,
promedio_08_001_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,50,0.39590546,0.020930095781843492,0.17547394323318255,0.08115776734091029,0.05,True,
promedio_08_01_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.32171506666666655,0.007764244519650283,0.07919841265848948,0.984155155683279,0.05,True,
promedio_08_01_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.32349946666666674,0.008650648764721328,0.12172978119539635,0.7204914150749799,0.05,True,
promedio_08_01_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.3252018,0.008862205977419334,0.12367102789557549,0.7026826393990657,0.05,True,
promedio_08_1_100,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.24172843333333335,0.006479495875895522,0.1218441717230927,0.719446231930047,0.05,True,
promedio_08_1_200,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.23929650000000002,0.007791988749505086,0.09686527425319873,0.9153252748278448,0.05,True,
promedio_08_1_50,promedio_2024_hypervolumes_normality_test.csv,Hypervolume,30,0.23832183333333337,0.008266659489128329,0.11150916729540983,0.8102609202574222,0.05,True,
