f1,f2
294.0,13.291429
295.0,13.508571
299.0,13.542857
298.0,13.52
297.0,13.517143
301.0,13.082857
303.0,13.231429
296.0,12.982857
318.0,13.54
324.0,13.608571
315.0,13.52
316.0,13.522857
314.0,13.514286
319.0,13.542857
302.0,13.151429
300.0,13.051429
298.0,13.005714
307.0,13.328571
295.0,12.954286
323.0,13.562857
294.0,12.894286
308.0,13.354286
301.0,13.768571
296.0,13.611429
300.0,13.714286
295.0,13.577143
294.0,13.5
297.0,13.671429
299.0,13.74
294.0,13.474286
295.0,13.634286
301.0,13.76
300.0,13.748571
303.0,13.771429
304.0,13.785714
297.0,13.7
305.0,13.788571
295.0,11.594286
294.0,11.56
301.0,13.765714
300.0,13.762857
294.0,13.628571
299.0,13.737143
298.0,13.694286
296.0,13.317143
301.0,13.52
297.0,13.345714
298.0,13.491429
295.0,13.311429
294.0,13.308571
301.0,13.054286
296.0,12.911429
308.0,13.068571
297.0,12.948571
298.0,12.971429
295.0,12.797143
300.0,13.014286
294.0,12.782857
295.0,12.531429
303.0,12.848571
302.0,12.837143
294.0,12.414286
296.0,12.56
299.0,12.802857
298.0,12.751429
297.0,12.72
297.0,13.688571
294.0,13.554286
304.0,13.837143
299.0,13.731429
300.0,13.742857
303.0,13.814286
295.0,13.665714
302.0,13.745714
308.0,13.54
318.0,13.722857
296.0,13.282857
312.0,13.7
297.0,13.385714
304.0,13.425714
310.0,13.671429
309.0,13.622857
317.0,13.711429
311.0,13.685714
305.0,13.471429
306.0,13.477143
294.0,12.911429
295.0,12.934286
307.0,13.517143
305.0,13.468571
295.0,13.325714
294.0,13.311429
296.0,13.388571
297.0,13.46
298.0,13.582857
296.0,13.414286
294.0,13.277143
295.0,13.305714
297.0,13.58
299.0,13.597143
295.0,13.494286
304.0,13.674286
297.0,13.542857
301.0,13.602857
296.0,13.511429
305.0,13.708571
298.0,13.565714
302.0,13.617143
294.0,13.322857
294.0,12.837143
304.0,13.462857
298.0,13.417143
296.0,13.374286
300.0,13.434286
295.0,12.988571
296.0,13.728571
294.0,13.64
298.0,13.791429
295.0,13.685714
294.0,13.542857
296.0,13.734286
297.0,13.757143
303.0,13.805714
302.0,13.765714
294.0,13.488571
297.0,13.634286
304.0,13.845714
301.0,13.762857
298.0,13.651429
294.0,13.457143
309.0,13.688571
302.0,13.62
300.0,13.52
301.0,13.531429
295.0,13.491429
299.0,13.005714
297.0,12.794286
294.0,12.425714
298.0,12.982857
296.0,12.771429
295.0,12.642857
297.0,13.517143
301.0,13.562857
298.0,13.534286
294.0,13.397143
296.0,13.422857
302.0,13.48
304.0,13.494286
296.0,13.222857
295.0,13.182857
299.0,13.46
294.0,12.997143
297.0,13.314286
306.0,13.397143
296.0,13.16
303.0,13.382857
302.0,13.374286
301.0,13.362857
297.0,13.194286
299.0,13.331429
298.0,13.228571
294.0,12.92
299.0,13.82
300.0,13.854286
298.0,13.808571
298.0,13.805714
299.0,13.82
297.0,13.785714
305.0,13.845714
294.0,13.545714
296.0,13.705714
295.0,13.617143
308.0,13.748571
306.0,13.714286
297.0,13.308571
299.0,13.585714
294.0,13.302857
305.0,13.597143
298.0,13.431429
298.0,13.611429
299.0,13.631429
297.0,13.554286
295.0,13.371429
300.0,13.708571
294.0,13.357143
296.0,13.542857
296.0,13.742857
295.0,13.711429
294.0,13.591429
296.0,13.562857
295.0,13.531429
294.0,13.417143
297.0,13.594286
300.0,13.308571
316.0,13.428571
297.0,13.148571
294.0,12.974286
295.0,13.042857
309.0,13.322857
314.0,13.42
299.0,13.262857
312.0,13.417143
310.0,13.368571
296.0,13.14
311.0,13.38
