generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.57,8.9286,8.5267,77,100,1121
2,294.00,302.75,9.0714,8.4202,69,100,1753
3,294.00,297.67,10.2457,9.8634,84,100,3942
4,294.00,300.03,10.7171,10.3945,100,100,5291
5,294.00,300.68,11.2571,10.8527,100,100,6541
6,294.00,301.73,11.6086,11.2238,100,100,7313
7,294.00,303.92,11.8114,11.4667,100,100,7986
8,294.00,302.14,12.0171,11.5540,100,100,8739
9,294.00,300.98,12.1971,11.7851,100,100,9353
10,294.00,299.77,12.3371,11.9627,100,100,9831
11,294.00,301.41,12.5314,12.2269,100,100,10295
12,294.00,299.39,12.5457,12.2560,100,100,10762
13,294.00,300.83,12.5886,12.3452,100,100,11234
14,294.00,300.43,12.6686,12.4459,100,100,11671
15,294.00,298.66,12.7343,12.4800,100,100,12113
16,294.00,298.65,12.8657,12.5949,100,100,12539
17,294.00,299.08,12.8914,12.6552,100,100,12966
18,294.00,298.49,12.9457,12.6807,100,100,13388
19,294.00,301.51,13.1400,12.8633,100,100,13801
20,294.00,300.95,13.2171,12.8736,100,100,14246
21,294.00,302.55,13.2257,12.9622,100,100,14706
22,294.00,304.09,13.2514,13.0241,100,100,15156
23,294.00,302.65,13.2400,13.0485,100,100,15581
24,294.00,300.26,13.2829,13.0976,100,100,15997
25,294.00,298.44,13.3600,13.1032,100,100,16394
26,294.00,299.41,13.4229,13.2300,100,100,16794
