INSTANCIA,TAM,POB,CRU,MUT,HV,PARETO_FILE
promedio_2024,286,100,0.80,0.001,0.406737,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.397370,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.412598,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.411359,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.349761,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.412513,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.405149,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.388572,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.384172,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.413269,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.403452,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.402360,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.408368,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.408972,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.402091,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.414662,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.414090,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.413525,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.406551,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.390605,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.406434,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.403029,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.399235,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.414357,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.413208,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.408791,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.411257,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.417272,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.409188,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.395695,output/promedio_2024_pareto_front.csv
