dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
3,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,727,20
18,1,"PROGRAMACION 2",8.0,11.0,312,94
17,2,"ADMINISTRACION DE INFRAESTRUCTURAS",12.0,16.0,116,6
11,3,"ADMINISTRACION DE OPERACIONES",8.0,10.5,C01,194
5,4,"AGRIMENSURA LEGAL 1",8.0,12.0,116,6
9,5,"AGRIMENSURA LEGAL 2",8.0,12.0,303,76
2,6,"AGRIMENSURA LEGAL 3",8.0,12.0,116,6
22,7,"AGRIMENSURA LEGAL 4",8.0,12.0,Piso,70
17,8,"ALISTAMIENTO NAVAL",8.0,12.0,A21,72
25,9,"ANALISIS DE ALIMENTOS",8.0,12.0,703,20
1,10,"ANTENAS Y PROPAGACION",8.0,12.0,A01,145
9,11,"APLICACIONES DEL ALGEBRA LINEAL",8.0,11.0,725,20
25,12,"ARQUITECTURA DE COMPUTADORAS",8.0,11.0,601,60
22,13,"ASPECTOS BASICOS DE REDES DE COMPUT",18.0,21.0,116,6
12,14,"ASTRONOMIA GEODESICA",8.0,12.0,116,6
10,15,"AUTOMATAS PROGRAMABLES",8.0,12.0,A11,25
22,16,"AVALUACIONES 1",8.0,12.0,703,20
18,17,"AVALUACIONES 2",12.0,16.0,116,6
10,18,"AVALUACIONES 3",8.0,12.0,Piso,70
9,19,"BASES DE DATOS I",12.0,16.0,303,76
2,20,"BASES DE DATOS II",8.0,12.0,312,94
2,21,"BASES DE DATOS PARA INGENIERIA",17.0,20.0,310,16
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
5,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",11.0,15.0,B01,223
5,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",11.0,15.0,C01,194
8,24,"CALCULO VECTORIAL",8.0,11.0,312,94
8,24,"CALCULO VECTORIAL",8.0,11.0,A11,25
13,25,"CALIDAD DE AGUAS",12.0,16.0,116,6
24,26,"CAMINOS Y CALLES 1",12.0,16.0,310,16
3,27,"CAPTURA DE DATOS POR PERCEPCION REMOTA",8.0,12.0,309,16
24,28,"CARTOGRAFIA MATEMATICA",8.0,12.0,501,62
10,29,"CARTOGRAFÍA TEMÁTICA",8.0,12.0,116,6
20,30,"CARTOGRAFÍA TEMÁTICA (ÁREA)",12.0,16.0,116,6
5,31,"CATASTRO",11.5,15.5,309,16
10,32,"COMERCIALIZACION",12.0,16.0,116,6
17,33,"COMPL.ARQUITECTURA DE COMPUTADORAS",8.0,12.0,312,94
4,34,"COMPORTAMIENTO MECANICO DE MATERIALES 1",8.0,11.0,310,16
24,35,"COMPORTAMIENTO MECANICO DE MATERIALES 2",8.0,11.5,A21,72
11,36,"COMPORTAMIENTO MEC. DE MATERIALES",17.5,21.0,116,6
25,37,"COMPUTACION 1",8.0,11.0,725,20
13,38,"COMUNICACIONES DIGITALES",8.0,12.0,A21,72
21,39,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",8.0,11.0,310,16
14,40,"CONTABILIDAD (ACT.COMPL.4)",8.0,12.0,727,20
24,41,"CONTROL DE CALIDAD",12.0,16.0,727,20
3,42,"COSTOS",8.0,12.0,310,16
1,43,"COSTOS PARA INGENIERIA",8.0,12.0,722,10
10,44,"DINAMICA DE MAQUINAS Y VIBRACION",16.0,20.0,116,6
14,45,"DISEÑO ASISTIDO POR COMPUTADOR",8.0,12.0,B01,223
8,46,"DISEÑO CATASTRAL",8.0,12.0,31,35
7,47,"DISEÑO DE PROCESOS QUIMICOS",12.0,16.0,116,6
2,48,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",12.0,16.0,116,6
12,49,"DISEÑO HIDROLOGICO",8.0,12.0,307,180
24,50,"DISEÑO LOGICO",16.0,20.0,727,20
17,51,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",8.0,12.0,C22,102
3,52,"ECONOMIA",8.0,12.0,B01,223
3,52,"ECONOMIA",8.0,12.0,C01,194
12,53,"ECONOMÍA (AREA)",8.0,12.0,501,62
11,54,"EJERCICIOS DE INGENIERIA SANITARIA",13.5,17.5,116,6
25,55,"ELASTICIDAD",8.0,12.0,501,62
1,56,"ELECTROMAGNETISMO",8.0,12.0,310,16
2,57,"ELECTRONICA AVANZADA 1",11.0,14.0,310,16
22,58,"ELECTRONICA AVANZADA 2",15.0,18.0,116,6
24,59,"ELECTRONICA DE POTENCIA",8.0,12.0,722,10
1,60,"ELECTROTECNICA",16.0,19.0,310,16
25,61,"ELECTROTECNICA I",8.0,10.5,305,35
3,62,"ELECTROTECNICA II",12.0,15.0,C22,102
4,63,"ELEMENTOS DE GESTION LOGISTICA",8.0,12.0,116,6
25,64,"ELEMENTOS DE INGENIERIA AMBIENTAL",16.0,20.0,116,6
16,65,"ELEMENTOS DE MAQUINAS",12.0,16.0,116,6
24,66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",8.0,11.0,B11,50
13,67,"ELEMENTOS DE NAVEGACION",16.0,20.0,116,6
5,68,"ELEMENTOS DE TOPOGRAFIA",15.0,19.0,B01,223
4,69,"ENERGIA 1- COMBUSTION",8.0,11.0,305,35
19,70,"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",8.0,12.0,116,6
24,71,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",8.0,12.0,705,20
24,72,"ESTRUCTURAS DE ACERO",19.0,21.0,116,6
23,73,"ESTRUCTURAS DE BUQUES",8.0,12.0,31,35
6,74,"ESTRUCTURAS DE DATOS Y ALGORITMOS",8.0,12.0,116,6
3,75,"ESTRUCTURAS DE MADERA",12.0,16.0,B22,32
12,76,"ESTUDIO DEL TRABAJO",12.0,16.0,116,6
25,77,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",8.0,12.0,311,29
5,78,"FISICA 1",8.0,11.0,B01,223
5,78,"FISICA 1",8.0,11.0,C01,194
20,79,"FISICA 2",8.0,11.0,Hall,100
24,80,"FISICA 3",8.0,11.0,C22,102
1,81,"FISICA TERMICA",8.0,11.5,311,29
24,82,"FLUIDODINAMICA",8.0,12.0,115,40
2,83,"FOTOGRAMETRIA",8.0,12.0,A12,119
25,84,"FUNCIONES DE VARIABLE COMPLEJA",12.0,15.0,310,16
5,85,"FUNDAMENTOS DE BASES DE DATOS",8.0,11.0,310,16
23,86,"FUNDAMENTOS DE ROBOTICA INDUSTRIAL",8.0,12.0,A22,124
22,87,"FUND. DE LA PROD. DE CELULOSA Y PAPEL",12.0,15.0,116,6
19,88,"GENERADORES DE VAPOR",8.0,12.0,Hall,100
5,89,"GEODESIA 1",12.0,16.0,116,6
7,90,"GEODESIA 2",16.0,20.0,116,6
8,91,"GEODESIA 3",12.0,16.0,116,6
13,92,"GEOESTADISTICA APLICADA",8.0,12.0,116,6
18,93,"GEOFISICA",8.0,12.0,C21,25
1,94,"GEOLOGIA DE INGENIERIA",12.0,16.0,310,16
2,95,"GEOMETRIA Y ALGEBRA LINEAL 1",8.0,11.0,B01,223
2,95,"GEOMETRIA Y ALGEBRA LINEAL 1",8.0,11.0,C01,194
16,96,"GEOMETRIA Y ALGEBRA LINEAL 1 INTERACTIVA",12.0,15.0,722,10
1,97,"GEOMETRIA Y ALGEBRA LINEAL 2",11.0,14.5,B01,223
1,97,"GEOMETRIA Y ALGEBRA LINEAL 2",11.0,14.5,C01,194
1,98,"GESTION DE CALIDAD",12.0,16.0,722,10
9,99,"GESTION DE CALIDAD AMBIENTAL",12.0,16.0,116,6
10,100,"GESTION DEL MANTENIMIENTO",12.0,16.0,Piso,70
15,101,"GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.",8.0,12.0,B21,39
25,102,"GESTION DE MANTENIMIENTO",8.0,12.0,727,20
25,102,"GESTION DE MANTENIMIENTO",8.0,12.0,309,16
21,103,"HIDRAULICA FLUVIAL Y MARITIMA",8.0,12.0,B12,141
12,104,"HIDRAULICA Y NEUMATICA",16.0,20.0,116,6
5,105,"HIDRODINAMICA NAVAL",8.0,12.0,A22,124
17,106,"HIDROLOGIA AVANZADA II",16.0,20.0,116,6
20,107,"HIDROLOGIA E HIDRAULICA APLICADAS",8.0,12.0,727,20
3,108,"HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS",8.0,12.0,116,6
25,109,"HORMIGON ESTRUCTURAL 1",8.0,11.5,B23,101
1,110,"HORMIGON ESTRUCTURAL 2",16.0,18.0,722,10
11,111,"HORMIGON ESTRUCTURAL 3",8.0,13.5,116,6
15,112,"INGENIERIA AMBIENTAL PARA LA INDUSTRIA DE PROCESOS",16.0,20.0,116,6
18,113,"INGENIERIA BIOQUIMICA",8.0,12.0,310,16
1,114,"INGENIERIA DE LAS REACCIONES QUIMICAS 1",8.0,12.0,727,20
25,115,"INGENIERIA DE LAS REACCIONES QUIMICAS 2",12.0,14.0,727,20
4,116,"INGENIERIA DE LOS PROCESOS ELECTROQUIMICOS",8.0,12.0,303,76
7,117,"INGENIERIA DE SOFTWARE",8.0,12.0,116,6
20,118,"INGENIERIA LEGAL",8.0,12.0,311,29
1,119,"INGLES CONVERSACIONAL (ACT.COMPL.2)",12.0,16.0,727,20
17,120,"INGLES TECNICO",8.0,12.0,303,76
18,121,"INGLES TECNICO 1 (ACT.COMPL.1)",16.0,20.0,116,6
21,122,"INSTALACIONES ELECTRICAS",8.0,12.0,C21,25
22,123,"INSTALACIONES GENERALES DE GASES COMBUSTIBLES",8.0,12.0,116,6
3,124,"INSTRUMENTACION INDUSTRIAL",16.0,20.0,310,16
10,125,"INSTRUMENTACION Y CONTROL",8.0,11.0,727,20
9,126,"INT. A LA CIENCIA DE LOS MATERIALES",11.5,13.0,722,10
1,127,"INT. A LA CIENCIA DE MATERIALES",15.0,16.5,C21,25
20,128,"INT. A LA COMBUSTION",16.0,20.0,116,6
23,129,"INT. A LA CONSTRUCCION",12.0,16.0,310,16
18,130,"INT. A LA CORROSION DEL HORMIGON ARMADO",12.0,16.0,310,16
18,131,"INT. A LA ELECTROTECNIA",12.0,15.0,722,10
4,132,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.",12.0,16.0,116,6
17,133,"INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.(ÁREA)",8.0,12.0,116,6
7,134,"INT. A LA EVALUACION Y GESTION AMBIENTAL",8.0,12.0,C11,25
7,135,"INT. A LA FISICA MODERNA",8.0,12.0,A12,119
19,136,"INT. A LA GEODESIA Y SIST. DE POS. GLOBAL",12.0,16.0,116,6
23,137,"INT. A LA INGENIERIA BIOQUIMICA",8.0,12.0,115,40
23,137,"INT. A LA INGENIERIA BIOQUIMICA",8.0,12.0,502,20
23,138,"INT. A LA INGENIERIA DE PROCESOS",8.0,12.0,310,16
23,138,"INT. A LA INGENIERIA DE PROCESOS",8.0,12.0,116,6
13,139,"INT. A LA INGENIERIA DE SOFTWARE",8.0,11.0,310,16
22,140,"INT. A LA INGENIERIA NAVAL",8.0,12.0,309,16
25,141,"INT. A LA INGENIERIA SANITARIA",11.0,15.0,601,60
24,142,"INT. A LA INVESTIGACION DE OPERACIONES",8.0,12.0,Piso,70
12,143,"INT. A LA MECANICA DE LOS FLUIDOS",8.0,12.0,309,16
14,144,"INT. A LA MECANICA DE SUELOS",8.0,11.5,310,16
23,145,"INT. AL ANALISIS RURAL",12.0,16.0,116,6
9,146,"INT. A LA OPTICA",8.0,11.5,722,10
1,147,"INT. A LA PREVENCION DE RIESGOS LABORALES",16.0,20.0,116,6
2,148,"INT. A LAS ECUACIONES DIFERENCIALES",14.0,17.0,310,16
24,149,"INT. A LA TERMODINAMICA",16.0,19.0,116,6
23,150,"INT. AL CONTROL INDUSTRIAL",16.0,20.0,116,6
15,151,"INT. AL DERECHO",8.0,10.0,B01,223
3,152,"INT. A LOS MICROPROCESADORES",12.0,16.0,310,16
15,153,"INT. A LOS SIST. DE PROT. DE SIST. ELECT. DE POT.",8.0,12.0,727,20
6,154,"INT. AL SISTEMA CLIMATICO",12.0,16.0,116,6
12,155,"INT. AL TRANSPORTE",8.0,12.0,727,20
21,156,"LABORATORIO DE TECNOLOGIA DEL HORMIGON",8.0,12.0,116,6
16,157,"LEGISLACION TERRITORIAL",8.0,12.0,B12,141
4,158,"LEGISLACION Y RELACIONES INDUSTRIALES",8.0,10.0,B21,39
25,159,"LOGICA",8.0,12.0,312,94
8,160,"MAMPOSTERIA ESTRUCTURAL",16.0,20.0,116,6
25,161,"MANTENIMIENTO DE BUQUES",8.0,12.0,116,6
24,162,"MAQUINARIA NAVAL",8.0,12.0,A01,145
6,163,"MAQUINAS ELECTRICAS",8.0,10.5,307,180
22,164,"MAQUINAS PARA FLUIDOS",8.0,12.0,307,180
2,165,"MAQUINAS PARA FLUIDOS I",8.0,11.0,A21,72
21,166,"MAQUINAS PARA FLUIDOS II",8.0,12.0,C01,194
14,167,"MAQUINAS Y EQUIPOS PARA TRANSPORTE",16.0,20.0,116,6
23,168,"MATEMATICA",8.0,12.0,B01,223
20,169,"MATEMATICA 1",8.0,11.0,722,10
25,170,"MATEMATICA 2",8.0,11.0,722,10
25,171,"MATEMATICA 3",12.0,15.0,312,94
19,172,"MATEMATICA DISCRETA 1",8.0,11.0,B01,223
19,172,"MATEMATICA DISCRETA 1",8.0,11.0,C01,194
13,173,"MATEMATICA DISCRETA 2",8.0,11.0,312,94
21,174,"MATEMATICA DISCRETA Y LOGICA 1",12.0,16.0,116,6
11,175,"MATEMATICA DISCRETA Y LOGICA 2",8.0,12.0,Hall,100
25,176,"MATEMATICA INICIAL",8.0,12.0,A12,119
1,177,"MATERIALES Y ENSAYOS",8.0,12.0,31,35
1,177,"MATERIALES Y ENSAYOS",8.0,12.0,502,20
2,178,"MECANICA APLICADA (ING.QUÍM)",8.0,11.0,310,16
8,179,"MECANICA DE LOS FLUIDOS",8.0,12.0,116,6
16,180,"MECANICA ESTRUCTURAL",8.0,12.0,116,6
16,180,"MECANICA ESTRUCTURAL",8.0,12.0,502,20
24,181,"MECANICA NEWTONIANA",8.0,12.0,312,94
7,182,"MEDIDAS ELECTRICAS",8.0,12.0,312,94
9,183,"MEDIDAS ELECTRICAS EN INGENIERIA DE PROCESOS",16.0,20.0,116,6
24,184,"METALURGIA DE TRANSFORMACION",8.0,12.0,A22,124
9,185,"METALURGIA FISICA",8.0,12.0,116,6
1,186,"MET. COMPUT.APLIC.AL CALCULO ESTRUCTURAL",8.0,12.0,Piso,70
15,187,"METEOROLOGIA DINAMICA Y SINOPTICA",12.0,16.0,116,6
9,188,"METODOS NUMERICOS",8.0,11.0,307,180
2,189,"MODULO TALLER EXTENSION ING.AMBIENTAL 1",11.0,15.0,B01,223
22,190,"MODULO TALLER EXTENSION ING.AMBIENTAL 2",8.0,12.0,B21,39
4,191,"MOTORES DE COMB. INT. Y TURBINAS DE GAS",16.0,20.0,116,6
6,192,"MOTORES DE COMBUSTION INTERNA",8.0,11.0,C01,194
16,193,"OBRAS HIDRAULICAS",8.0,12.0,Piso,70
23,194,"OPTICA",8.0,12.0,501,62
