dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,22,22,22,10,V,V,V,V,V,V,V,V,V,V,V,V,186,V,V,V,V,V,177,V,V,81,V,V,V,285,177,V,219,V,114,V,56,43,270
1,2,8.5,22,22,22,10,V,V,V,V,V,V,V,V,V,V,V,V,186,V,V,V,V,V,177,V,V,81,V,V,V,285,177,V,219,V,114,V,56,43,270
1,3,9.0,22,22,22,10,V,V,V,V,V,V,V,V,V,V,V,V,186,V,V,V,V,V,177,V,V,81,V,V,V,285,177,V,219,V,114,V,56,43,270
1,4,9.5,22,22,22,10,V,V,V,V,V,V,V,V,V,V,V,V,186,V,V,V,V,V,177,V,V,81,V,V,V,285,177,V,219,V,114,V,56,43,270
1,5,10.0,22,22,22,10,V,V,V,V,V,V,V,V,V,V,V,V,186,V,V,V,V,V,177,V,V,81,V,V,V,285,177,V,219,V,114,V,56,43,270
1,6,10.5,22,22,22,10,V,V,V,V,V,V,V,V,V,V,V,V,186,V,V,V,V,V,177,V,V,81,V,V,V,285,177,V,219,V,114,V,56,43,270
1,7,11.0,97,97,V,10,V,V,V,V,V,V,V,V,V,V,V,V,186,V,V,V,V,V,177,V,V,81,V,V,V,239,177,V,219,V,114,V,56,43,270
1,8,11.5,97,97,V,10,V,V,V,V,V,V,V,V,V,V,V,V,186,V,V,V,V,V,177,V,V,V,V,V,V,239,177,V,219,V,114,V,56,43,270
1,9,12.0,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,239,V,V,V,V,119,V,94,98,231
1,10,12.5,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,239,V,V,V,V,119,V,94,98,231
1,11,13.0,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,239,V,V,V,V,119,V,94,98,231
1,12,13.5,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,239,V,V,V,V,119,V,94,98,231
1,13,14.0,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,239,V,V,V,V,119,V,94,98,231
1,14,14.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,239,V,V,V,V,119,V,94,98,231
1,15,15.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,127,V,V,V,V,119,V,94,98,231
1,16,15.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,127,V,V,V,V,119,V,94,98,231
1,17,16.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,127,V,V,V,V,V,V,60,110,147
1,18,16.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,60,110,147
1,19,17.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,60,110,147
1,20,17.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,60,110,147
1,21,18.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,60,V,147
1,22,18.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,60,V,147
1,23,19.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,203,V,147
