f1,f2
294.000000,13.291429
295.000000,13.508571
299.000000,13.542857
298.000000,13.520000
297.000000,13.517143
301.000000,13.082857
303.000000,13.231429
296.000000,12.982857
318.000000,13.540000
324.000000,13.608571
315.000000,13.520000
316.000000,13.522857
314.000000,13.514286
319.000000,13.542857
302.000000,13.151429
300.000000,13.051429
298.000000,13.005714
307.000000,13.328571
295.000000,12.954286
323.000000,13.562857
294.000000,12.894286
308.000000,13.354286
301.000000,13.768571
296.000000,13.611429
300.000000,13.714286
295.000000,13.577143
294.000000,13.500000
297.000000,13.671429
299.000000,13.740000
294.000000,13.474286
295.000000,13.634286
301.000000,13.760000
300.000000,13.748571
303.000000,13.771429
304.000000,13.785714
297.000000,13.700000
305.000000,13.788571
295.000000,11.594286
294.000000,11.560000
301.000000,13.765714
300.000000,13.762857
294.000000,13.628571
299.000000,13.737143
298.000000,13.694286
296.000000,13.317143
301.000000,13.520000
297.000000,13.345714
298.000000,13.491429
295.000000,13.311429
294.000000,13.308571
301.000000,13.054286
296.000000,12.911429
308.000000,13.068571
297.000000,12.948571
298.000000,12.971429
295.000000,12.797143
300.000000,13.014286
294.000000,12.782857
295.000000,12.531429
303.000000,12.848571
302.000000,12.837143
294.000000,12.414286
296.000000,12.560000
299.000000,12.802857
298.000000,12.751429
297.000000,12.720000
297.000000,13.688571
294.000000,13.554286
304.000000,13.837143
299.000000,13.731429
300.000000,13.742857
303.000000,13.814286
295.000000,13.665714
302.000000,13.745714
308.000000,13.540000
318.000000,13.722857
296.000000,13.282857
312.000000,13.700000
297.000000,13.385714
304.000000,13.425714
310.000000,13.671429
309.000000,13.622857
317.000000,13.711429
311.000000,13.685714
305.000000,13.471429
306.000000,13.477143
294.000000,12.911429
295.000000,12.934286
307.000000,13.517143
305.000000,13.468571
295.000000,13.325714
294.000000,13.311429
296.000000,13.388571
297.000000,13.460000
298.000000,13.582857
296.000000,13.414286
294.000000,13.277143
295.000000,13.305714
297.000000,13.580000
299.000000,13.597143
295.000000,13.494286
304.000000,13.674286
297.000000,13.542857
301.000000,13.602857
296.000000,13.511429
305.000000,13.708571
298.000000,13.565714
302.000000,13.617143
294.000000,13.322857
294.000000,12.837143
304.000000,13.462857
298.000000,13.417143
296.000000,13.374286
300.000000,13.434286
295.000000,12.988571
296.000000,13.728571
294.000000,13.640000
298.000000,13.791429
295.000000,13.685714
294.000000,13.542857
296.000000,13.734286
297.000000,13.757143
295.000000,13.731429
303.000000,13.805714
302.000000,13.765714
294.000000,13.488571
297.000000,13.634286
304.000000,13.845714
301.000000,13.762857
298.000000,13.651429
294.000000,13.457143
309.000000,13.688571
302.000000,13.620000
300.000000,13.520000
301.000000,13.531429
295.000000,13.491429
299.000000,13.005714
297.000000,12.794286
294.000000,12.425714
298.000000,12.982857
296.000000,12.771429
295.000000,12.642857
297.000000,13.517143
301.000000,13.562857
298.000000,13.534286
294.000000,13.397143
296.000000,13.422857
302.000000,13.480000
304.000000,13.494286
296.000000,13.222857
295.000000,13.182857
299.000000,13.460000
294.000000,12.997143
297.000000,13.314286
306.000000,13.397143
296.000000,13.160000
303.000000,13.382857
302.000000,13.374286
301.000000,13.362857
297.000000,13.194286
299.000000,13.331429
298.000000,13.228571
294.000000,12.920000
294.000000,13.700000
306.000000,13.888571
301.000000,13.874286
299.000000,13.820000
309.000000,13.951429
300.000000,13.854286
298.000000,13.808571
296.000000,13.751429
298.000000,13.805714
299.000000,13.820000
297.000000,13.785714
305.000000,13.845714
294.000000,13.545714
308.000000,13.897143
296.000000,13.705714
295.000000,13.617143
308.000000,13.748571
306.000000,13.714286
297.000000,13.308571
299.000000,13.585714
294.000000,13.302857
305.000000,13.597143
298.000000,13.431429
298.000000,13.611429
299.000000,13.631429
297.000000,13.554286
295.000000,13.371429
300.000000,13.708571
294.000000,13.357143
296.000000,13.542857
296.000000,13.742857
295.000000,13.711429
294.000000,13.591429
297.000000,13.862857
296.000000,13.562857
295.000000,13.531429
294.000000,13.417143
297.000000,13.594286
300.000000,13.308571
316.000000,13.428571
297.000000,13.148571
294.000000,12.974286
295.000000,13.042857
309.000000,13.322857
314.000000,13.420000
299.000000,13.262857
312.000000,13.417143
310.000000,13.368571
296.000000,13.140000
311.000000,13.380000
