INSTANCIA,TAM,POB,CRU,MUT,HV,PARETO_FILE
promedio_2024,286,100,0.60,0.001,0.352322,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.393531,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.397156,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.378556,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.395604,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.374379,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.394281,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.385444,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.385452,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.382742,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.371192,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.383437,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.388838,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.395581,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.382724,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.379528,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.388563,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.391819,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.381604,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.396008,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.378112,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.384405,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.395590,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.394043,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.382009,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.383597,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.397739,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.377734,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.389502,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.60,0.001,0.391390,output/promedio_2024_pareto_front.csv
