generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.61,8.8400,8.5103,77,100,257
2,322.00,346.12,9.0343,8.4079,77,100,502
3,333.00,423.30,9.4000,8.8941,61,100,1828
4,417.00,466.60,9.8971,9.0587,58,100,2986
5,459.00,488.01,9.7171,9.1216,68,100,4126
6,472.00,507.86,9.9829,9.3276,72,100,5319
7,482.00,512.19,10.3314,9.2979,72,100,6493
8,498.00,526.72,10.0829,9.5509,53,100,7633
9,495.00,528.30,10.2114,9.6554,47,100,8780
10,500.00,525.09,10.1829,9.5911,46,100,9938
11,501.00,526.08,10.3857,9.7641,49,100,11080
12,503.00,525.35,10.7943,9.6718,54,100,12199
13,506.00,532.44,10.3943,9.7925,57,100,13132
14,505.00,533.90,10.5143,9.7278,51,100,14238
15,515.00,539.60,10.3914,9.8534,42,100,15341
16,509.00,536.46,10.8314,9.8984,35,100,16449
17,504.00,530.27,10.5429,9.8686,48,100,17545
18,504.00,530.77,10.6571,9.9384,60,100,18641
19,512.00,539.71,10.8114,9.9442,55,100,19713
20,506.00,531.74,10.6514,9.7867,62,100,20843
21,507.00,541.85,10.6286,9.9184,60,100,21963
22,509.00,539.44,10.3943,9.7670,45,100,23045
23,511.00,532.32,10.3686,9.7778,34,100,24155
24,507.00,537.80,10.3800,9.7730,45,100,25267
25,509.00,539.12,10.4971,9.8333,52,100,26373
26,505.00,531.24,10.8686,9.7828,63,100,27471
