dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
4,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,727,20
1,1,"PROGRAMACION 2",8.0,11.0,31,35
1,1,"PROGRAMACION 2",8.0,11.0,311,29
1,1,"PROGRAMACION 2",8.0,11.0,B23,101
1,2,"ADMINISTRACION DE INFRAESTRUCTURAS",12.0,16.0,B22,32
1,2,"ADMINISTRACION DE INFRAESTRUCTURAS",12.0,16.0,502,20
20,3,"ADMINISTRACION DE OPERACIONES",8.0,10.5,A22,124
15,4,"AGRIMENSURA LEGAL 1",8.0,12.0,C01,194
15,4,"AGRIMENSURA LEGAL 1",8.0,12.0,C12,131
15,4,"AGRIMENSURA LEGAL 1",8.0,12.0,705,20
15,4,"AGRIMENSURA LEGAL 1",8.0,12.0,116,6
20,5,"AGRIMENSURA LEGAL 2",16.0,20.0,116,6
23,6,"AGRIMENSURA LEGAL 3",12.0,16.0,31,35
23,6,"AGRIMENSURA LEGAL 3",12.0,16.0,703,20
23,6,"AGRIMENSURA LEGAL 3",12.0,16.0,722,10
23,6,"AGRIMENSURA LEGAL 3",12.0,16.0,116,6
5,7,"AGRIMENSURA LEGAL 4",8.0,12.0,B11,50
5,7,"AGRIMENSURA LEGAL 4",8.0,12.0,C01,194
5,7,"AGRIMENSURA LEGAL 4",8.0,12.0,B01,223
5,7,"AGRIMENSURA LEGAL 4",8.0,12.0,703,20
23,8,"ALISTAMIENTO NAVAL",8.0,12.0,116,6
23,8,"ALISTAMIENTO NAVAL",8.0,12.0,310,16
12,9,"ANALISIS DE ALIMENTOS",8.0,12.0,307,180
12,10,"ANTENAS Y PROPAGACION",8.0,12.0,102,25
12,10,"ANTENAS Y PROPAGACION",8.0,12.0,116,6
12,10,"ANTENAS Y PROPAGACION",8.0,12.0,B22,32
1,11,"APLICACIONES DEL ALGEBRA LINEAL",8.0,11.0,309,16
16,12,"ARQUITECTURA DE COMPUTADORAS",8.0,11.0,601,60
16,13,"ASPECTOS BASICOS DE REDES DE COMPUT",12.0,15.0,116,6
16,13,"ASPECTOS BASICOS DE REDES DE COMPUT",12.0,15.0,727,20
16,13,"ASPECTOS BASICOS DE REDES DE COMPUT",12.0,15.0,310,16
20,14,"ASTRONOMIA GEODESICA",8.0,12.0,B01,223
14,15,"AUTOMATAS PROGRAMABLES",8.0,12.0,B12,141
13,16,"AVALUACIONES 1",8.0,12.0,C01,194
10,17,"AVALUACIONES 2",8.0,12.0,A01,145
10,17,"AVALUACIONES 2",8.0,12.0,309,16
20,18,"AVALUACIONES 3",8.0,12.0,B12,141
20,18,"AVALUACIONES 3",8.0,12.0,310,16
20,18,"AVALUACIONES 3",8.0,12.0,A21,72
15,19,"BASES DE DATOS I",8.0,12.0,B01,223
21,20,"BASES DE DATOS II",8.0,12.0,307,180
4,21,"BASES DE DATOS PARA INGENIERIA",8.0,11.0,A22,124
4,21,"BASES DE DATOS PARA INGENIERIA",8.0,11.0,703,20
3,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
3,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
3,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
