dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,24,176,188,V,176,V,V,90,266,V,1,V,181,V,V,V,160,266,V,134,V,271,1,69,106,1,V,160,231,134,271,266,176,V,266,11,106,271,271
1,2,8.5,24,176,188,V,176,V,V,90,266,V,1,V,181,V,V,V,160,266,V,134,V,271,1,69,106,1,V,160,231,134,271,266,176,V,266,11,106,271,271
1,3,9.0,24,176,188,V,176,V,V,90,266,V,1,V,181,V,V,V,160,266,V,134,V,271,1,69,106,1,V,160,231,134,271,266,176,V,266,11,106,271,271
1,4,9.5,24,176,188,V,176,V,V,90,266,V,1,V,181,V,V,V,160,266,V,134,V,271,1,69,106,1,V,160,231,134,271,266,176,V,266,11,106,271,271
1,5,10.0,24,176,188,V,176,V,V,90,266,V,1,V,181,V,V,V,160,266,V,134,V,271,1,69,106,1,V,160,231,134,271,266,176,V,266,11,106,271,271
1,6,10.5,24,176,188,V,176,V,V,90,266,V,1,V,181,V,V,V,160,266,V,134,V,271,1,69,106,1,V,160,231,134,271,266,176,V,266,11,106,271,271
1,7,11.0,V,176,V,V,176,V,V,90,266,V,V,V,181,V,V,V,160,266,V,134,V,271,277,V,106,26,26,160,231,134,271,266,176,V,266,26,106,271,271
1,8,11.5,V,176,V,V,176,V,V,90,266,V,V,V,181,V,V,V,160,266,V,134,V,271,277,V,106,26,26,160,231,134,271,266,176,V,266,26,106,271,271
1,9,12.0,67,V,67,V,V,V,V,V,39,V,V,V,67,V,V,V,V,V,V,274,V,158,277,V,2,26,26,40,39,111,2,212,185,39,153,26,212,39,67
1,10,12.5,67,V,67,V,V,V,V,V,39,V,V,V,67,V,V,V,V,V,V,274,V,158,277,V,2,26,26,40,39,111,2,212,185,39,153,26,212,39,67
1,11,13.0,67,V,67,V,V,V,V,V,39,V,V,V,67,V,V,V,V,V,V,274,V,158,277,V,2,26,26,40,39,111,2,212,185,39,153,26,212,39,67
1,12,13.5,67,V,67,V,V,V,V,V,39,V,V,V,67,V,V,V,V,V,V,274,V,158,277,V,2,26,26,40,39,111,2,212,185,39,153,26,212,39,67
1,13,14.0,67,V,67,V,V,V,V,V,39,V,V,V,67,V,V,V,V,V,V,274,V,V,277,V,2,26,26,40,39,111,2,212,185,39,153,26,212,39,67
