INSTANCIA,TAM,POB,CRU,MUT,HV,PARETO_FILE
promedio_2024,286,100,0.70,0.100,0.234657,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.232909,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.231403,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.239210,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.231276,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.237857,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.232778,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.230117,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.228684,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.227286,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.227989,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.236018,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.236977,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.235832,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.226349,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.232273,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.235537,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.230622,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.242033,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.239196,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.229624,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.231538,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.235806,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.233844,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.229994,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.228063,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.232077,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.242455,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.245034,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.70,0.100,0.244667,output/promedio_2024_pareto_front.csv
