materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",527,3.0,20,8.0,"B01;C01;B12",558,OK
95,"GEOMETRIA Y ALGEBRA LINEAL 1",385,3.0,8,8.0,"B01;309;C01",433,OK
172,"MATEMATICA DISCRETA 1",375,3.0,2,8.0,"B01;501;C01",479,OK
78,"FISICA 1",354,3.0,1,8.0,"B01;C01",417,OK
23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",304,4.0,5,8.0,"B01;C01",417,OK
97,"GEOMETRIA Y ALGEBRA LINEAL 2",298,3.5,19,8.0,"B01;C01;725",437,OK
52,"ECONOMIA",269,4.0,3,8.0,"B01;C01",417,OK
206,"PROGRAMACION 1",182,3.0,20,11.0,"C01",194,OK
188,"METODOS NUMERICOS",165,3.0,24,8.0,"307;310;725",216,OK
176,"MATEMATICA INICIAL",116,4.0,23,12.0,"A12",119,OK
80,"FISICA 3",102,3.0,23,8.0,"C22",102,OK
202,"PROBABILIDAD Y ESTADISTICA",94,3.0,16,12.0,"312;722",104,OK
173,"MATEMATICA DISCRETA 2",89,3.0,24,13.5,"Hall;116;310",122,OK
24,"CALCULO VECTORIAL",83,3.0,11,8.0,"Actos;116;725",154,OK
181,"MECANICA NEWTONIANA",82,4.0,2,8.0,"310;B11;722;116",82,OK
159,"LOGICA",81,4.0,8,11.0,"722;601;B01;310",309,OK
207,"PROGRAMACION 3",78,3.0,2,12.0,"312;725",114,OK
1,"PROGRAMACION 2",77,3.0,22,8.0,"116;B01",229,OK
215,"REDES DE COMPUTADORAS",74,3.0,21,8.0,"303",76,OK
79,"FISICA 2",65,3.0,5,8.0,"B23",101,OK
201,"PRINCIPIOS DE QUIMICA GENERAL",60,4.0,1,8.0,"C21;A11;311;725",99,OK
208,"PROGRAMACION 4",55,3.0,5,12.0,"722;116;B01",239,OK
12,"ARQUITECTURA DE COMPUTADORAS",54,3.0,12,8.0,"601",60,OK
142,"INT. A LA INVESTIGACION DE OPERACIONES",45,4.0,2,16.0,"B11",50,OK
66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",44,3.0,15,8.0,"703;B01;309",259,OK
