generacion,mejor_asignaciones,promedio_asignaciones,desv_std_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,desv_std_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,desv_std_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,303.29,11.277423,9.0771,8.5255,294.000000,303.285714,11.277423,-9.077143,-8.525544,0.155846,84,100,308
2,294.00,301.98,10.498648,8.9857,8.4524,294.000000,301.975309,10.498648,-8.985714,-8.452381,0.243984,81,100,571
3,294.00,299.86,4.978735,9.8371,9.3215,294.000000,299.858974,4.978735,-9.837143,-9.321502,0.143738,78,100,1850
4,294.00,299.52,4.814380,10.1229,9.8656,294.000000,299.517857,4.814380,-10.122857,-9.865561,0.136190,56,100,3131
5,294.00,300.50,5.661951,10.3800,10.0552,294.000000,300.500000,5.661951,-10.380000,-10.055220,0.137817,52,100,4287
6,294.00,301.36,5.248318,10.9629,10.4401,294.000000,301.355263,5.248318,-10.962857,-10.440113,0.210117,76,100,5491
7,294.00,303.32,5.428868,11.1086,10.7494,294.000000,303.319149,5.428868,-11.108571,-10.749362,0.236909,94,100,6681
8,294.00,303.50,6.992138,11.4571,11.0571,294.000000,303.500000,6.992138,-11.457143,-11.057114,0.300816,100,100,7834
9,294.00,301.61,6.275181,11.5886,11.2189,294.000000,301.610000,6.275181,-11.588571,-11.218857,0.261006,100,100,8968
10,294.00,302.77,6.413821,11.8000,11.4598,294.000000,302.770000,6.413821,-11.800000,-11.459800,0.267698,100,100,10069
11,294.00,304.72,7.126121,11.8457,11.6146,294.000000,304.720000,7.126121,-11.845714,-11.614600,0.184736,100,100,11153
12,294.00,303.12,6.291709,12.0114,11.7136,294.000000,303.120000,6.291709,-12.011429,-11.713629,0.140938,100,100,12228
13,294.00,302.60,5.951470,12.3057,11.9235,294.000000,302.600000,5.951470,-12.305714,-11.923543,0.169309,100,100,13312
14,294.00,302.84,6.287639,12.4400,12.1488,294.000000,302.840000,6.287639,-12.440000,-12.148829,0.238388,100,100,14394
15,294.00,301.19,7.154991,12.5200,12.1685,294.000000,301.190000,7.154991,-12.520000,-12.168486,0.246122,100,100,15494
16,294.00,299.41,6.494759,12.6114,12.2859,294.000000,299.410000,6.494759,-12.611429,-12.285886,0.218370,100,100,16584
17,294.00,298.72,3.240617,12.6943,12.4548,294.000000,298.720000,3.240617,-12.694286,-12.454829,0.200975,100,100,17664
18,294.00,299.16,3.833328,12.7343,12.5309,294.000000,299.160000,3.833328,-12.734286,-12.530943,0.174543,100,100,18748
19,294.00,298.37,3.393096,12.8914,12.5946,294.000000,298.370000,3.393096,-12.891429,-12.594600,0.212248,100,100,19829
20,294.00,299.10,3.351119,12.9257,12.7018,294.000000,299.100000,3.351119,-12.925714,-12.701771,0.192249,100,100,20917
21,294.00,298.48,2.847736,12.9200,12.7312,294.000000,298.480000,2.847736,-12.920000,-12.731171,0.165985,100,100,21977
22,294.00,298.04,2.880694,12.9571,12.7611,294.000000,298.040000,2.880694,-12.957143,-12.761086,0.162820,100,100,23056
23,294.00,297.86,2.884510,13.1000,12.8049,294.000000,297.860000,2.884510,-13.100000,-12.804943,0.166229,100,100,24105
24,294.00,297.96,2.817517,13.1371,12.9051,294.000000,297.960000,2.817517,-13.137143,-12.905143,0.152714,100,100,25162
25,294.00,297.97,2.910172,13.1914,12.9700,294.000000,297.970000,2.910172,-13.191429,-12.970029,0.148233,100,100,26224
26,294.00,298.28,2.691022,13.1886,13.0418,294.000000,298.280000,2.691022,-13.188571,-13.041829,0.114459,100,100,27297
27,294.00,299.34,3.507763,13.2686,13.1055,294.000000,299.340000,3.507763,-13.268571,-13.105543,0.131911,100,100,28371
28,294.00,299.20,3.518522,13.2714,13.1386,294.000000,299.200000,3.518522,-13.271429,-13.138600,0.109417,100,100,29450
29,294.00,298.32,3.319277,13.3057,13.1427,294.000000,298.320000,3.319277,-13.305714,-13.142743,0.146282,100,100,30514
30,294.00,297.23,2.411866,13.3514,13.2182,294.000000,297.230000,2.411866,-13.351429,-13.218229,0.121212,100,100,31580
31,294.00,296.30,1.910497,13.3914,13.1898,294.000000,296.300000,1.910497,-13.391429,-13.189800,0.153959,100,100,32648
32,294.00,296.64,1.931424,13.3914,13.2429,294.000000,296.640000,1.931424,-13.391429,-13.242857,0.133851,100,100,33709
33,294.00,296.73,1.837689,13.4571,13.2658,294.000000,296.730000,1.837689,-13.457143,-13.265829,0.145024,100,100,34773
34,294.00,296.37,1.847458,13.4857,13.2558,294.000000,296.370000,1.847458,-13.485714,-13.255829,0.158088,100,100,35832
35,294.00,297.22,2.274115,13.4771,13.3011,294.000000,297.220000,2.274115,-13.477143,-13.301057,0.170957,100,100,36892
36,294.00,297.38,2.279386,13.5143,13.3397,294.000000,297.380000,2.279386,-13.514286,-13.339714,0.157849,100,100,37950
37,294.00,297.88,2.342136,13.5343,13.4089,294.000000,297.880000,2.342136,-13.534286,-13.408914,0.155541,100,100,39012
38,294.00,296.86,2.130821,13.5543,13.3883,294.000000,296.860000,2.130821,-13.554286,-13.388314,0.177575,100,100,40065
39,294.00,296.24,1.789525,13.5543,13.3557,294.000000,296.240000,1.789525,-13.554286,-13.355714,0.192317,100,100,41113
40,294.00,295.73,1.826773,13.5743,13.3215,294.000000,295.730000,1.826773,-13.574286,-13.321457,0.211664,100,100,42169
41,294.00,296.16,1.426324,13.6171,13.4631,294.000000,296.160000,1.426324,-13.617143,-13.463057,0.143507,100,100,43218
42,294.00,296.27,1.821291,13.6286,13.4682,294.000000,296.270000,1.821291,-13.628571,-13.468171,0.159743,100,100,44274
43,294.00,296.01,1.299962,13.6457,13.5111,294.000000,296.010000,1.299962,-13.645714,-13.511086,0.071532,100,100,45331
44,294.00,296.37,1.641067,13.6571,13.5376,294.000000,296.370000,1.641067,-13.657143,-13.537600,0.083298,100,100,46397
45,294.00,296.52,1.802665,13.6943,13.5612,294.000000,296.520000,1.802665,-13.694286,-13.561171,0.091500,100,100,47460
46,294.00,296.81,1.629079,13.6971,13.6101,294.000000,296.810000,1.629079,-13.697143,-13.610114,0.075990,100,100,48515
47,294.00,296.43,1.511655,13.7200,13.6017,294.000000,296.430000,1.511655,-13.720000,-13.601686,0.082506,100,100,49573
48,294.00,296.64,1.500133,13.7200,13.6330,294.000000,296.640000,1.500133,-13.720000,-13.632971,0.089694,100,100,50635
49,294.00,297.61,1.672692,13.7200,13.6778,294.000000,297.610000,1.672692,-13.720000,-13.677829,0.069183,100,100,51693
50,294.00,297.56,0.993177,13.7229,13.6994,294.000000,297.560000,0.993177,-13.722857,-13.699371,0.052998,100,100,52746
51,294.00,297.28,1.319697,13.7486,13.6831,294.000000,297.280000,1.319697,-13.748571,-13.683086,0.071040,100,100,53793
52,294.00,297.06,1.554477,13.7800,13.6906,294.000000,297.060000,1.554477,-13.780000,-13.690600,0.091270,100,100,54840
53,294.00,296.93,1.888147,13.7771,13.6697,294.000000,296.930000,1.888147,-13.777143,-13.669657,0.109382,100,100,55881
54,294.00,297.00,1.849324,13.7800,13.6826,294.000000,297.000000,1.849324,-13.780000,-13.682629,0.116921,100,100,56918
55,294.00,296.23,2.014224,13.7886,13.6325,294.000000,296.230000,2.014224,-13.788571,-13.632486,0.114539,100,100,57966
56,294.00,296.81,1.932330,13.8314,13.7101,294.000000,296.810000,1.932330,-13.831429,-13.710086,0.090782,100,100,58998
57,294.00,297.40,2.306513,13.8486,13.7502,294.000000,297.400000,2.306513,-13.848571,-13.750229,0.067027,100,100,60016
58,294.00,298.30,2.495997,13.8543,13.7874,294.000000,298.300000,2.495997,-13.854286,-13.787400,0.065118,100,100,61029
59,294.00,298.00,2.353720,13.8686,13.7857,294.000000,298.000000,2.353720,-13.868571,-13.785714,0.065554,100,100,62032
60,294.00,297.39,2.457214,13.8571,13.7864,294.000000,297.390000,2.457214,-13.857143,-13.786400,0.063449,100,100,63037
61,294.00,297.47,1.670060,13.8543,13.8177,294.000000,297.470000,1.670060,-13.854286,-13.817714,0.050822,100,100,64044
62,294.00,296.77,1.713797,13.8657,13.8044,294.000000,296.770000,1.713797,-13.865714,-13.804429,0.062425,100,100,65065
63,294.00,297.28,1.503862,13.8657,13.8234,294.000000,297.280000,1.503862,-13.865714,-13.823400,0.052305,100,100,66072
64,294.00,297.66,1.060377,13.8686,13.8464,294.000000,297.660000,1.060377,-13.868571,-13.846429,0.054886,100,100,67076
65,294.00,296.93,1.834421,13.8857,13.8152,294.000000,296.930000,1.834421,-13.885714,-13.815200,0.070875,100,100,68091
66,294.00,297.60,1.549193,13.9086,13.8648,294.000000,297.600000,1.549193,-13.908571,-13.864800,0.047819,100,100,69103
67,294.00,298.05,1.235921,13.9314,13.8907,294.000000,298.050000,1.235921,-13.931429,-13.890657,0.034485,100,100,70098
68,294.00,297.23,1.948615,13.9686,13.8648,294.000000,297.230000,1.948615,-13.968571,-13.864800,0.070158,100,100,71106
69,294.00,297.90,1.187434,14.0057,13.8994,294.000000,297.900000,1.187434,-14.005714,-13.899371,0.037819,100,100,72104
70,294.00,297.94,0.869713,14.0400,13.9062,294.000000,297.940000,0.869713,-14.040000,-13.906171,0.035409,100,100,73106
71,294.00,297.74,2.062135,14.0800,13.8914,294.000000,297.740000,2.062135,-14.080000,-13.891371,0.088593,100,100,74110
72,294.00,298.43,2.550510,14.0457,13.9035,294.000000,298.430000,2.550510,-14.045714,-13.903543,0.094253,100,100,75113
73,294.00,298.04,2.880694,14.0571,13.8977,294.000000,298.040000,2.880694,-14.057143,-13.897743,0.105641,100,100,76117
74,294.00,298.34,2.912799,14.0543,13.9265,294.000000,298.340000,2.912799,-14.054286,-13.926457,0.108204,100,100,77131
75,294.00,298.69,3.387315,14.0629,13.9254,294.000000,298.690000,3.387315,-14.062857,-13.925371,0.112369,100,100,78174
76,294.00,299.20,3.261901,14.0886,13.9685,294.000000,299.200000,3.261901,-14.088571,-13.968486,0.101578,100,100,79185
77,294.00,298.27,3.055667,14.0886,13.9407,294.000000,298.270000,3.055667,-14.088571,-13.940714,0.088600,100,100,80210
78,294.00,298.24,2.408817,14.1257,13.9814,294.000000,298.240000,2.408817,-14.125714,-13.981429,0.093796,100,100,81209
79,294.00,299.63,3.812230,14.1714,14.0299,294.000000,299.630000,3.812230,-14.171429,-14.029914,0.094260,100,100,82207
80,294.00,300.84,4.342165,14.1886,14.0975,294.000000,300.840000,4.342165,-14.188571,-14.097514,0.091374,100,100,83198
81,294.00,299.79,3.837434,14.2400,14.0936,294.000000,299.790000,3.837434,-14.240000,-14.093571,0.094304,100,100,84172
82,294.00,298.78,3.011910,14.2314,14.1142,294.000000,298.780000,3.011910,-14.231429,-14.114171,0.076106,100,100,85136
83,294.00,299.80,3.379349,14.2286,14.1550,294.000000,299.800000,3.379349,-14.228571,-14.155029,0.066359,100,100,86101
84,294.00,300.99,4.246163,14.2429,14.1881,294.000000,300.990000,4.246163,-14.242857,-14.188114,0.060119,100,100,87058
85,294.00,301.29,3.952961,14.2457,14.1987,294.000000,301.290000,3.952961,-14.245714,-14.198743,0.048905,100,100,88016
86,294.00,300.10,3.920459,14.2571,14.1937,294.000000,300.100000,3.920459,-14.257143,-14.193714,0.043833,100,100,88982
87,294.00,298.51,3.070814,14.2543,14.1901,294.000000,298.510000,3.070814,-14.254286,-14.190057,0.044497,100,100,89925
88,294.00,298.82,3.063919,14.2543,14.2061,294.000000,298.820000,3.063919,-14.254286,-14.206057,0.035413,100,100,90859
89,294.00,297.72,3.212725,14.2800,14.1915,294.000000,297.720000,3.212725,-14.280000,-14.191457,0.047500,100,100,91793
90,294.00,298.31,2.834414,14.3029,14.2204,294.000000,298.310000,2.834414,-14.302857,-14.220400,0.060084,100,100,92720
91,294.00,298.15,3.198046,14.3114,14.2205,294.000000,298.150000,3.198046,-14.311429,-14.220457,0.096751,100,100,93641
92,294.00,298.39,3.055798,14.3229,14.2533,294.000000,298.390000,3.055798,-14.322857,-14.253343,0.067385,100,100,94569
93,294.00,298.97,3.729491,14.3286,14.2727,294.000000,298.970000,3.729491,-14.328571,-14.272686,0.050479,100,100,95506
