INSTANCIA,TAM,POB,CRU,MUT,HV,PARETO_FILE
promedio_2024,286,100,0.80,0.001,0.445830,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.440018,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.451344,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.453478,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.396317,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.426402,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.455628,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.409200,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.430258,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.453392,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.455258,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.452289,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.455530,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.448728,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.450173,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.434486,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.440972,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.428094,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.453636,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.434420,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.416961,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.446434,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.425667,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.449829,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.452839,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.431923,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.453789,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.414072,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.438028,output/promedio_2024_pareto_front.csv
promedio_2024,286,100,0.80,0.001,0.442416,output/promedio_2024_pareto_front.csv
