dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
6,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,727,20
18,1,"PROGRAMACION 2",8.0,11.0,312,94
13,2,"ADMINISTRACION DE INFRAESTRUCTURAS",8.0,12.0,116,6
24,3,"ADMINISTRACION DE OPERACIONES",15.0,17.5,310,16
24,4,"AGRIMENSURA LEGAL 1",12.0,16.0,116,6
2,5,"AGRIMENSURA LEGAL 2",8.0,12.0,727,20
21,6,"AGRIMENSURA LEGAL 3",12.0,16.0,116,6
12,7,"AGRIMENSURA LEGAL 4",8.0,12.0,312,94
25,8,"ALISTAMIENTO NAVAL",8.0,12.0,311,29
23,9,"ANALISIS DE ALIMENTOS",8.0,12.0,705,20
7,10,"ANTENAS Y PROPAGACION",16.0,20.0,116,6
6,11,"APLICACIONES DEL ALGEBRA LINEAL",12.0,15.0,705,20
25,12,"ARQUITECTURA DE COMPUTADORAS",15.0,18.0,601,60
18,13,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,11.0,C01,194
11,14,"ASTRONOMIA GEODESICA",16.0,20.0,116,6
22,15,"AUTOMATAS PROGRAMABLES",8.0,12.0,310,16
4,16,"AVALUACIONES 1",8.0,12.0,116,6
3,17,"AVALUACIONES 2",8.0,12.0,311,29
5,18,"AVALUACIONES 3",8.0,12.0,C12,131
18,19,"BASES DE DATOS I",12.0,16.0,116,6
14,20,"BASES DE DATOS II",8.0,12.0,116,6
12,21,"BASES DE DATOS PARA INGENIERIA",8.0,11.0,310,16
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,Actos,128
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
1,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",11.0,15.0,B01,223
1,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",11.0,15.0,C01,194
25,24,"CALCULO VECTORIAL",11.0,14.0,312,94
14,25,"CALIDAD DE AGUAS",16.0,20.0,116,6
25,26,"CAMINOS Y CALLES 1",8.0,12.0,705,20
6,27,"CAPTURA DE DATOS POR PERCEPCION REMOTA",16.0,20.0,116,6
21,28,"CARTOGRAFIA MATEMATICA",8.0,12.0,301,76
6,29,"CARTOGRAFÍA TEMÁTICA",8.0,12.0,705,20
19,30,"CARTOGRAFÍA TEMÁTICA (ÁREA)",16.0,20.0,116,6
3,31,"CATASTRO",16.0,20.0,116,6
22,32,"COMERCIALIZACION",16.0,20.0,116,6
24,33,"COMPL.ARQUITECTURA DE COMPUTADORAS",11.0,15.0,312,94
25,34,"COMPORTAMIENTO MECANICO DE MATERIALES 1",14.0,17.0,310,16
24,35,"COMPORTAMIENTO MECANICO DE MATERIALES 2",15.0,18.5,312,94
1,36,"COMPORTAMIENTO MEC. DE MATERIALES",12.0,15.5,B21,39
2,37,"COMPUTACION 1",12.0,15.0,727,20
22,38,"COMUNICACIONES DIGITALES",8.0,12.0,722,10
24,39,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",12.0,15.0,310,16
17,40,"CONTABILIDAD (ACT.COMPL.4)",16.0,20.0,116,6
17,41,"CONTROL DE CALIDAD",8.0,12.0,727,20
3,42,"COSTOS",8.0,12.0,310,16
1,43,"COSTOS PARA INGENIERIA",8.0,12.0,722,10
4,44,"DINAMICA DE MAQUINAS Y VIBRACION",12.0,16.0,116,6
10,45,"DISEÑO ASISTIDO POR COMPUTADOR",12.0,16.0,116,6
18,46,"DISEÑO CATASTRAL",8.0,12.0,116,6
3,47,"DISEÑO DE PROCESOS QUIMICOS",12.0,16.0,116,6
16,48,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",12.0,16.0,116,6
16,49,"DISEÑO HIDROLOGICO",8.0,12.0,727,20
23,50,"DISEÑO LOGICO",8.0,12.0,727,20
4,51,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",8.0,12.0,C01,194
1,52,"ECONOMIA",15.0,19.0,B01,223
1,52,"ECONOMIA",15.0,19.0,C01,194
9,53,"ECONOMÍA (AREA)",12.0,16.0,116,6
20,54,"EJERCICIOS DE INGENIERIA SANITARIA",16.0,20.0,116,6
25,55,"ELASTICIDAD",11.5,15.5,C11,25
2,56,"ELECTROMAGNETISMO",8.0,12.0,310,16
6,57,"ELECTRONICA AVANZADA 1",8.0,11.0,310,16
24,58,"ELECTRONICA AVANZADA 2",8.0,11.0,725,20
23,59,"ELECTRONICA DE POTENCIA",11.5,15.5,722,10
1,60,"ELECTROTECNICA",16.0,19.0,310,16
25,61,"ELECTROTECNICA I",14.5,17.0,305,35
25,62,"ELECTROTECNICA II",8.0,11.0,C01,194
2,63,"ELEMENTOS DE GESTION LOGISTICA",14.0,18.0,C01,194
25,64,"ELEMENTOS DE INGENIERIA AMBIENTAL",12.0,16.0,703,20
2,65,"ELEMENTOS DE MAQUINAS",12.0,16.0,116,6
25,66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",8.0,11.0,B11,50
7,67,"ELEMENTOS DE NAVEGACION",12.0,16.0,312,94
1,68,"ELEMENTOS DE TOPOGRAFIA",12.0,16.0,A12,119
25,69,"ENERGIA 1- COMBUSTION",11.5,14.5,305,35
15,70,"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",8.0,12.0,A01,145
3,71,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",8.0,12.0,B22,32
23,72,"ESTRUCTURAS DE ACERO",8.0,10.0,A11,25
4,73,"ESTRUCTURAS DE BUQUES",16.0,20.0,116,6
14,74,"ESTRUCTURAS DE DATOS Y ALGORITMOS",12.0,16.0,116,6
1,75,"ESTRUCTURAS DE MADERA",8.0,12.0,115,40
13,76,"ESTUDIO DEL TRABAJO",8.0,12.0,B01,223
1,77,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",8.0,12.0,311,29
2,78,"FISICA 1",11.0,14.0,B01,223
2,78,"FISICA 1",11.0,14.0,C01,194
24,79,"FISICA 2",8.0,11.0,Piso,70
21,80,"FISICA 3",8.0,11.0,C22,102
25,81,"FISICA TERMICA",8.0,11.5,305,35
25,81,"FISICA TERMICA",8.0,11.5,C11,25
1,82,"FLUIDODINAMICA",8.0,12.0,B21,39
24,83,"FOTOGRAMETRIA",8.0,12.0,C12,131
24,83,"FOTOGRAMETRIA",8.0,12.0,727,20
24,83,"FOTOGRAMETRIA",8.0,12.0,116,6
25,84,"FUNCIONES DE VARIABLE COMPLEJA",18.0,21.0,312,94
4,85,"FUNDAMENTOS DE BASES DE DATOS",8.0,11.0,310,16
1,86,"FUNDAMENTOS DE ROBOTICA INDUSTRIAL",12.0,16.0,115,40
23,87,"FUND. DE LA PROD. DE CELULOSA Y PAPEL",17.5,20.5,116,6
1,88,"GENERADORES DE VAPOR",8.0,12.0,C11,25
25,89,"GEODESIA 1",16.0,20.0,116,6
20,90,"GEODESIA 2",8.0,12.0,116,6
20,90,"GEODESIA 2",8.0,12.0,727,20
25,91,"GEODESIA 3",8.0,12.0,116,6
5,92,"GEOESTADISTICA APLICADA",8.0,12.0,727,20
18,93,"GEOFISICA",16.0,20.0,116,6
23,94,"GEOLOGIA DE INGENIERIA",8.0,12.0,C11,25
2,95,"GEOMETRIA Y ALGEBRA LINEAL 1",8.0,11.0,B01,223
