dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,22,V,22,V,V,V,22,V,176,V,V,232,181,V,V,V,V,V,V,155,75,82,V,V,261,77,V,V,88,263,V,261,279,249,223,266,182,43,269
1,2,8.5,22,V,22,V,V,V,22,V,176,V,V,232,181,V,V,V,V,V,V,155,75,82,V,V,261,77,V,V,88,263,V,261,279,249,223,266,182,43,269
1,3,9.0,22,V,22,V,V,V,22,V,176,V,V,232,181,V,V,V,V,V,V,155,75,82,V,V,261,77,V,V,88,263,V,261,279,249,223,266,182,43,269
1,4,9.5,22,V,22,V,V,V,22,V,176,V,V,232,181,V,V,V,V,V,V,155,75,82,V,V,261,77,V,V,88,263,V,261,279,249,223,266,182,43,269
1,5,10.0,22,V,22,V,V,V,22,V,176,V,V,232,181,V,V,V,V,V,V,155,75,82,V,V,261,77,V,V,88,263,V,261,279,249,223,266,182,43,269
1,6,10.5,22,V,22,V,V,V,22,V,176,V,V,232,181,V,V,V,V,V,V,155,75,82,V,V,261,77,V,V,88,263,V,261,279,249,223,266,182,43,269
1,7,11.0,23,23,188,V,V,V,V,V,176,V,V,232,181,V,V,V,V,V,V,155,75,82,V,V,261,77,V,V,88,263,V,261,279,249,223,266,182,43,269
1,8,11.5,23,23,188,V,V,V,V,V,176,V,V,232,181,V,V,V,V,V,V,155,75,82,V,V,261,77,V,V,88,263,V,261,V,249,223,266,182,43,269
1,9,12.0,23,23,188,V,V,V,V,V,68,V,V,V,202,V,V,V,V,V,V,V,86,36,V,V,107,192,V,V,V,228,V,194,V,V,114,V,233,239,186
1,10,12.5,23,23,188,V,V,V,V,V,68,V,V,V,202,V,V,V,V,V,V,V,86,36,V,V,107,192,V,V,V,228,V,194,V,V,114,V,233,239,186
1,11,13.0,23,23,188,V,V,V,V,V,68,V,V,V,202,V,V,V,V,V,V,V,86,36,V,V,107,192,V,V,V,228,V,194,V,V,114,V,233,239,186
1,12,13.5,23,23,188,V,V,V,V,V,68,V,V,V,202,V,V,V,V,V,V,V,86,36,V,V,107,192,V,V,V,228,V,194,V,V,114,V,233,239,186
1,13,14.0,23,23,V,V,V,V,V,V,68,V,V,V,202,V,V,V,V,V,V,V,86,36,V,V,107,192,V,V,V,228,V,194,V,V,114,V,233,239,186
1,14,14.5,23,23,V,V,V,V,V,V,68,V,V,V,202,V,V,V,V,V,V,V,86,36,V,V,107,192,V,V,V,228,V,194,V,V,114,V,233,239,186
1,15,15.0,52,52,V,V,V,V,V,V,68,V,V,V,147,V,V,V,V,V,V,V,86,36,V,V,107,V,V,V,V,228,V,194,V,V,114,V,233,239,186
1,16,15.5,52,52,V,V,V,V,V,V,68,V,V,V,147,V,V,V,V,V,V,V,86,V,V,V,107,V,V,V,V,127,V,194,V,V,114,V,233,239,186
1,17,16.0,52,52,V,V,V,V,V,V,231,V,V,V,147,V,V,V,V,V,V,V,163,V,V,V,198,V,V,V,V,127,V,280,V,V,260,V,60,196,166
1,18,16.5,52,52,V,V,V,V,V,V,231,V,V,V,147,V,V,V,V,V,V,V,163,V,V,V,198,V,V,V,V,127,V,280,V,V,260,V,60,196,166
1,19,17.0,52,52,V,V,V,V,V,V,231,V,V,V,147,V,V,V,V,V,V,V,163,V,V,V,198,V,V,V,V,V,V,280,V,V,260,V,60,196,166
1,20,17.5,52,52,V,V,V,V,V,V,231,V,V,V,147,V,V,V,V,V,V,V,163,V,V,V,198,V,V,V,V,V,V,280,V,V,260,V,60,196,166
1,21,18.0,52,52,V,V,V,V,V,V,231,V,V,V,147,V,V,V,V,V,V,V,163,V,V,V,198,V,V,V,V,V,V,280,V,V,260,V,60,196,166
1,22,18.5,52,52,V,V,V,V,V,V,231,V,V,V,147,V,V,V,V,V,V,V,V,V,V,V,198,V,V,V,V,V,V,280,V,V,260,V,60,196,166
1,23,19.0,V,V,V,V,V,V,V,V,231,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,198,V,V,V,V,V,V,280,V,V,260,V,203,196,166
1,24,19.5,V,V,V,V,V,V,V,V,231,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,198,V,V,V,V,V,V,280,V,V,260,V,203,196,166
1,25,20.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,203,V,V
1,26,20.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
2,1,8.0,95,95,V,V,V,V,V,V,183,V,V,V,V,V,V,V,V,V,V,V,138,241,V,217,V,250,V,V,V,V,V,V,V,105,5,V,56,110,211
2,2,8.5,95,95,V,V,V,V,V,V,183,V,V,V,V,V,V,V,V,V,V,V,138,241,V,217,V,250,V,V,V,V,V,V,V,105,5,V,56,110,211
2,3,9.0,95,95,V,V,V,V,V,V,183,V,V,V,V,V,V,V,V,V,V,V,138,241,V,217,V,250,V,V,V,V,V,V,V,105,5,V,56,110,211
2,4,9.5,95,95,V,V,V,V,V,V,183,V,V,V,V,V,V,V,V,V,V,V,138,241,V,217,V,250,V,V,V,V,V,V,V,105,5,V,56,110,211
2,5,10.0,95,95,V,V,V,V,V,V,183,V,V,V,V,V,V,V,V,V,V,V,138,241,V,217,V,250,V,V,V,V,V,V,V,105,5,V,56,V,211
2,6,10.5,95,95,V,V,V,V,V,V,183,V,V,V,V,V,V,V,V,V,V,V,138,241,V,217,V,250,V,V,V,V,V,V,V,105,5,V,56,V,211
2,7,11.0,78,78,V,V,V,V,V,V,183,V,V,V,V,V,V,V,V,V,V,V,138,241,V,217,V,250,V,V,V,V,V,V,V,105,5,V,56,V,211
2,8,11.5,78,78,V,V,V,V,V,V,183,V,V,V,V,V,V,V,V,V,V,V,138,241,V,217,V,250,V,V,V,V,V,V,V,105,5,V,56,V,211
2,9,12.0,78,78,V,V,V,V,V,V,224,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,144,V,V,V,V,V,V,V,V,37,V,177,V,65
2,10,12.5,78,78,V,V,V,V,V,V,224,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,144,V,V,V,V,V,V,V,V,37,V,177,V,65
2,11,13.0,78,78,V,V,V,V,V,V,224,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,144,V,V,V,V,V,V,V,V,37,V,177,V,65
2,12,13.5,78,78,V,V,V,V,V,V,224,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,144,V,V,V,V,V,V,V,V,37,V,177,V,65
2,13,14.0,234,63,V,V,V,V,V,V,224,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,144,V,V,V,V,V,V,V,V,37,V,177,234,65
2,14,14.5,234,63,V,V,V,V,V,V,224,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,144,V,V,V,V,V,V,V,V,37,V,177,234,65
2,15,15.0,234,63,V,V,V,V,V,V,275,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,144,V,V,V,V,V,V,V,V,115,V,177,234,65
2,16,15.5,234,63,V,V,V,V,V,V,275,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,115,V,177,234,65
2,17,16.0,234,63,V,V,V,V,V,V,275,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,115,V,152,234,116
2,18,16.5,234,63,V,V,V,V,V,V,275,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,115,V,152,234,116
2,19,17.0,234,63,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,152,234,116
2,20,17.5,234,63,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,152,234,116
2,21,18.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,152,V,116
2,22,18.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,152,V,116
2,23,19.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,152,V,116
2,24,19.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,152,V,116
2,25,20.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
2,26,20.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
3,1,8.0,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,71,17,V,V,V,V,V,V,V,V,V,V,42,136,154
3,2,8.5,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,71,17,V,V,V,V,V,V,V,V,V,V,42,136,154
3,3,9.0,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,71,17,V,V,V,V,V,V,V,V,V,V,42,136,154
3,4,9.5,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,71,17,V,V,V,V,V,V,V,V,V,V,42,136,154
3,5,10.0,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,71,17,V,V,V,V,V,V,V,V,V,V,42,136,154
3,6,10.5,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,71,17,V,V,V,V,V,V,V,V,V,V,42,136,154
3,7,11.0,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,71,17,V,V,V,V,V,V,V,V,V,V,42,136,154
3,8,11.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,71,17,V,V,V,V,V,V,V,V,V,V,42,136,154
3,9,12.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,150,V,47
3,10,12.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,150,V,47
3,11,13.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,150,V,47
3,12,13.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,150,V,47
3,13,14.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,150,V,47
3,14,14.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,150,V,47
3,15,15.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,150,V,47
3,16,15.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,150,V,47
3,17,16.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,139,V,31
3,18,16.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,139,V,31
3,19,17.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,139,V,31
3,20,17.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,139,V,31
3,21,18.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,139,V,31
3,22,18.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,139,V,31
3,23,19.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,31
3,24,19.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,31
3,25,20.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
3,26,20.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
4,1,8.0,157,51,220,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85,V,16
4,2,8.5,157,51,220,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85,V,16
4,3,9.0,157,51,220,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85,V,16
4,4,9.5,157,51,220,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85,V,16
4,5,10.0,157,51,220,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85,V,16
4,6,10.5,157,51,220,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,85,V,16
4,7,11.0,157,51,220,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,16
4,8,11.5,157,51,220,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,16
