f1,f2
298.000000,14.825714
301.000000,14.920000
306.000000,14.974286
308.000000,14.994286
305.000000,14.960000
302.000000,14.925714
303.000000,14.928571
304.000000,14.934286
294.000000,14.628571
300.000000,14.854286
295.000000,14.677143
307.000000,14.977143
296.000000,14.754286
297.000000,14.725714
302.000000,14.737143
303.000000,14.762857
298.000000,14.734286
296.000000,14.708571
306.000000,14.765714
294.000000,14.665714
297.000000,15.002857
294.000000,14.945714
298.000000,15.011429
296.000000,14.991429
295.000000,14.960000
296.000000,15.042857
294.000000,15.017143
297.000000,15.065714
295.000000,15.028571
297.000000,12.660000
301.000000,13.117143
299.000000,12.965714
302.000000,13.240000
300.000000,13.020000
334.000000,14.771429
310.000000,14.620000
299.000000,14.434286
294.000000,14.420000
331.000000,14.754286
315.000000,14.677143
329.000000,14.745714
311.000000,14.657143
319.000000,14.725714
318.000000,14.702857
320.000000,14.728571
296.000000,15.128571
294.000000,15.025714
295.000000,15.125714
297.000000,15.137143
300.000000,13.900000
332.000000,14.142857
302.000000,13.982857
301.000000,13.945714
331.000000,14.111429
299.000000,13.837143
329.000000,14.042857
295.000000,13.731429
304.000000,13.988571
297.000000,13.740000
330.000000,14.060000
294.000000,13.614286
296.000000,14.171429
297.000000,14.294286
295.000000,14.165714
294.000000,14.062857
309.000000,15.265714
295.000000,15.208571
304.000000,15.260000
294.000000,15.194286
298.000000,15.234286
296.000000,15.228571
294.000000,15.077143
295.000000,15.091429
295.000000,14.860000
296.000000,14.880000
298.000000,15.042857
297.000000,14.928571
294.000000,14.842857
296.000000,15.117143
295.000000,15.114286
294.000000,15.062857
295.000000,14.888571
296.000000,14.891429
294.000000,14.914286
295.000000,14.922857
298.000000,14.428571
300.000000,14.482857
295.000000,14.328571
296.000000,14.368571
297.000000,14.420000
307.000000,14.814286
302.000000,14.757143
295.000000,14.614286
297.000000,14.705714
294.000000,14.417143
296.000000,14.702857
305.000000,14.802857
325.000000,14.688571
326.000000,14.694286
322.000000,14.614286
320.000000,14.551429
303.000000,14.428571
302.000000,14.417143
295.000000,14.134286
296.000000,14.142857
300.000000,14.265714
318.000000,14.540000
301.000000,14.408571
317.000000,14.445714
319.000000,14.548571
297.000000,14.168571
321.000000,14.591429
324.000000,14.631429
294.000000,14.131429
296.000000,15.054286
294.000000,15.048571
295.000000,14.365714
298.000000,14.448571
297.000000,14.417143
294.000000,14.325714
295.000000,13.751429
327.000000,14.328571
298.000000,13.988571
294.000000,13.734286
299.000000,14.040000
303.000000,14.137143
320.000000,14.288571
315.000000,14.265714
308.000000,14.237143
297.000000,13.848571
304.000000,14.200000
294.000000,14.865714
302.000000,14.914286
295.000000,14.868571
296.000000,14.908571
297.000000,14.348571
314.000000,14.565714
306.000000,14.400000
307.000000,14.482857
313.000000,14.517143
325.000000,14.594286
323.000000,14.591429
305.000000,14.394286
294.000000,14.242857
295.000000,14.328571
322.000000,14.582857
298.000000,14.354286
297.000000,14.945714
300.000000,14.994286
295.000000,14.851429
298.000000,14.960000
296.000000,14.868571
294.000000,14.805714
299.000000,15.094286
297.000000,15.085714
298.000000,15.088571
295.000000,15.068571
301.000000,15.111429
308.000000,14.797143
333.000000,14.888571
306.000000,14.648571
309.000000,14.805714
299.000000,14.562857
294.000000,14.468571
311.000000,14.817143
335.000000,14.980000
295.000000,14.491429
297.000000,14.500000
334.000000,14.934286
302.000000,15.160000
298.000000,15.114286
295.000000,15.000000
296.000000,15.054286
294.000000,14.705714
300.000000,15.137143
301.000000,15.157143
297.000000,15.068571
346.000000,14.551429
297.000000,14.277143
294.000000,14.234286
300.000000,14.462857
344.000000,14.520000
348.000000,14.580000
296.000000,14.251429
299.000000,14.371429
298.000000,14.362857
295.000000,14.548571
297.000000,14.565714
294.000000,14.505714
298.000000,14.568571
313.000000,14.982857
308.000000,14.928571
294.000000,14.780000
299.000000,14.857143
303.000000,14.891429
300.000000,14.871429
301.000000,14.880000
312.000000,14.934286
298.000000,14.785714
306.000000,14.914286
314.000000,14.985714
315.000000,14.997143
