dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,22,22,22,105,V,V,V,V,75,V,155,V,V,V,V,V,V,V,V,5,86,82,V,V,245,V,V,108,V,228,V,V,V,245,223,V,144,122,269
1,2,8.5,22,22,22,105,V,V,V,V,75,V,155,V,V,V,V,V,V,V,V,5,86,82,V,V,245,V,V,108,V,228,V,V,V,245,223,V,144,122,269
1,3,9.0,22,22,22,105,V,V,V,V,75,V,155,V,V,V,V,V,V,V,V,5,86,82,V,V,245,V,V,108,V,228,V,V,V,245,223,V,144,122,269
1,4,9.5,22,22,22,105,V,V,V,V,75,V,155,V,V,V,V,V,V,V,V,5,86,82,V,V,245,V,V,108,V,228,V,V,V,245,223,V,144,122,269
1,5,10.0,22,22,22,105,V,V,V,V,75,V,155,V,V,V,V,V,V,V,V,5,86,82,V,V,245,V,V,108,V,228,V,V,V,245,223,V,144,122,269
1,6,10.5,22,22,22,105,V,V,V,V,75,V,155,V,V,V,V,V,V,V,V,5,86,82,V,V,245,V,V,108,V,228,V,V,V,245,223,V,144,122,269
1,7,11.0,78,78,V,105,V,V,V,V,75,V,155,V,V,V,V,V,V,V,V,5,86,82,V,V,V,V,V,108,V,228,V,V,V,196,223,V,144,122,269
1,8,11.5,78,78,V,105,V,V,V,V,75,V,155,V,V,V,V,V,V,V,V,5,86,82,V,V,V,V,V,108,V,127,V,V,V,196,223,V,85,122,269
1,9,12.0,78,78,V,V,V,V,V,V,103,V,V,V,V,V,V,V,V,V,V,76,V,V,V,V,V,V,V,V,V,127,V,V,V,196,114,V,85,68,4
1,10,12.5,78,78,V,V,V,V,V,V,103,V,V,V,V,V,V,V,V,V,V,76,V,V,V,V,V,V,V,V,V,127,V,V,V,196,114,V,85,68,4
1,11,13.0,78,78,V,V,V,V,V,V,103,V,V,V,V,V,V,V,V,V,V,76,V,V,V,V,V,V,V,V,V,V,V,V,V,196,114,V,85,68,4
1,12,13.5,78,78,V,V,V,V,V,V,103,V,V,V,V,V,V,V,V,V,V,76,V,V,V,V,V,V,V,V,V,V,V,V,V,196,114,V,85,68,4
1,13,14.0,97,97,V,V,V,V,V,V,103,V,V,V,V,V,V,V,V,V,V,76,V,V,V,V,V,V,V,V,V,V,V,V,V,196,114,V,85,68,4
1,14,14.5,97,97,V,V,V,V,V,V,103,V,V,V,V,V,V,V,V,V,V,76,V,V,V,V,V,V,V,V,V,V,V,V,V,196,114,V,V,68,4
1,15,15.0,97,97,V,V,V,V,V,V,103,V,V,V,V,V,V,V,V,V,V,76,V,V,V,V,V,V,V,V,V,V,V,V,V,V,114,V,V,68,4
1,16,15.5,97,97,V,V,V,V,V,V,103,V,V,V,V,V,V,V,V,V,V,76,V,V,V,V,V,V,V,V,V,V,V,V,V,V,114,V,V,68,4
1,17,16.0,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,37,V,V,216,211
1,18,16.5,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,37,V,V,216,211
1,19,17.0,97,97,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,37,V,V,216,211
1,20,17.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,37,V,V,216,211
1,21,18.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,37,V,V,V,211
1,22,18.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,37,V,V,V,211
1,23,19.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,211
1,24,19.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,211
1,25,20.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,26,20.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
2,1,8.0,95,95,V,V,V,V,V,V,V,V,V,V,V,V,137,V,V,V,12,V,V,V,V,V,V,V,V,V,V,V,V,V,V,43,260,V,138,V,267
2,2,8.5,95,95,V,V,V,V,V,V,V,V,V,V,V,V,137,V,V,V,12,V,V,V,V,V,V,V,V,V,V,V,V,V,V,43,260,V,138,V,267
2,3,9.0,95,95,V,V,V,V,V,V,V,V,V,V,V,V,137,V,V,V,12,V,V,V,V,V,V,V,V,V,V,V,V,V,V,43,260,V,138,V,267
2,4,9.5,95,95,V,V,V,V,V,V,V,V,V,V,V,V,137,V,V,V,12,V,V,V,V,V,V,V,V,V,V,V,V,V,V,43,260,V,138,V,267
2,5,10.0,95,95,V,V,V,V,V,V,V,V,V,V,V,V,137,V,V,V,12,V,V,V,V,V,V,V,V,V,V,V,V,V,V,43,260,V,138,V,267
2,6,10.5,95,95,V,V,V,V,V,V,V,V,V,V,V,V,137,V,V,V,12,V,V,V,V,V,V,V,V,V,V,V,V,V,V,43,260,V,138,V,267
2,7,11.0,V,141,V,V,V,V,V,V,V,V,V,V,V,V,137,V,V,V,150,V,V,V,V,V,V,V,V,V,V,V,V,V,V,43,260,V,138,V,267
