generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.97,8.7000,8.5125,36,50,330
2,294.00,303.91,8.9257,8.3712,35,50,664
3,294.00,300.09,9.7714,9.3831,43,50,1647
4,294.00,303.71,10.2543,9.9877,38,50,2352
5,294.00,297.78,10.9714,10.4469,50,50,2938
6,294.00,299.84,11.1714,10.9197,50,50,3557
7,294.00,296.74,11.3086,11.0439,50,50,4201
8,294.00,297.26,11.3686,11.2005,50,50,4774
9,294.00,297.06,11.5943,11.2403,50,50,5359
10,294.00,296.92,11.8771,11.5018,50,50,5987
11,294.00,296.52,11.9029,11.5956,50,50,6620
12,294.00,296.62,11.9571,11.6562,50,50,7207
13,294.00,296.58,11.9829,11.7211,50,50,7858
14,294.00,295.56,12.0571,11.6606,50,50,8503
15,294.00,297.72,12.1143,11.8919,50,50,9144
16,294.00,297.56,12.2686,11.9226,50,50,9743
17,294.00,298.56,12.3029,12.0372,50,50,10312
18,294.00,297.06,12.4086,12.1070,50,50,10849
19,294.00,297.38,12.4686,12.2576,50,50,11367
20,294.00,297.98,12.5914,12.3823,50,50,11881
21,294.00,296.96,12.6743,12.3939,50,50,12414
22,294.00,299.06,12.6943,12.4981,50,50,12953
23,294.00,298.52,12.7257,12.4797,50,50,13480
24,294.00,297.64,12.7514,12.4207,50,50,13989
25,294.00,298.22,12.7314,12.4993,50,50,14504
26,294.00,299.66,12.8514,12.6038,50,50,15032
27,294.00,299.52,12.9029,12.6687,50,50,15604
28,294.00,297.76,12.9800,12.7054,50,50,16319
29,294.00,297.56,13.0143,12.8286,50,50,16998
30,294.00,297.68,13.0200,12.8801,50,50,17736
31,294.00,298.86,13.0657,12.9625,50,50,18600
32,294.00,297.26,13.1343,12.9791,50,50,19315
33,294.00,297.12,13.1686,13.0021,50,50,20100
34,294.00,298.36,13.2143,13.0797,50,50,20806
35,294.00,299.56,13.2600,13.1606,50,50,21798
36,294.00,300.04,13.3086,13.1781,50,50,22597
37,294.00,301.02,13.4143,13.2206,50,50,23473
38,294.00,299.68,13.4257,13.2657,50,50,24589
39,294.00,301.42,13.4286,13.2523,50,50,25437
40,294.00,301.44,13.4171,13.2828,50,50,26164
41,294.00,301.78,13.4229,13.2847,50,50,26907
42,294.00,299.90,13.4343,13.2573,50,50,27724
43,294.00,299.66,13.4457,13.3058,50,50,28511
44,294.00,299.80,13.4657,13.3501,50,50,29315
45,294.00,302.68,13.4714,13.3772,50,50,30087
46,294.00,303.56,13.4629,13.3809,50,50,30766
47,294.00,300.16,13.5057,13.3723,50,50,31460
48,294.00,298.98,13.5029,13.3718,50,50,32143
49,294.00,300.88,13.5914,13.4331,50,50,32810
50,294.00,301.24,13.5086,13.4389,50,50,33466
51,294.00,296.90,13.5657,13.4942,50,50,34091
