dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
23,0,"ELECTRONICA FUNDAMENTAL",8.0,11.5,727,20
18,1,"PROGRAMACION 2",8.0,11.0,312,94
18,2,"ADMINISTRACION DE INFRAESTRUCTURAS",8.0,12.0,C01,194
15,3,"ADMINISTRACION DE OPERACIONES",12.0,14.5,116,6
16,4,"AGRIMENSURA LEGAL 1",12.0,16.0,116,6
17,5,"AGRIMENSURA LEGAL 2",12.0,16.0,116,6
14,6,"AGRIMENSURA LEGAL 3",13.0,17.0,116,6
15,7,"AGRIMENSURA LEGAL 4",14.5,18.5,116,6
23,8,"ALISTAMIENTO NAVAL",8.0,12.0,B01,223
2,9,"ANALISIS DE ALIMENTOS",8.0,12.0,307,180
18,10,"ANTENAS Y PROPAGACION",11.0,15.0,116,6
16,11,"APLICACIONES DEL ALGEBRA LINEAL",16.0,19.0,116,6
23,12,"ARQUITECTURA DE COMPUTADORAS",8.0,11.0,601,60
24,13,"ASPECTOS BASICOS DE REDES DE COMPUT",8.0,11.0,116,6
11,14,"ASTRONOMIA GEODESICA",8.0,12.0,B01,223
12,15,"AUTOMATAS PROGRAMABLES",8.0,12.0,C01,194
16,16,"AVALUACIONES 1",8.0,12.0,C01,194
21,17,"AVALUACIONES 2",8.0,12.0,C01,194
11,18,"AVALUACIONES 3",8.0,12.0,116,6
4,19,"BASES DE DATOS I",8.0,12.0,307,180
24,20,"BASES DE DATOS II",8.0,12.0,C01,194
2,21,"BASES DE DATOS PARA INGENIERIA",8.0,11.0,310,16
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
5,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,B01,223
5,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,C01,194
14,24,"CALCULO VECTORIAL",8.0,11.0,312,94
7,25,"CALIDAD DE AGUAS",8.0,12.0,307,180
3,26,"CAMINOS Y CALLES 1",12.0,16.0,310,16
14,27,"CAPTURA DE DATOS POR PERCEPCION REMOTA",8.0,12.0,C01,194
17,28,"CARTOGRAFIA MATEMATICA",16.0,20.0,116,6
19,29,"CARTOGRAFÍA TEMÁTICA",8.0,12.0,C01,194
25,30,"CARTOGRAFÍA TEMÁTICA (ÁREA)",8.0,12.0,C01,194
3,31,"CATASTRO",8.0,12.0,307,180
15,32,"COMERCIALIZACION",8.0,12.0,C01,194
17,33,"COMPL.ARQUITECTURA DE COMPUTADORAS",8.0,12.0,C01,194
