dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
1,0,"ELECTRONICA FUNDAMENTAL",11.0,14.5,312,94
3,1,"PROGRAMACION 2",8.0,11.0,116,6
3,1,"PROGRAMACION 2",8.0,11.0,C21,25
3,1,"PROGRAMACION 2",8.0,11.0,601,60
9,2,"ADMINISTRACION DE INFRAESTRUCTURAS",12.0,16.0,B01,223
9,2,"ADMINISTRACION DE INFRAESTRUCTURAS",12.0,16.0,C01,194
8,3,"ADMINISTRACION DE OPERACIONES",8.0,10.5,C01,194
19,4,"AGRIMENSURA LEGAL 1",8.0,12.0,116,6
19,4,"AGRIMENSURA LEGAL 1",8.0,12.0,310,16
1,5,"AGRIMENSURA LEGAL 2",8.0,12.0,703,20
10,6,"AGRIMENSURA LEGAL 3",8.0,12.0,C01,194
4,7,"AGRIMENSURA LEGAL 4",15.0,19.0,116,6
4,7,"AGRIMENSURA LEGAL 4",15.0,19.0,309,16
4,7,"AGRIMENSURA LEGAL 4",15.0,19.0,502,20
23,8,"ALISTAMIENTO NAVAL",8.0,12.0,116,6
23,8,"ALISTAMIENTO NAVAL",8.0,12.0,31,35
19,9,"ANALISIS DE ALIMENTOS",8.0,12.0,307,180
17,10,"ANTENAS Y PROPAGACION",12.0,16.0,116,6
24,11,"APLICACIONES DEL ALGEBRA LINEAL",8.0,11.0,307,180
11,12,"ARQUITECTURA DE COMPUTADORAS",13.5,16.5,601,60
11,12,"ARQUITECTURA DE COMPUTADORAS",13.5,16.5,703,20
6,13,"ASPECTOS BASICOS DE REDES DE COMPUT",12.0,15.0,116,6
6,13,"ASPECTOS BASICOS DE REDES DE COMPUT",12.0,15.0,309,16
6,13,"ASPECTOS BASICOS DE REDES DE COMPUT",12.0,15.0,C21,25
4,14,"ASTRONOMIA GEODESICA",8.0,12.0,C01,194
12,15,"AUTOMATAS PROGRAMABLES",15.5,19.5,116,6
12,15,"AUTOMATAS PROGRAMABLES",15.5,19.5,309,16
14,16,"AVALUACIONES 1",8.0,12.0,C01,194
11,17,"AVALUACIONES 2",12.0,16.0,310,16
8,18,"AVALUACIONES 3",8.0,12.0,B22,32
8,18,"AVALUACIONES 3",8.0,12.0,102,25
8,18,"AVALUACIONES 3",8.0,12.0,116,6
18,19,"BASES DE DATOS I",8.0,12.0,116,6
18,19,"BASES DE DATOS I",8.0,12.0,727,20
18,19,"BASES DE DATOS I",8.0,12.0,C21,25
21,20,"BASES DE DATOS II",8.0,12.0,Actos,128
23,21,"BASES DE DATOS PARA INGENIERIA",11.5,14.5,310,16
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,A12,119
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C12,131
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,312,94
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
7,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,307,180
7,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,31,35
7,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,B01,223
5,24,"CALCULO VECTORIAL",8.0,11.0,312,94
9,25,"CALIDAD DE AGUAS",12.0,16.0,722,10
9,25,"CALIDAD DE AGUAS",12.0,16.0,725,20
16,26,"CAMINOS Y CALLES 1",16.0,20.0,310,16
24,27,"CAPTURA DE DATOS POR PERCEPCION REMOTA",8.0,12.0,501,62
13,28,"CARTOGRAFIA MATEMATICA",8.0,12.0,B01,223
25,29,"CARTOGRAFÍA TEMÁTICA",8.0,12.0,A01,145
3,30,"CARTOGRAFÍA TEMÁTICA (ÁREA)",8.0,12.0,C11,25
3,30,"CARTOGRAFÍA TEMÁTICA (ÁREA)",8.0,12.0,310,16
13,31,"CATASTRO",12.0,16.0,705,20
5,32,"COMERCIALIZACION",12.0,16.0,116,6
5,32,"COMERCIALIZACION",12.0,16.0,B11,50
5,32,"COMERCIALIZACION",12.0,16.0,C11,25
5,32,"COMERCIALIZACION",12.0,16.0,722,10
17,33,"COMPL.ARQUITECTURA DE COMPUTADORAS",8.0,12.0,A01,145
17,34,"COMPORTAMIENTO MECANICO DE MATERIALES 1",12.0,15.0,310,16
7,35,"COMPORTAMIENTO MECANICO DE MATERIALES 2",12.0,15.5,B23,101
7,35,"COMPORTAMIENTO MECANICO DE MATERIALES 2",12.0,15.5,B01,223
7,35,"COMPORTAMIENTO MECANICO DE MATERIALES 2",12.0,15.5,B11,50
10,36,"COMPORTAMIENTO MEC. DE MATERIALES",17.5,21.0,116,6
11,37,"COMPUTACION 1",12.0,15.0,727,20
16,38,"COMUNICACIONES DIGITALES",8.0,12.0,312,94
21,39,"COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)",8.0,11.0,310,16
19,40,"CONTABILIDAD (ACT.COMPL.4)",8.0,12.0,C01,194
23,41,"CONTROL DE CALIDAD",11.5,15.5,727,20
23,41,"CONTROL DE CALIDAD",11.5,15.5,309,16
5,42,"COSTOS",8.0,12.0,116,6
5,42,"COSTOS",8.0,12.0,303,76
5,42,"COSTOS",8.0,12.0,725,20
22,43,"COSTOS PARA INGENIERIA",8.0,12.0,722,10
24,44,"DINAMICA DE MAQUINAS Y VIBRACION",16.0,20.0,116,6
24,44,"DINAMICA DE MAQUINAS Y VIBRACION",16.0,20.0,725,20
10,45,"DISEÑO ASISTIDO POR COMPUTADOR",12.0,16.0,A11,25
18,46,"DISEÑO CATASTRAL",12.0,16.0,116,6
18,46,"DISEÑO CATASTRAL",12.0,16.0,310,16
22,47,"DISEÑO DE PROCESOS QUIMICOS",12.0,16.0,C21,25
21,48,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",12.0,16.0,116,6
21,48,"DISEÑO DE REDES DE COND.EN ING.SANITARIA",12.0,16.0,B21,39
6,49,"DISEÑO HIDROLOGICO",15.0,19.0,116,6
5,50,"DISEÑO LOGICO",10.0,14.0,309,16
5,50,"DISEÑO LOGICO",10.0,14.0,B01,223
20,51,"DISEÑO Y MONTAJE DE LAS INDUSTRIAS DE PROCESOS",8.0,12.0,310,16
2,52,"ECONOMIA",11.5,15.5,B01,223
2,52,"ECONOMIA",11.5,15.5,307,180
2,52,"ECONOMIA",11.5,15.5,311,29
2,53,"ECONOMÍA (AREA)",12.0,16.0,116,6
2,53,"ECONOMÍA (AREA)",12.0,16.0,A11,25
20,54,"EJERCICIOS DE INGENIERIA SANITARIA",8.0,12.0,C01,194
13,55,"ELASTICIDAD",16.0,20.0,116,6
1,56,"ELECTROMAGNETISMO",8.0,12.0,725,20
5,57,"ELECTRONICA AVANZADA 1",15.0,18.0,310,16
25,58,"ELECTRONICA AVANZADA 2",8.0,11.0,Actos,128
24,59,"ELECTRONICA DE POTENCIA",12.0,16.0,722,10
24,59,"ELECTRONICA DE POTENCIA",12.0,16.0,725,20
7,60,"ELECTROTECNICA",16.0,19.0,310,16
3,61,"ELECTROTECNICA I",8.0,10.5,502,20
3,61,"ELECTROTECNICA I",8.0,10.5,B01,223
3,61,"ELECTROTECNICA I",8.0,10.5,703,20
18,62,"ELECTROTECNICA II",16.0,19.0,310,16
16,63,"ELEMENTOS DE GESTION LOGISTICA",8.0,12.0,307,180
3,64,"ELEMENTOS DE INGENIERIA AMBIENTAL",10.5,14.5,B22,32
3,64,"ELEMENTOS DE INGENIERIA AMBIENTAL",10.5,14.5,502,20
14,65,"ELEMENTOS DE MAQUINAS",8.0,12.0,727,20
1,66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",12.0,15.0,301,76
10,67,"ELEMENTOS DE NAVEGACION",8.0,12.0,A01,145
9,68,"ELEMENTOS DE TOPOGRAFIA",16.0,20.0,116,6
14,69,"ENERGIA 1- COMBUSTION",8.0,11.0,305,35
21,70,"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",8.0,12.0,116,6
21,70,"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",8.0,12.0,727,20
20,71,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",11.0,15.0,B01,223
20,71,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",11.0,15.0,A12,119
20,71,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",11.0,15.0,309,16
1,72,"ESTRUCTURAS DE ACERO",19.0,21.0,116,6
25,73,"ESTRUCTURAS DE BUQUES",8.0,12.0,C12,131
9,74,"ESTRUCTURAS DE DATOS Y ALGORITMOS",12.0,16.0,C21,25
