generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.21,8.9543,8.5835,42,50,339
2,294.00,305.42,9.2057,8.5151,43,50,617
3,294.00,310.42,10.0971,9.6316,50,50,1585
4,294.00,306.32,10.6057,10.1554,50,50,2098
5,294.00,302.54,10.8857,10.3604,50,50,2533
6,294.00,301.48,10.9800,10.5407,50,50,3073
7,294.00,300.80,11.2457,10.8328,50,50,3592
8,294.00,301.28,11.4714,11.1010,50,50,4113
9,294.00,299.92,11.5714,11.2882,50,50,4676
10,294.00,299.50,11.7029,11.3830,50,50,5221
11,294.00,299.44,11.7657,11.5139,50,50,5793
12,294.00,299.54,11.8943,11.6900,50,50,6358
13,294.00,300.92,12.1343,11.8971,50,50,6929
14,294.00,301.72,12.1971,11.9904,50,50,7504
15,294.00,297.42,12.3686,12.0293,50,50,8114
16,294.00,299.00,12.3914,12.1791,50,50,8737
17,294.00,301.62,12.5200,12.3507,50,50,9313
18,294.00,299.02,12.5971,12.3693,50,50,9867
19,294.00,298.24,12.6629,12.4327,50,50,10441
20,294.00,298.20,12.7371,12.5339,50,50,11154
21,294.00,298.28,12.7686,12.6273,50,50,11760
22,294.00,297.22,12.9057,12.7146,50,50,12360
23,294.00,297.62,12.9086,12.7530,50,50,12949
24,294.00,297.64,12.9629,12.8254,50,50,13528
25,294.00,296.64,13.0171,12.8611,50,50,14116
26,294.00,297.24,13.0229,12.8993,50,50,14689
27,295.00,299.10,13.0857,12.9509,50,50,15255
28,295.00,300.92,13.0914,13.0076,50,50,15836
29,295.00,297.68,13.1000,12.9208,50,50,16439
30,294.00,299.74,13.1571,12.9827,50,50,17045
31,294.00,302.34,13.1486,13.0354,50,50,17646
32,294.00,301.40,13.1657,13.0103,50,50,18239
33,294.00,301.72,13.1714,13.0421,50,50,18828
34,294.00,304.56,13.2114,13.0928,50,50,19435
35,294.00,305.44,13.2114,13.1175,50,50,20025
36,294.00,302.90,13.2229,13.0682,50,50,20624
37,294.00,300.66,13.2429,13.0404,50,50,21258
38,294.00,299.22,13.2600,13.0520,50,50,21859
39,294.00,300.50,13.3029,13.0612,50,50,22470
40,294.00,300.52,13.3143,13.0891,50,50,23047
41,294.00,297.80,13.2943,13.0305,50,50,23626
42,294.00,302.00,13.2857,13.1121,50,50,24206
43,294.00,300.48,13.3429,13.0661,50,50,24778
44,294.00,300.90,13.4114,13.0433,50,50,25354
45,294.00,301.84,13.4314,13.1080,50,50,25927
46,294.00,300.80,13.4343,13.0547,50,50,26517
47,294.00,303.14,13.5000,13.1426,50,50,27106
48,294.00,302.74,13.4571,13.0890,50,50,27690
49,294.00,302.98,13.4571,13.1252,50,50,28276
50,294.00,303.06,13.4429,13.1517,50,50,28867
51,294.00,304.24,13.4457,13.1761,50,50,29462
