generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,303.00,9.1057,8.5428,294.000000,303.000000,-9.105714,-8.542824,87,100,623
2,294.00,304.09,9.0457,8.4666,294.000000,304.087500,-9.045714,-8.466607,80,100,1070
3,294.00,300.75,9.1057,8.6179,294.000000,300.752688,-9.105714,-8.617911,93,100,1437
4,294.00,303.43,9.1057,8.6904,294.000000,303.433735,-9.105714,-8.690430,83,100,2083
5,294.00,304.55,9.1429,8.8201,294.000000,304.545455,-9.142857,-8.820130,66,100,2486
6,294.00,306.84,9.3000,8.9448,294.000000,306.838710,-9.300000,-8.944793,62,100,2738
7,294.00,305.14,9.3686,8.9874,294.000000,305.140625,-9.368571,-8.987366,64,100,2970
8,294.00,304.60,9.3686,9.0752,294.000000,304.604167,-9.368571,-9.075179,48,100,3110
9,294.00,303.00,9.3686,9.1198,294.000000,303.000000,-9.368571,-9.119814,46,100,3222
10,294.00,300.71,9.5171,9.1291,294.000000,300.709091,-9.517143,-9.129143,55,100,3369
11,294.00,300.06,9.5886,9.2207,294.000000,300.064516,-9.588571,-9.220737,62,100,3525
12,294.00,301.02,9.5886,9.3427,294.000000,301.018868,-9.588571,-9.342695,53,100,3683
13,294.00,301.72,10.0914,9.4533,294.000000,301.722222,-10.091429,-9.453280,54,100,3792
14,294.00,301.22,10.0914,9.5127,294.000000,301.224490,-10.091429,-9.512711,49,100,3882
15,294.00,300.72,10.1143,9.6063,294.000000,300.722222,-10.114286,-9.606296,54,100,3988
16,294.00,300.78,10.1143,9.6946,294.000000,300.781818,-10.114286,-9.694649,55,100,4132
17,294.00,299.16,10.2571,9.7751,294.000000,299.156863,-10.257143,-9.775126,51,100,4368
18,294.00,300.50,10.2571,9.9302,294.000000,300.500000,-10.257143,-9.930159,54,100,4466
19,294.00,301.11,10.4314,10.0101,294.000000,301.107692,-10.431429,-10.010110,65,100,4588
20,294.00,300.35,10.4314,10.0203,294.000000,300.349206,-10.431429,-10.020317,63,100,4690
21,294.00,300.57,10.4543,10.0517,294.000000,300.571429,-10.454286,-10.051701,63,100,4805
22,294.00,299.14,10.4543,10.0704,294.000000,299.142857,-10.454286,-10.070431,63,100,4933
23,294.00,299.39,10.5257,10.1299,294.000000,299.387097,-10.525714,-10.129908,62,100,5036
24,294.00,301.32,10.6714,10.2220,294.000000,301.316667,-10.671429,-10.222000,60,100,5137
25,294.00,302.09,10.6714,10.2493,294.000000,302.089552,-10.671429,-10.249296,67,100,5458
26,294.00,303.04,10.7486,10.2925,294.000000,303.037037,-10.748571,-10.292451,81,100,5683
27,294.00,304.35,10.7514,10.3645,294.000000,304.353659,-10.751429,-10.364530,82,100,6231
28,294.00,304.59,10.8086,10.4075,294.000000,304.592593,-10.808571,-10.407549,81,100,6525
29,294.00,303.29,10.9857,10.4221,294.000000,303.294118,-10.985714,-10.422084,85,100,6893
30,294.00,303.85,11.0857,10.4589,294.000000,303.853933,-11.085714,-10.458876,89,100,7245
31,294.00,304.68,11.0857,10.5278,294.000000,304.678161,-11.085714,-10.527750,87,100,7525
32,294.00,303.90,11.1486,10.5591,294.000000,303.896552,-11.148571,-10.559113,87,100,8261
33,294.00,303.97,11.1486,10.5993,294.000000,303.965517,-11.148571,-10.599310,87,100,8530
34,294.00,304.11,11.2971,10.6443,294.000000,304.113636,-11.297143,-10.644318,88,100,8806
35,294.00,303.97,11.2971,10.6419,294.000000,303.966292,-11.297143,-10.641926,89,100,9110
36,294.00,304.45,11.3029,10.6830,294.000000,304.448276,-11.302857,-10.683021,87,100,9353
37,294.00,304.39,11.2057,10.7014,294.000000,304.390805,-11.205714,-10.701412,87,100,9472
38,294.00,304.77,11.3771,10.7524,294.000000,304.765306,-11.377143,-10.752420,98,100,9839
39,294.00,306.40,11.3771,10.8390,294.000000,306.404040,-11.377143,-10.838990,99,100,10120
40,294.00,306.54,11.3771,10.8888,294.000000,306.540816,-11.377143,-10.888776,98,100,10252
41,294.00,306.41,11.3771,10.9201,294.000000,306.410000,-11.377143,-10.920114,100,100,10439
42,294.00,306.73,11.3771,10.9484,294.000000,306.730000,-11.377143,-10.948429,100,100,10566
43,294.00,307.36,11.3657,10.9973,294.000000,307.360000,-11.365714,-10.997314,100,100,10714
44,294.00,307.36,11.4943,11.0423,294.000000,307.360000,-11.494286,-11.042257,100,100,10859
45,294.00,308.89,11.5314,11.1170,294.000000,308.890000,-11.531429,-11.116971,100,100,10971
46,294.00,307.31,11.5314,11.1228,294.000000,307.310000,-11.531429,-11.122800,100,100,11137
47,294.00,306.58,11.5686,11.1368,294.000000,306.580000,-11.568571,-11.136800,100,100,11302
48,294.00,306.67,11.6086,11.1791,294.000000,306.670000,-11.608571,-11.179114,100,100,11623
49,294.00,306.99,11.6086,11.1970,294.000000,306.990000,-11.608571,-11.197029,100,100,11854
50,294.00,304.08,11.6086,11.1616,294.000000,304.080000,-11.608571,-11.161629,100,100,12014
51,294.00,306.35,11.6086,11.2269,294.000000,306.350000,-11.608571,-11.226914,100,100,12132
52,294.00,305.35,11.5829,11.2127,294.000000,305.350000,-11.582857,-11.212743,100,100,12301
53,294.00,308.30,11.5857,11.3040,294.000000,308.300000,-11.585714,-11.304000,100,100,12428
54,294.00,306.49,11.7029,11.2890,294.000000,306.490000,-11.702857,-11.289000,100,100,12569
55,294.00,306.10,11.7029,11.3100,294.000000,306.100000,-11.702857,-11.310000,100,100,12699
56,294.00,305.80,11.7371,11.3402,294.000000,305.800000,-11.737143,-11.340200,100,100,12821
57,294.00,305.61,11.7371,11.3559,294.000000,305.610000,-11.737143,-11.355943,100,100,13021
58,294.00,305.36,11.8029,11.3817,294.000000,305.360000,-11.802857,-11.381714,100,100,13252
59,294.00,306.13,11.8429,11.4644,294.000000,306.130000,-11.842857,-11.464371,100,100,13389
60,294.00,305.52,11.8543,11.4759,294.000000,305.520000,-11.854286,-11.475943,100,100,13590
61,294.00,304.58,11.8686,11.4895,294.000000,304.580000,-11.868571,-11.489457,100,100,13729
62,294.00,302.69,11.9629,11.4795,294.000000,302.690000,-11.962857,-11.479457,100,100,13887
63,294.00,304.16,12.0029,11.5697,294.000000,304.160000,-12.002857,-11.569657,100,100,14172
64,294.00,302.36,12.1314,11.5667,294.000000,302.360000,-12.131429,-11.566714,100,100,14333
65,294.00,301.25,12.1314,11.5768,294.000000,301.250000,-12.131429,-11.576829,100,100,14455
66,294.00,300.65,12.1914,11.5958,294.000000,300.650000,-12.191429,-11.595829,100,100,14591
67,294.00,300.93,12.2229,11.6706,294.000000,300.930000,-12.222857,-11.670629,100,100,14746
68,294.00,302.87,12.2371,11.7760,294.000000,302.870000,-12.237143,-11.776000,100,100,14886
69,294.00,304.56,12.3171,11.8863,294.000000,304.560000,-12.317143,-11.886286,100,100,15036
70,294.00,303.78,12.3171,11.8718,294.000000,303.780000,-12.317143,-11.871800,100,100,15162
