generacion,mejor_asignaciones,promedio_asignaciones,desv_std_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,desv_std_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,desv_std_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.22,11.115208,9.1086,8.5469,294.000000,302.216216,11.115208,-9.108571,-8.546950,0.137627,74,100,1256
2,294.00,301.36,10.473917,9.2686,8.4856,294.000000,301.361111,10.473917,-9.268571,-8.485635,0.265514,72,100,2119
3,294.00,299.26,10.020602,9.2686,8.6283,294.000000,299.255556,10.020602,-9.268571,-8.628349,0.149959,90,100,2670
4,294.00,303.22,11.750240,9.2686,8.7523,294.000000,303.220779,11.750240,-9.268571,-8.752282,0.194374,77,100,3375
5,294.00,300.56,9.639142,9.4314,8.9109,294.000000,300.560000,9.639142,-9.431429,-8.910857,0.184658,75,100,4054
6,294.00,297.11,5.982623,9.3914,9.0626,294.000000,297.106061,5.982623,-9.391429,-9.062641,0.148518,66,100,4395
7,294.00,296.57,4.564299,9.3571,9.1508,294.000000,296.573529,4.564299,-9.357143,-9.150798,0.126692,68,100,4704
8,294.00,296.58,4.742297,9.3571,9.1909,294.000000,296.578947,4.742297,-9.357143,-9.190877,0.105404,57,100,4919
9,294.00,298.15,5.389231,9.7457,9.2813,294.000000,298.147541,5.389231,-9.745714,-9.281311,0.121649,61,100,5064
10,294.00,300.00,8.022695,9.8657,9.3327,294.000000,300.000000,8.022695,-9.865714,-9.332690,0.152588,77,100,5197
11,294.00,299.86,9.474467,9.8657,9.4349,294.000000,299.864865,9.474467,-9.865714,-9.434942,0.189653,74,100,5338
12,294.00,300.31,10.126131,9.9514,9.5402,294.000000,300.310811,10.126131,-9.951429,-9.540193,0.209238,74,100,5497
13,294.00,298.35,6.484823,9.9514,9.6633,294.000000,298.347826,6.484823,-9.951429,-9.663313,0.168248,69,100,5578
