dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,95,"GEOMETRIA Y ALGEBRA LINEAL 1",11.0,14.0,B01,223
1,172,"MATEMATICA DISCRETA 1",14.0,17.0,B01,223
1,78,"FISICA 1",17.0,20.0,B01,223
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,95,"GEOMETRIA Y ALGEBRA LINEAL 1",11.0,14.0,C01,194
1,172,"MATEMATICA DISCRETA 1",14.0,17.0,C01,194
1,78,"FISICA 1",17.0,20.0,C01,194
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
1,188,"METODOS NUMERICOS",11.0,14.0,307,180
1,176,"MATEMATICA INICIAL",8.0,12.0,A12,119
1,80,"FISICA 3",8.0,11.0,C22,102
1,202,"PROBABILIDAD Y ESTADISTICA",8.0,11.0,312,94
1,173,"MATEMATICA DISCRETA 2",11.0,14.0,312,94
1,24,"CALCULO VECTORIAL",14.0,17.0,312,94
1,181,"MECANICA NEWTONIANA",17.0,21.0,312,94
1,215,"REDES DE COMPUTADORAS",8.0,11.0,301,76
1,79,"FISICA 2",8.0,11.0,Piso,70
1,201,"PRINCIPIOS DE QUIMICA GENERAL",8.0,12.0,601,60
1,208,"PROGRAMACION 4",12.0,15.0,601,60
1,12,"ARQUITECTURA DE COMPUTADORAS",15.0,18.0,601,60
1,142,"INT. A LA INVESTIGACION DE OPERACIONES",8.0,12.0,B11,50
1,66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",12.0,15.0,B11,50
1,82,"FLUIDODINAMICA",8.0,12.0,B21,39
1,158,"LEGISLACION Y RELACIONES INDUSTRIALES",12.0,14.0,B21,39
1,61,"ELECTROTECNICA I",8.0,10.5,31,35
1,69,"ENERGIA 1- COMBUSTION",10.5,13.5,31,35
1,262,"TRANSFERENCIA DE CALOR Y MASA 1",8.0,12.0,B22,32
1,245,"TEORIA DE CIRCUITOS",12.0,15.0,B22,32
1,261,"TRANSFERENCIA DE CALOR 2",15.0,19.0,B22,32
1,77,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",8.0,12.0,311,29
1,81,"FISICA TERMICA",12.0,15.5,311,29
1,250,"TEORIA DE LENGUAJES",15.5,19.5,311,29
1,127,"INT. A LA CIENCIA DE MATERIALES",8.0,9.5,102,25
1,228,"SEÑALES Y SISTEMAS",9.5,13.0,102,25
1,285,"TOPOGRAFIA ALTIMETRICA",13.0,16.0,102,25
1,263,"TRANSFERENCIA DE CALOR Y MASA 2",16.0,20.0,102,25
1,37,"COMPUTACION 1",8.0,11.0,502,20
1,278,"TOPOGRAFIA PLANIMETRICA",11.0,14.0,502,20
1,107,"HIDROLOGIA E HIDRAULICA APLICADAS",14.0,18.0,502,20
1,115,"INGENIERIA DE LAS REACCIONES QUIMICAS 2",18.0,20.0,502,20
1,42,"COSTOS",8.0,12.0,309,16
1,56,"ELECTROMAGNETISMO",12.0,16.0,309,16
1,144,"INT. A LA MECANICA DE SUELOS",16.0,19.5,309,16
1,143,"INT. A LA MECANICA DE LOS FLUIDOS",8.0,12.0,722,10
1,146,"INT. A LA OPTICA",12.0,15.5,722,10
1,203,"PROCEDIMIENTOS CONST. OBRAS VIALES Y SUELO",15.5,17.0,722,10
1,219,"REFRIGERACION",17.0,21.0,722,10
1,68,"ELEMENTOS DE TOPOGRAFIA",8.0,12.0,116,6
1,72,"ESTRUCTURAS DE ACERO",12.0,14.0,116,6
1,88,"GENERADORES DE VAPOR",14.0,18.0,116,6
1,171,"MATEMATICA 3",18.0,21.0,116,6
2,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,B01,223
2,97,"GEOMETRIA Y ALGEBRA LINEAL 2",12.0,15.5,B01,223
2,52,"ECONOMIA",15.5,19.5,B01,223
2,23,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",8.0,12.0,C01,194
