dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,22,22,22,V,V,V,V,V,176,80,V,V,202,V,215,V,79,V,201,142,V,82,V,61,262,77,V,V,V,127,V,V,V,V,37,V,42,143,68
1,2,8.5,22,22,22,V,V,V,V,V,176,80,V,V,202,V,215,V,79,V,201,142,V,82,V,61,262,77,V,V,V,127,V,V,V,V,37,V,42,143,68
1,3,9.0,22,22,22,V,V,V,V,V,176,80,V,V,202,V,215,V,79,V,201,142,V,82,V,61,262,77,V,V,V,228,V,V,V,V,37,V,42,143,68
1,4,9.5,95,95,188,V,V,V,V,V,176,V,V,V,173,V,V,V,V,V,201,142,V,82,V,69,262,77,V,V,V,228,V,V,V,V,278,V,42,143,68
1,5,10.0,95,95,188,V,V,V,V,V,V,V,V,V,173,V,V,V,V,V,208,66,V,158,V,69,245,81,V,V,V,228,V,V,V,V,278,V,56,146,72
1,6,10.5,95,95,188,V,V,V,V,V,V,V,V,V,173,V,V,V,V,V,208,66,V,158,V,69,245,81,V,V,V,228,V,V,V,V,278,V,56,146,72
1,7,11.0,172,172,V,V,V,V,V,V,V,V,V,V,24,V,V,V,V,V,208,66,V,V,V,V,245,81,V,V,V,285,V,V,V,V,107,V,56,146,88
1,8,11.5,172,172,V,V,V,V,V,V,V,V,V,V,24,V,V,V,V,V,12,V,V,V,V,V,261,81,V,V,V,285,V,V,V,V,107,V,56,146,88
1,9,12.0,172,172,V,V,V,V,V,V,V,V,V,V,24,V,V,V,V,V,12,V,V,V,V,V,261,250,V,V,V,285,V,V,V,V,107,V,144,203,88
1,10,12.5,78,78,V,V,V,V,V,V,V,V,V,V,181,V,V,V,V,V,12,V,V,V,V,V,261,250,V,V,V,263,V,V,V,V,107,V,144,203,88
1,11,13.0,78,78,V,V,V,V,V,V,V,V,V,V,181,V,V,V,V,V,V,V,V,V,V,V,261,250,V,V,V,263,V,V,V,V,41,V,144,219,111
1,12,13.5,78,78,V,V,V,V,V,V,V,V,V,V,181,V,V,V,V,V,V,V,V,V,V,V,V,250,V,V,V,263,V,V,V,V,41,V,144,219,111
1,13,14.0,23,23,V,V,V,V,V,V,V,V,V,V,181,V,V,V,V,V,V,V,V,V,V,V,V,118,V,V,V,263,V,V,V,V,41,V,182,219,111
1,14,14.5,23,23,V,V,V,V,V,V,V,V,V,V,159,V,V,V,V,V,V,V,V,V,V,V,V,118,V,V,V,165,V,V,V,V,41,V,182,219,111
1,15,15.0,23,23,V,V,V,V,V,V,V,V,V,V,159,V,V,V,V,V,V,V,V,V,V,V,V,118,V,V,V,165,V,V,V,V,115,V,182,43,111
1,16,15.5,23,23,V,V,V,V,V,V,V,V,V,V,159,V,V,V,V,V,V,V,V,V,V,V,V,118,V,V,V,165,V,V,V,V,115,V,182,43,111
1,17,16.0,97,97,V,V,V,V,V,V,V,V,V,V,159,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,223,V,234,43,113
1,18,16.5,97,97,V,V,V,V,V,V,V,V,V,V,207,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,223,V,234,43,113
1,19,17.0,97,97,V,V,V,V,V,V,V,V,V,V,207,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,223,V,234,98,113
1,20,17.5,97,97,V,V,V,V,V,V,V,V,V,V,207,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,223,V,234,98,113
1,21,18.0,52,52,V,V,V,V,V,V,V,V,V,V,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,0,V,60,98,135
1,22,18.5,52,52,V,V,V,V,V,V,V,V,V,V,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,0,V,60,98,135
1,23,19.0,52,52,V,V,V,V,V,V,V,V,V,V,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,0,V,60,110,135
1,24,19.5,52,52,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,0,V,178,110,135
1,25,20.0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,178,216,151
1,26,20.5,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,178,216,151
2,1,8.0,205,206,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,50,V,94,122,171
2,2,8.5,205,206,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,50,V,94,122,171
2,3,9.0,205,206,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,50,V,94,122,171
2,4,9.5,205,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,50,V,94,122,179
2,5,10.0,212,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,102,V,137,59,179
2,6,10.5,212,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,102,V,137,59,179
2,7,11.0,212,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,102,V,137,59,179
2,8,11.5,212,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,102,V,137,59,195
2,9,12.0,220,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,114,V,138,96,195
2,10,12.5,220,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,114,V,138,96,195
2,11,13.0,220,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,114,V,138,96,195
2,12,13.5,220,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,114,V,138,131,18
2,13,14.0,221,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,260,V,233,131,18
2,14,14.5,221,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,260,V,233,131,18
2,15,15.0,221,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,260,V,233,169,18
2,16,15.5,221,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,260,V,233,169,36
2,17,16.0,222,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,253,169,36
2,18,16.5,222,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,253,204,36
2,19,17.0,222,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,253,204,36
2,20,17.5,222,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,253,225,75
2,21,18.0,226,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,62,225,75
2,22,18.5,226,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,62,225,75
2,23,19.0,226,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,62,225,75
2,24,19.5,226,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,139,126,87
