dia,materia_id,materia_nombre,hora_inicio,hora_fin,salon,capacidad
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,B01,223
1,95,"GEOMETRIA Y ALGEBRA LINEAL 1",11.0,14.0,B01,223
1,172,"MATEMATICA DISCRETA 1",14.0,17.0,B01,223
1,78,"FISICA 1",17.0,20.0,B01,223
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,C01,194
1,95,"GEOMETRIA Y ALGEBRA LINEAL 1",11.0,14.0,C01,194
1,172,"MATEMATICA DISCRETA 1",14.0,17.0,C01,194
1,78,"FISICA 1",17.0,20.0,C01,194
1,22,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE",8.0,11.0,307,180
1,111,"HORMIGON ESTRUCTURAL 3",11.0,16.5,307,180
1,195,"ORDENAMIENTO TERRITORIAL 1",16.5,20.5,307,180
1,159,"LOGICA",8.0,12.0,A01,145
1,208,"PROGRAMACION 4",12.0,15.0,A01,145
1,275,"GEODESIA GEOMETRICA",15.0,17.0,A01,145
1,119,"INGLES CONVERSACIONAL (ACT.COMPL.2)",17.0,21.0,A01,145
1,165,"MAQUINAS PARA FLUIDOS I",8.0,11.0,Actos,128
1,176,"MATEMATICA INICIAL",8.0,12.0,A22,124
1,21,"BASES DE DATOS PARA INGENIERIA",12.0,15.0,A22,124
1,229,"SISTEMAS DE CONDUCCION EN ING.SANITARIA",15.0,19.0,A22,124
1,157,"LEGISLACION TERRITORIAL",8.0,12.0,A12,119
1,80,"FISICA 3",8.0,11.0,C22,102
1,173,"MATEMATICA DISCRETA 2",11.0,14.0,C22,102
1,181,"MECANICA NEWTONIANA",8.0,12.0,Hall,100
1,207,"PROGRAMACION 3",12.0,15.0,Hall,100
1,24,"CALCULO VECTORIAL",8.0,11.0,312,94
1,142,"INT. A LA INVESTIGACION DE OPERACIONES",11.0,15.0,312,94
1,215,"REDES DE COMPUTADORAS",8.0,11.0,303,76
1,201,"PRINCIPIOS DE QUIMICA GENERAL",11.0,15.0,303,76
1,12,"ARQUITECTURA DE COMPUTADORAS",8.0,11.0,A21,72
1,66,"ELEMENTOS DE MECANICA DE LOS FLUIDOS",8.0,11.0,501,62
1,82,"FLUIDODINAMICA",8.0,12.0,601,60
1,81,"FISICA TERMICA",8.0,11.5,115,40
1,158,"LEGISLACION Y RELACIONES INDUSTRIALES",8.0,10.0,B21,39
1,118,"INGENIERIA LEGAL",8.0,12.0,31,35
1,61,"ELECTROTECNICA I",8.0,10.5,305,35
1,245,"TEORIA DE CIRCUITOS",10.5,13.5,305,35
1,250,"TEORIA DE LENGUAJES",13.5,17.5,305,35
1,261,"TRANSFERENCIA DE CALOR 2",8.0,12.0,B22,32
1,77,"FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",12.0,16.0,B22,32
1,196,"ORDENAMIENTO TERRITORIAL 2",16.0,20.0,B22,32
1,263,"TRANSFERENCIA DE CALOR Y MASA 2",8.0,12.0,102,25
1,124,"INSTRUMENTACION INDUSTRIAL",12.0,16.0,102,25
1,126,"INT. A LA CIENCIA DE LOS MATERIALES",16.0,17.5,102,25
1,114,"INGENIERIA DE LAS REACCIONES QUIMICAS 1",8.0,12.0,A11,25
1,236,"TALLER DE CARTOGRAFIA",12.0,16.0,A11,25
1,228,"SEÑALES Y SISTEMAS",8.0,11.5,C11,25
1,115,"INGENIERIA DE LAS REACCIONES QUIMICAS 2",11.5,13.5,C11,25
1,209,"PROGRAMACION AVANZADA",13.5,17.5,C11,25
1,127,"INT. A LA CIENCIA DE MATERIALES",8.0,9.5,C21,25
1,285,"TOPOGRAFIA ALTIMETRICA",9.5,12.5,C21,25
1,41,"CONTROL DE CALIDAD",12.5,16.5,C21,25
1,50,"DISEÑO LOGICO",16.5,20.5,C21,25
1,72,"ESTRUCTURAS DE ACERO",8.0,10.0,502,20
1,269,"TRANSPORTE POR CARRETERA",10.0,14.0,502,20
1,137,"INT. A LA INGENIERIA BIOQUIMICA",8.0,12.0,703,20
