INSTANCIA,TAM,POB,CRU,MUT,HV,PARETO_FILE
promedio_2024,286,50,0.80,0.001,0.395668,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.402020,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.414947,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.419627,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.345882,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.386640,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.428438,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.362859,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.399824,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.397403,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.420368,output/promedio_2024_pareto_front.csv
promedio_2024,286,50,0.80,0.001,0.399488,output/promedio_2024_pareto_front.csv
