dia,bloque,hora,B01,C01,307,A01,B12,C12,Actos,A22,A12,C22,B23,Hall,312,301,303,A21,Piso,501,601,B11,115,B21,31,305,B22,311,102,A11,C11,C21,502,703,705,725,727,309,310,722,116
1,1,8.0,22,22,22,159,V,V,165,176,157,80,V,181,24,V,215,12,V,66,82,V,81,158,118,61,261,V,263,114,228,127,72,137,107,260,37,203,42,143,267
1,2,8.5,22,22,22,159,V,V,165,176,157,80,V,181,24,V,215,12,V,66,82,V,81,158,118,61,261,V,263,114,228,127,72,137,107,260,37,203,42,143,267
1,3,9.0,22,22,22,159,V,V,165,176,157,80,V,181,24,V,215,12,V,66,82,V,81,158,118,61,261,V,263,114,228,127,72,137,107,260,37,203,42,143,267
1,4,9.5,22,22,22,159,V,V,165,176,157,80,V,181,24,V,215,12,V,66,82,V,81,158,118,61,261,V,263,114,228,285,72,137,107,260,37,5,42,143,267
1,5,10.0,22,22,22,159,V,V,165,176,157,80,V,181,24,V,215,12,V,66,82,V,81,V,118,61,261,V,263,114,228,285,269,137,107,260,37,5,42,143,267
1,6,10.5,22,22,22,159,V,V,165,176,157,80,V,181,24,V,215,12,V,66,82,V,81,V,118,245,261,V,263,114,228,285,269,137,107,260,37,5,42,143,267
1,7,11.0,95,95,111,159,V,V,V,176,157,173,V,181,142,V,201,V,V,V,82,V,81,V,118,245,261,V,263,114,228,285,269,137,107,260,0,5,42,143,267
1,8,11.5,95,95,111,159,V,V,V,176,157,173,V,181,142,V,201,V,V,V,82,V,V,V,118,245,261,V,263,114,115,285,269,137,107,260,0,5,42,143,267
1,9,12.0,95,95,111,208,V,V,V,21,V,173,V,207,142,V,201,V,V,V,V,V,V,V,V,245,77,V,124,236,115,285,269,186,106,156,0,5,56,146,35
1,10,12.5,95,95,111,208,V,V,V,21,V,173,V,207,142,V,201,V,V,V,V,V,V,V,V,245,77,V,124,236,115,41,269,186,106,156,0,5,56,146,35
1,11,13.0,95,95,111,208,V,V,V,21,V,173,V,207,142,V,201,V,V,V,V,V,V,V,V,245,77,V,124,236,115,41,269,186,106,156,0,5,56,146,35
1,12,13.5,95,95,111,208,V,V,V,21,V,173,V,207,142,V,201,V,V,V,V,V,V,V,V,250,77,V,124,236,209,41,269,186,106,156,0,10,56,146,35
1,13,14.0,172,172,111,208,V,V,V,21,V,V,V,207,142,V,201,V,V,V,V,V,V,V,V,250,77,V,124,236,209,41,V,186,106,156,0,10,56,146,35
1,14,14.5,172,172,111,208,V,V,V,21,V,V,V,207,142,V,201,V,V,V,V,V,V,V,V,250,77,V,124,236,209,41,V,186,106,156,102,10,56,146,35
1,15,15.0,172,172,111,275,V,V,V,229,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,250,77,V,124,236,209,41,V,186,106,156,102,10,56,146,35
1,16,15.5,172,172,111,275,V,V,V,229,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,250,77,V,124,236,209,41,V,186,106,156,102,10,56,219,65
1,17,16.0,172,172,111,275,V,V,V,229,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,250,196,V,126,V,209,41,V,20,189,235,102,10,144,219,65
1,18,16.5,172,172,195,275,V,V,V,229,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,250,196,V,126,V,209,50,V,20,189,235,102,10,144,219,65
1,19,17.0,78,78,195,119,V,V,V,229,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,250,196,V,126,V,209,50,V,20,189,235,102,10,144,219,65
1,20,17.5,78,78,195,119,V,V,V,229,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,196,V,V,V,V,50,V,20,189,235,102,125,144,219,65
1,21,18.0,78,78,195,119,V,V,V,229,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,196,V,V,V,V,50,V,20,189,235,102,125,144,219,65
1,22,18.5,78,78,195,119,V,V,V,229,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,196,V,V,V,V,50,V,20,189,235,V,125,144,219,65
1,23,19.0,78,78,195,119,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,196,V,V,V,V,50,V,20,189,235,V,125,144,219,65
1,24,19.5,78,78,195,119,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,196,V,V,V,V,50,V,20,189,235,V,125,V,V,V
1,25,20.0,V,V,195,119,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,50,V,V,V,V,V,125,V,V,V
1,26,20.5,V,V,V,119,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
2,1,8.0,23,23,V,190,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,27,89,V,25,V,45,259,11,182,110,217
2,2,8.5,23,23,V,190,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,27,89,V,25,V,45,259,11,182,110,217
